Date,Product,Unit,Max Price,Min Price,Avg Price
2026-06-08,Tomato Big(Nepali),KG,60.00,50.00,55.00
2026-06-08,Tomato Big(Indian),KG,70.00,60.00,63.75
2026-06-08,Tomato Small(Local),KG,30.00,20.00,26.25
2026-06-08,Tomato Small(Tunnel),KG,45.00,35.00,40.60
2026-06-08,Potato Red(Long),KG,40.00,35.00,38.20
2026-06-08,Potato Red(Round),KG,35.00,30.00,32.00
2026-06-08,Potato Red(Mude),KG,33.00,30.00,31.67
2026-06-08,Onion Dry (Indian),KG,43.00,40.00,41.25
2026-06-08,Carrot(Local),KG,120.00,100.00,112.50
2026-06-08,Cabbage(Local),KG,60.00,50.00,53.75
2026-06-08,Cauli Local,KG,80.00,70.00,76.25
2026-06-08,Raddish White(Hybrid),KG,20.00,15.00,17.00
2026-06-08,Brinjal Long,KG,60.00,50.00,55.00
2026-06-08,Brinjal Round,KG,70.00,60.00,63.75
2026-06-08,Cow pea(Long),KG,40.00,30.00,35.00
2026-06-08,Cowpea(Short),KG,50.00,40.00,45.00
2026-06-08,Green Peas,KG,200.00,180.00,190.00
2026-06-08,French Bean(Local),KG,70.00,60.00,63.75
2026-06-08,French Bean(Hybrid),KG,70.00,60.00,63.75
2026-06-08,French Bean(Rajma),KG,120.00,100.00,110.00
2026-06-08,Sword Bean,KG,120.00,100.00,110.00
2026-06-08,Soyabean Green,KG,120.00,100.00,110.00
2026-06-08,Bitter Gourd,KG,50.00,40.00,45.00
2026-06-08,Bottle Gourd,KG,70.00,60.00,63.75
2026-06-08,Pointed Gourd(Local),KG,50.00,40.00,45.00
2026-06-08,Snake Gourd,KG,40.00,30.00,35.00
2026-06-08,Smooth Gourd,KG,60.00,50.00,56.25
2026-06-08,Sponge Gourd,KG,60.00,50.00,55.00
2026-06-08,Pumpkin,KG,60.00,50.00,55.00
2026-06-08,Squash(Long),KG,60.00,50.00,56.25
2026-06-08,Squash(Round),KG,60.00,50.00,56.25
2026-06-08,Okra,KG,40.00,30.00,36.00
2026-06-08,Sweet Potato,KG,80.00,70.00,75.00
2026-06-08,Arum,KG,70.00,60.00,63.75
2026-06-08,Christophine,KG,60.00,50.00,53.75
