Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०६-०४,गोलभेडा ठूलो(नेपाली),के.जी.,३०.००,२५.००,२७.६७
२०२३-०६-०४,गोलभेडा ठूलो(भारतीय),केजी,४०.००,३०.००,३५.००
२०२३-०६-०४,गोलभेडा सानो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२३-०६-०४,गोलभेडा सानो(टनेल),के जी,३५.००,२७.००,३०.६७
२०२३-०६-०४,आलु रातो,के.जी.,४२.००,४०.००,४१.००
२०२३-०६-०४,आलु रातो(भारतीय),के जी,३६.००,३४.००,३५.००
२०२३-०६-०४,आलु रातो(मुडे),केजी,४०.००,३८.००,३९.००
२०२३-०६-०४,आलु सेतो,के.जी.,३६.००,३४.००,३५.००
२०२३-०६-०४,प्याज सुकेको (भारतीय),के.जी.,५२.००,५०.००,५१.००
२०२३-०६-०४,गाजर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०४,बन्दा(लोकल),के.जी.,१२.००,१०.००,११.००
२०२३-०६-०४,काउली स्थानिय,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०४,स्थानीय काउली(ज्यापु),केजी,८०.००,७०.००,७५.००
२०२३-०६-०४,मूला रातो,के.जी.,४५.००,४०.००,४२.३३
२०२३-०६-०४,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२३-०६-०४,सेतो मूला(हाइब्रीड),केजी,२५.००,२०.००,२२.३३
२०२३-०६-०४,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०४,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२३-०६-०४,बोडी(तने),के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०४,मकै बोडी,केजी,८०.००,७०.००,७५.००
२०२३-०६-०४,मटरकोशा,के.जी.,२००.००,१८०.००,१९०.००
२०२३-०६-०४,घिउ सिमी(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०४,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२३-०६-०४,घिउ सिमी(राजमा),केजी,१२०.००,११०.००,११५.००
२०२३-०६-०४,टाटे सिमी,के.जी.,१५०.००,१४०.००,१४५.००
२०२३-०६-०४,भटमासकोशा,के.जी.,१४०.००,१२०.००,१३०.००
२०२३-०६-०४,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०४,लौका,के.जी.,६०.००,५०.००,५५.००
२०२३-०६-०४,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,परवर(तराई),केजी,८०.००,७०.००,७५.००
२०२३-०६-०४,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-०४,घिरौला,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०४,फर्सी पाकेको,के.जी.,४५.००,४०.००,४२.३३
२०२३-०६-०४,फर्सी हरियो(लाम्चो),के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०४,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२३-०६-०४,सलगम,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,भिण्डी,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०४,सखरखण्ड,के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०४,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२३-०६-०४,रायो साग,के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०४,पालूगो साग,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०४,चमसूरको साग,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०४,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-०४,मेथीको साग,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०४,प्याज हरियो,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०४,च्याउ(कन्य),के.जी.,२००.००,१५०.००,१७६.६७
२०२३-०६-०४,च्याउ(डल्ले),के जी,४००.००,३५०.००,३७६.६७
२०२३-०६-०४,कुरीलो,के.जी.,२५०.००,२००.००,२२५.००
२०२३-०६-०४,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,ब्रोकाउली,के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०४,चुकुन्दर,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,सजिवन,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०४,जिरीको साग,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,ग्याठ कोबी,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,सेलरी,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०४,पार्सले,के.जी.,२५०.००,२२०.००,२३५.००
२०२३-०६-०४,सौफको साग,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०४,पुदीना,के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०४,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०४,इमली,के.जी.,१५०.००,१३०.००,१४०.००
२०२३-०६-०४,तामा,के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०४,तोफु,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०४,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२३-०६-०४,स्याउ(फूजी),के जी,३२०.००,२८०.००,३००.००
२०२३-०६-०४,केरा,दर्जन,१४०.००,१३०.००,१३५.००
२०२३-०६-०४,कागती,के.जी.,१८०.००,१५०.००,१६३.३३
२०२३-०६-०४,अनार,के.जी.,४००.००,३५०.००,३७५.००
२०२३-०६-०४,आँप(मालदह),के.जी.,१२०.००,१००.००,११०.००
२०२३-०६-०४,आँप(दसहरी),केजी,१८०.००,१५०.००,१६५.००
२०२३-०६-०४,अंगुर(हरियो),के.जी.,२८०.००,२५०.००,२६५.००
२०२३-०६-०४,तरबुजा(हरियो),के.जी.,४५.००,४०.००,४२.३३
२०२३-०६-०४,मौसम,के.जी.,२००.००,१५०.००,१७५.००
