Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०६-०५,गोलभेडा ठूलो(नेपाली),के.जी.,३०.००,२५.००,२७.५०
२०२३-०६-०५,गोलभेडा ठूलो(भारतीय),केजी,४०.००,३०.००,३६.६७
२०२३-०६-०५,गोलभेडा सानो(लोकल),के.जी.,१८.००,१४.००,१५.८०
२०२३-०६-०५,गोलभेडा सानो(टनेल),के जी,३५.००,२७.००,२९.८०
२०२३-०६-०५,आलु रातो,के.जी.,४६.००,४४.००,४५.२०
२०२३-०६-०५,आलु रातो(भारतीय),के जी,३६.००,३४.००,३५.२०
२०२३-०६-०५,आलु रातो(मुडे),केजी,४२.००,४०.००,४१.३३
२०२३-०६-०५,आलु सेतो,के.जी.,३५.००,३४.००,३४.६७
२०२३-०६-०५,प्याज सुकेको (भारतीय),के.जी.,६०.००,५८.००,५९.२०
२०२३-०६-०५,गाजर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०५,बन्दा(लोकल),के.जी.,१५.००,१२.००,१३.६०
२०२३-०६-०५,काउली स्थानिय,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०५,स्थानीय काउली(ज्यापु),केजी,८०.००,७०.००,७६.६७
२०२३-०६-०५,मूला रातो,के.जी.,४०.००,३०.००,३६.६७
२०२३-०६-०५,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.५०
२०२३-०६-०५,सेतो मूला(हाइब्रीड),केजी,२५.००,२०.००,२२.००
२०२३-०६-०५,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३६.००
२०२३-०६-०५,भन्टा डल्लो,के.जी.,७०.००,६०.००,६६.६७
२०२३-०६-०५,बोडी(तने),के.जी.,८०.००,७०.००,७६.००
२०२३-०६-०५,मकै बोडी,केजी,७०.००,६०.००,६६.६७
२०२३-०६-०५,मटरकोशा,के.जी.,२००.००,१९०.००,१९६.६७
२०२३-०६-०५,घिउ सिमी(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०५,घिउ सिमी(हाइब्रीड),केजी,८०.००,७०.००,७५.००
२०२३-०६-०५,घिउ सिमी(राजमा),केजी,१२०.००,११०.००,११६.६७
२०२३-०६-०५,भटमासकोशा,के.जी.,१२०.००,११०.००,११५.००
२०२३-०६-०५,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०५,लौका,के.जी.,७०.००,६०.००,६६.६७
२०२३-०६-०५,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२३-०६-०५,परवर(तराई),केजी,७०.००,६०.००,६६.६७
२०२३-०६-०५,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-०५,घिरौला,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०५,झिगूनी,के.जी.,६०.००,५०.००,५२.५०
२०२३-०६-०५,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०५,फर्सी हरियो(लाम्चो),के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०५,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२३-०६-०५,सलगम,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,भिण्डी,के.जी.,८०.००,७०.००,७६.००
२०२३-०६-०५,स्कूस,के.जी.,६०.००,५०.००,५६.००
२०२३-०६-०५,रायो साग,के.जी.,५०.००,४०.००,४५.००
२०२३-०६-०५,पालूगो साग,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-०५,चमसूरको साग,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-०५,तोरीको साग,के.जी.,४०.००,३०.००,३६.६७
२०२३-०६-०५,मेथीको साग,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-०५,प्याज हरियो,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०५,च्याउ(कन्य),के.जी.,१८०.००,१४०.००,१५६.००
२०२३-०६-०५,च्याउ(डल्ले),के जी,३६०.००,३२०.००,३४२.००
२०२३-०६-०५,कुरीलो,के.जी.,२५०.००,२००.००,२३३.३३
२०२३-०६-०५,न्यूरो,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,ब्रोकाउली,के.जी.,९०.००,८०.००,८६.००
२०२३-०६-०५,चुकुन्दर,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,सजिवन,के.जी.,९०.००,८०.००,८६.६७
२०२३-०६-०५,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-०५,जिरीको साग,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,ग्याठ कोबी,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,सेलरी,के.जी.,१५०.००,१२०.००,१४०.००
२०२३-०६-०५,पार्सले,के.जी.,२५०.००,२२०.००,२४०.००
२०२३-०६-०५,सौफको साग,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-०५,पुदीना,के.जी.,१८०.००,१५०.००,१७०.००
२०२३-०६-०५,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,इमली,के.जी.,१४०.००,१३०.००,१३५.००
२०२३-०६-०५,तामा,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-०५,तोफु,के.जी.,१२०.००,११०.००,११६.००
२०२३-०६-०५,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२३-०६-०५,स्याउ(फूजी),के जी,३२०.००,२८०.००,३००.००
२०२३-०६-०५,केरा,दर्जन,१४०.००,१२०.००,१३०.००
२०२३-०६-०५,कागती,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-०६-०५,अनार,के.जी.,४००.००,३५०.००,३८३.३३
२०२३-०६-०५,आँप(मालदह),के.जी.,१००.००,९०.००,९५.००
२०२३-०६-०५,आँप(दसहरी),केजी,१००.००,९०.००,९६.६७
२०२३-०६-०५,अंगुर(हरियो),के.जी.,२५०.००,२००.००,२२५.००
२०२३-०६-०५,तरबुजा(हरियो),के.जी.,४५.००,४०.००,४३.००
२०२३-०६-०५,मौसम,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-०६-०५,जुनार,के.जी.,२२०.००,२००.००,२१०.००
२०२३-०६-०५,भुई कटहर,प्रति गोटा,२२०.००,२००.००,२१०.००
२०२३-०६-०५,काक्रो(लोकल),के.जी.,११०.००,१००.००,१०५.००
२०२३-०६-०५,काक्रो(हाइब्रीड),के जी,६०.००,५०.००,५५.००
२०२३-०६-०५,रुख कटहर,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-०५,मेवा(भारतीय),केजी,१२०.००,११०.००,११६.६७
२०२३-०६-०५,लीच्ची(लोकल),के.जी.,२००.००,१८०.००,१९०.००
२०२३-०६-०५,लीच्ची(भारतीय),केजी,२५०.००,२००.००,२२३.३३
२०२३-०६-०५,किवि,केजी,५००.००,४००.००,४५०.००
२०२३-०६-०५,आभोकाडो,के.जी,६००.००,५००.००,५५०.००
२०२३-०६-०५,अदुवा,के.जी.,२६०.००,२५०.००,२५५.००
२०२३-०६-०५,खु्र्सानी सुकेको,के.जी.,४८०.००,४५०.००,४६५.००
२०२३-०६-०५,खु्र्सानी हरियो,के.जी.,९०.००,८०.००,८५.००
२०२३-०६-०५,खुर्सानी हरियो(बुलेट),के जी,९०.००,८०.००,८५.००
२०२३-०६-०५,खुर्सानी हरियो(माछे),के जी,६०.००,५०.००,५५.००
२०२३-०६-०५,खुर्सानी हरियो(अकबरे),के जी,३००.००,२५०.००,२७५.००
२०२३-०६-०५,भेडे खु्र्सानी,के.जी.,९०.००,८०.००,८४.००
२०२३-०६-०५,लसुन हरियो,के.जी.,८०.००,७०.००,७६.६७
२०२३-०६-०५,हरियो धनिया,के.जी.,४००.००,३००.००,३५०.००
२०२३-०६-०५,लसुन सुकेको चाइनिज,के.जी.,२५०.००,२३०.००,२३८.००
२०२३-०६-०५,लसुन सुकेको नेपाली,के.जी.,१८०.००,१६०.००,१७०.००
२०२३-०६-०५,छ्यापी सुकेको,के.जी.,१३०.००,१२०.००,१२६.६७
२०२३-०६-०५,छ्यापी हरियो,के.जी.,९०.००,८०.००,८५.००
२०२३-०६-०५,ताजा माछा(रहु),के जी,३३०.००,३१०.००,३२३.३३
२०२३-०६-०५,ताजा माछा(बचुवा),के जी,२८०.००,२६०.००,२७३.३३
२०२३-०६-०५,ताजा माछा(छडी),के जी,२६०.००,२४०.००,२५३.३३
२०२३-०६-०५,ताजा माछा(मुंगरी),के जी,३५०.००,३२०.००,३३५.००
