Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०६-२७,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२३-०६-२७,गोलभेडा सानो(टनेल),के जी,१५.००,१०.००,१२.४०
२०२३-०६-२७,आलु रातो,के.जी.,४५.००,४३.००,४४.००
२०२३-०६-२७,आलु रातो(भारतीय),के जी,३६.००,३४.००,३५.००
२०२३-०६-२७,आलु रातो(मुडे),केजी,४०.००,३७.००,३८.६०
२०२३-०६-२७,आलु सेतो,के.जी.,३५.००,३४.००,३४.५०
२०२३-०६-२७,प्याज सुकेको (भारतीय),के.जी.,४६.००,४४.००,४४.८०
२०२३-०६-२७,गाजर(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२३-०६-२७,बन्दा(लोकल),के.जी.,१०.००,५.००,७.६०
२०२३-०६-२७,काउली स्थानिय,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-२७,स्थानीय काउली(ज्यापु),केजी,८०.००,७०.००,७६.६७
२०२३-०६-२७,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-२७,मूला सेतो(लोकल),के.जी.,१५.००,१०.००,१२.५०
२०२३-०६-२७,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.५०
२०२३-०६-२७,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-२७,बोडी(तने),के.जी.,१२०.००,१००.००,११०.००
२०२३-०६-२७,मकै बोडी,केजी,९०.००,८०.००,८५.००
२०२३-०६-२७,घिउ सिमी(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२३-०६-२७,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२३-०६-२७,घिउ सिमी(राजमा),केजी,१००.००,९०.००,९५.००
२०२३-०६-२७,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२३-०६-२७,तितो करेला,के.जी.,७०.००,६०.००,६६.००
२०२३-०६-२७,लौका,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-२७,परवर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२३-०६-२७,परवर(तराई),केजी,९०.००,८०.००,८५.००
२०२३-०६-२७,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-२७,घिरौला,के.जी.,७०.००,५०.००,६२.००
२०२३-०६-२७,झिगूनी,के.जी.,६०.००,५०.००,५५.००
२०२३-०६-२७,फर्सी पाकेको,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-२७,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३३.३३
२०२३-०६-२७,सलगम,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-२७,भिण्डी,के.जी.,१००.००,९०.००,९४.००
२०२३-०६-२७,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२३-०६-२७,रायो साग,के.जी.,५०.००,४०.००,४६.६७
२०२३-०६-२७,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२३-०६-२७,प्याज हरियो,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-२७,च्याउ(कन्य),के.जी.,१६०.००,१२०.००,१४४.००
२०२३-०६-२७,च्याउ(डल्ले),के जी,३२०.००,२८०.००,३००.००
२०२३-०६-२७,कुरीलो,के.जी.,२५०.००,२००.००,२२५.००
२०२३-०६-२७,न्यूरो,के.जी.,९०.००,८०.००,८५.००
२०२३-०६-२७,ब्रोकाउली,के.जी.,९०.००,८०.००,८५.००
२०२३-०६-२७,चुकुन्दर,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-२७,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२३-०६-२७,जिरीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२३-०६-२७,सेलरी,के.जी.,१२०.००,१००.००,११०.००
२०२३-०६-२७,पार्सले,के.जी.,३००.००,२५०.००,२७५.००
२०२३-०६-२७,पुदीना,के.जी.,१२०.००,१००.००,११०.००
२०२३-०६-२७,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२३-०६-२७,इमली,के.जी.,१४०.००,१३०.००,१३५.००
२०२३-०६-२७,तामा,के.जी.,१००.००,९०.००,९६.६७
२०२३-०६-२७,तोफु,के.जी.,१२०.००,११०.००,११६.६७
२०२३-०६-२७,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२३-०६-२७,स्याउ(फूजी),के जी,३५०.००,३००.००,३२५.००
२०२३-०६-२७,केरा,दर्जन,१३०.००,१२०.००,१२६.६७
२०२३-०६-२७,कागती,के.जी.,१८०.००,१५०.००,१६२.५०
२०२३-०६-२७,अनार,के.जी.,४५०.००,४००.००,४२५.००
२०२३-०६-२७,आँप(मालदह),के.जी.,८०.००,७०.००,७६.००
२०२३-०६-२७,आँप(दसहरी),केजी,९०.००,८०.००,८५.००
२०२३-०६-२७,अंगुर(हरियो),के.जी.,४००.००,३८०.००,३९०.००
२०२३-०६-२७,अंगुर(कालो),केजी,६००.००,५८०.००,५९०.००
२०२३-०६-२७,तरबुजा(हरियो),के.जी.,१००.००,९०.००,९५.००
२०२३-०६-२७,मौसम,के.जी.,२००.००,१८०.००,१९०.००
