Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०७-२२,गोलभेडा ठूलो(नेपाली),के.जी.,९०.००,८०.००,८६.६७
२०२३-०७-२२,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-०७-२२,गोलभेडा सानो(टनेल),के जी,७०.००,६०.००,६५.००
२०२३-०७-२२,आलु रातो,के.जी.,५२.००,५०.००,५१.२०
२०२३-०७-२२,आलु रातो(भारतीय),के जी,३८.००,३६.००,३७.००
२०२३-०७-२२,आलु रातो(मुडे),केजी,४२.००,४०.००,४०.८०
२०२३-०७-२२,आलु सेतो,के.जी.,३६.००,३५.००,३५.५०
२०२३-०७-२२,प्याज सुकेको (भारतीय),के.जी.,५२.००,५०.००,५१.२०
२०२३-०७-२२,गाजर(लोकल),के.जी.,१४०.००,१२०.००,१३०.००
२०२३-०७-२२,बन्दा(लोकल),के.जी.,१६.००,१२.००,१४.२५
२०२३-०७-२२,काउली स्थानिय,के.जी.,९०.००,८०.००,८५.००
२०२३-०७-२२,स्थानीय काउली(ज्यापु),केजी,१००.००,९०.००,९४.००
२०२३-०७-२२,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२३-०७-२२,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.५०
२०२३-०७-२२,सेतो मूला(हाइब्रीड),केजी,२५.००,२०.००,२२.५०
२०२३-०७-२२,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४५.००
२०२३-०७-२२,भन्टा डल्लो,के.जी.,७०.००,६०.००,६५.००
२०२३-०७-२२,बोडी(तने),के.जी.,५०.००,४०.००,४६.००
२०२३-०७-२२,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२३-०७-२२,घिउ सिमी(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-०७-२२,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२३-०७-२२,घिउ सिमी(राजमा),केजी,८०.००,७०.००,७६.६७
२०२३-०७-२२,टाटे सिमी,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-०७-२२,भटमासकोशा,के.जी.,८०.००,७०.००,७६.००
२०२३-०७-२२,तितो करेला,के.जी.,६०.००,५०.००,५५.००
२०२३-०७-२२,लौका,के.जी.,७०.००,६०.००,६५.००
२०२३-०७-२२,परवर(लोकल),के.जी.,४५.००,४०.००,४३.००
२०२३-०७-२२,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-०७-२२,घिरौला,के.जी.,४०.००,३०.००,३५.००
२०२३-०७-२२,झिगूनी,के.जी.,७०.००,६०.००,६६.६७
२०२३-०७-२२,फर्सी पाकेको,के.जी.,४५.००,४०.००,४३.३३
२०२३-०७-२२,हरियो फर्सी(डल्लो),केजी,६०.००,५०.००,५६.६७
२०२३-०७-२२,भिण्डी,के.जी.,५०.००,४०.००,४५.००
२०२३-०७-२२,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२३-०७-२२,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२३-०७-२२,रायो साग,के.जी.,९०.००,८०.००,८६.००
२०२३-०७-२२,तोरीको साग,के.जी.,६०.००,५०.००,५५.००
२०२३-०७-२२,प्याज हरियो,के.जी.,८०.००,७०.००,७५.००
२०२३-०७-२२,च्याउ(कन्य),के.जी.,२००.००,१७०.००,१८६.००
२०२३-०७-२२,च्याउ(डल्ले),के जी,२८०.००,२३०.००,२५०.००
२०२३-०७-२२,कुरीलो,के.जी.,३००.००,२५०.००,२८३.३३
२०२३-०७-२२,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२३-०७-२२,ब्रोकाउली,के.जी.,१००.००,९०.००,९६.६७
२०२३-०७-२२,चुकुन्दर,के.जी.,१००.००,९०.००,९६.६७
२०२३-०७-२२,रातो बन्दा,के.जी.,७०.००,६०.००,६६.६७
२०२३-०७-२२,जिरीको साग,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-२२,सेलरी,के.जी.,१५०.००,१२०.००,१३५.००
२०२३-०७-२२,पार्सले,के.जी.,४००.००,३००.००,३५०.००
२०२३-०७-२२,पुदीना,के.जी.,१५०.००,१२०.००,१३५.००
२०२३-०७-२२,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-२२,इमली,के.जी.,१४०.००,१३०.००,१३६.६७
२०२३-०७-२२,तामा,के.जी.,१२०.००,११०.००,११६.००
२०२३-०७-२२,तोफु,के.जी.,१२०.००,११०.००,११६.६७
२०२३-०७-२२,स्याउ(फूजी),के जी,४००.००,३५०.००,३७५.००
२०२३-०७-२२,केरा,दर्जन,१६०.००,१५०.००,१५६.६७
२०२३-०७-२२,कागती,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-०७-२२,अनार,के.जी.,४५०.००,४००.००,४२५.००
२०२३-०७-२२,आँप(मालदह),के.जी.,१६०.००,१५०.००,१५६.६७
२०२३-०७-२२,आँप(दसहरी),केजी,१३०.००,१२०.००,१२६.६७
२०२३-०७-२२,आँप(कलकत्ते),केजी,९०.००,८०.००,८५.००
२०२३-०७-२२,अंगुर(हरियो),के.जी.,५००.००,४५०.००,४७५.००
२०२३-०७-२२,अंगुर(कालो),केजी,५८०.००,५५०.००,५६५.००
२०२३-०७-२२,तरबुजा(हरियो),के.जी.,९०.००,८०.००,८६.६७
२०२३-०७-२२,मौसम,के.जी.,२५०.००,२२०.००,२३५.००
२०२३-०७-२२,जुनार,के.जी.,२६०.००,२५०.००,२५५.००
२०२३-०७-२२,भुई कटहर,प्रति गोटा,१८०.००,१५०.००,१६५.००
२०२३-०७-२२,काक्रो(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२३-०७-२२,काक्रो(हाइब्रीड),के जी,२५.००,१८.००,२१.६०
२०२३-०७-२२,रुख कटहर,के.जी.,५०.००,४०.००,४५.००
२०२३-०७-२२,नासपाती(लोकल),के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-२२,मेवा(भारतीय),केजी,१००.००,९०.००,९६.६७
२०२३-०७-२२,किवि,केजी,९००.००,८००.००,८५०.००
२०२३-०७-२२,आभोकाडो,के.जी,६००.००,५००.००,५५०.००
२०२३-०७-२२,अदुवा,के.जी.,२८०.००,२६०.००,२७०.००
२०२३-०७-२२,खु्र्सानी सुकेको,के.जी.,४८०.००,४५०.००,४६५.००
२०२३-०७-२२,खु्र्सानी हरियो,के.जी.,१७०.००,१५०.००,१५७.५०
२०२३-०७-२२,खुर्सानी हरियो(बुलेट),के जी,१८०.००,१६०.००,१७०.००
२०२३-०७-२२,खुर्सानी हरियो(माछे),के जी,६०.००,५०.००,५६.००
२०२३-०७-२२,खुर्सानी हरियो(अकबरे),के जी,३००.००,२५०.००,२७५.००
२०२३-०७-२२,भेडे खु्र्सानी,के.जी.,८०.००,७०.००,७६.००
२०२३-०७-२२,लसुन हरियो,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-२२,हरियो धनिया,के.जी.,१००.००,८०.००,९२.००
२०२३-०७-२२,लसुन सुकेको चाइनिज,के.जी.,२८०.००,२७०.००,२७५.००
२०२३-०७-२२,लसुन सुकेको नेपाली,के.जी.,२२०.००,२१०.००,२१६.६७
२०२३-०७-२२,छ्यापी सुकेको,के.जी.,१८०.००,१६०.००,१७०.००
२०२३-०७-२२,ताजा माछा(रहु),के जी,३२०.००,३१०.००,३१६.००
