Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०७-३१,गोलभेडा ठूलो(नेपाली),के.जी.,१४०.००,१२०.००,१३०.००
२०२३-०७-३१,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४६.६७
२०२३-०७-३१,गोलभेडा सानो(टनेल),के जी,९५.००,८०.००,८९.००
२०२३-०७-३१,आलु रातो,के.जी.,५०.००,४८.००,४९.००
२०२३-०७-३१,आलु रातो(भारतीय),के जी,३६.००,३५.००,३५.५०
२०२३-०७-३१,आलु रातो(मुडे),केजी,४१.००,३९.००,४०.००
२०२३-०७-३१,आलु सेतो,के.जी.,३५.००,३४.००,३४.५०
२०२३-०७-३१,प्याज सुकेको (भारतीय),के.जी.,४८.००,४५.००,४६.६०
२०२३-०७-३१,गाजर(लोकल),के.जी.,१२०.००,११०.००,११५.००
२०२३-०७-३१,बन्दा(लोकल),के.जी.,१५.००,१०.००,१२.५०
२०२३-०७-३१,काउली स्थानिय,के.जी.,७०.००,६०.००,६५.००
२०२३-०७-३१,स्थानीय काउली(ज्यापु),केजी,८०.००,७०.००,७५.००
२०२३-०७-३१,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२३-०७-३१,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.५०
२०२३-०७-३१,सेतो मूला(हाइब्रीड),केजी,३५.००,३०.००,३२.५०
२०२३-०७-३१,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२३-०७-३१,भन्टा डल्लो,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-३१,बोडी(तने),के.जी.,५०.००,४०.००,४५.००
२०२३-०७-३१,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२३-०७-३१,घिउ सिमी(लोकल),के.जी.,३०.००,२५.००,२८.००
२०२३-०७-३१,घिउ सिमी(हाइब्रीड),केजी,३५.००,३०.००,३१.६७
२०२३-०७-३१,घिउ सिमी(राजमा),केजी,९०.००,८०.००,८६.६७
२०२३-०७-३१,टाटे सिमी,के.जी.,९०.००,८०.००,८६.६७
२०२३-०७-३१,भटमासकोशा,के.जी.,९०.००,८०.००,८५.००
२०२३-०७-३१,तितो करेला,के.जी.,५५.००,४५.००,५०.००
२०२३-०७-३१,लौका,के.जी.,५०.००,४०.००,४५.००
२०२३-०७-३१,परवर(लोकल),के.जी.,४०.००,३५.००,३७.५०
२०२३-०७-३१,चिचिण्डो,के.जी.,४०.००,३०.००,३६.६७
२०२३-०७-३१,घिरौला,के.जी.,४०.००,३०.००,३४.००
२०२३-०७-३१,झिगूनी,के.जी.,५०.००,४०.००,४६.६७
२०२३-०७-३१,फर्सी पाकेको,के.जी.,४५.००,४०.००,४२.५०
२०२३-०७-३१,हरियो फर्सी(डल्लो),केजी,८०.००,७०.००,७५.००
२०२३-०७-३१,भिण्डी,के.जी.,४५.००,३५.००,४०.००
२०२३-०७-३१,पिंडालू,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-३१,स्कूस,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-३१,रायो साग,के.जी.,९०.००,८०.००,८६.६७
२०२३-०७-३१,तोरीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२३-०७-३१,प्याज हरियो,के.जी.,८०.००,७०.००,७७.५०
२०२३-०७-३१,च्याउ(कन्य),के.जी.,१८०.००,१६०.००,१७०.००
२०२३-०७-३१,च्याउ(डल्ले),के जी,४००.००,३६०.००,३८०.००
२०२३-०७-३१,कुरीलो,के.जी.,४००.००,३००.००,३५०.००
२०२३-०७-३१,न्यूरो,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-३१,ब्रोकाउली,के.जी.,९०.००,८०.००,८६.६७
२०२३-०७-३१,चुकुन्दर,के.जी.,९०.००,८०.००,८६.६७
२०२३-०७-३१,रातो बन्दा,के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-३१,जिरीको साग,के.जी.,२००.००,१५०.००,१७५.००
२०२३-०७-३१,सेलरी,के.जी.,१५०.००,१२०.००,१४०.००
२०२३-०७-३१,पार्सले,के.जी.,४००.००,३००.००,३६६.६७
२०२३-०७-३१,पुदीना,के.जी.,२००.००,१५०.००,१७५.००
२०२३-०७-३१,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२३-०७-३१,इमली,के.जी.,१५०.००,१४०.००,१४६.६७
२०२३-०७-३१,तामा,के.जी.,१००.००,९०.००,९५.००
२०२३-०७-३१,तोफु,के.जी.,१२०.००,११०.००,११६.६७
२०२३-०७-३१,स्याउ(फूजी),के जी,४००.००,३५०.००,३८३.३३
२०२३-०७-३१,केरा,दर्जन,१५०.००,१४०.००,१४६.६७
२०२३-०७-३१,कागती,के.जी.,१५०.००,१३०.००,१३७.५०
२०२३-०७-३१,अनार,के.जी.,३५०.००,३००.००,३३३.३३
२०२३-०७-३१,आँप(मालदह),के.जी.,२००.००,१८०.००,१९३.३३
२०२३-०७-३१,आँप(दसहरी),केजी,१८०.००,१६०.००,१७०.००
२०२३-०७-३१,आँप(चोसा),केजी,२००.००,१८०.००,१९०.००
२०२३-०७-३१,अंगुर(कालो),केजी,५५०.००,५००.००,५२५.००
२०२३-०७-३१,तरबुजा(हरियो),के.जी.,९०.००,८०.००,८३.३३
२०२३-०७-३१,मौसम,के.जी.,२५०.००,२२०.००,२३५.००
२०२३-०७-३१,जुनार,के.जी.,२६०.००,२५०.००,२५५.००
२०२३-०७-३१,भुई कटहर,प्रति गोटा,१८०.००,१५०.००,१६५.००
२०२३-०७-३१,काक्रो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-०७-३१,काक्रो(हाइब्रीड),के जी,१८.००,१४.००,१५.५०
२०२३-०७-३१,रुख कटहर,के.जी.,४०.००,३५.००,३८.३३
२०२३-०७-३१,नासपाती(लोकल),के.जी.,८०.००,७०.००,७६.६७
२०२३-०७-३१,नासपाती(चाइनिज),केजी,३२०.००,३००.००,३१०.००
२०२३-०७-३१,मेवा(भारतीय),केजी,१००.००,९०.००,९६.६७
२०२३-०७-३१,किवि,केजी,८००.००,७५०.००,७७५.००
२०२३-०७-३१,आभोकाडो,के.जी,६००.००,५५०.००,५७५.००
२०२३-०७-३१,अदुवा,के.जी.,२८०.००,२६०.००,२७०.००
२०२३-०७-३१,खु्र्सानी सुकेको,के.जी.,४८०.००,४५०.००,४६५.००
२०२३-०७-३१,खु्र्सानी हरियो,के.जी.,८०.००,७०.००,७५.००
२०२३-०७-३१,खुर्सानी हरियो(बुलेट),के जी,९०.००,८०.००,८६.६७
२०२३-०७-३१,खुर्सानी हरियो(माछे),के जी,६०.००,५०.००,५६.६७
२०२३-०७-३१,खुर्सानी हरियो(अकबरे),के जी,३५०.००,३००.००,३२५.००
२०२३-०७-३१,भेडे खु्र्सानी,के.जी.,८०.००,७०.००,७६.००
२०२३-०७-३१,लसुन हरियो,के.जी.,१००.००,९०.००,९६.६७
२०२३-०७-३१,हरियो धनिया,के.जी.,१५०.००,१००.००,१३०.००
२०२३-०७-३१,लसुन सुकेको चाइनिज,के.जी.,२८०.००,२७०.००,२७५.००
२०२३-०७-३१,लसुन सुकेको नेपाली,के.जी.,२२०.००,२१०.००,२१५.००
२०२३-०७-३१,छ्यापी सुकेको,के.जी.,१८०.००,१७०.००,१७६.६७
२०२३-०७-३१,ताजा माछा(रहु),के जी,३२०.००,३१०.००,३१३.३३
२०२३-०७-३१,ताजा माछा(बचुवा),के जी,२५०.००,२४०.००,२४६.६७
२०२३-०७-३१,ताजा माछा(छडी),के जी,२५०.००,२४०.००,२४६.६७
२०२३-०७-३१,ताजा माछा(मुंगरी),के जी,२९०.००,२८०.००,२८६.६७
