Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०९-०५,गोलभेडा ठूलो(नेपाली),के.जी.,६५.००,५५.००,६०.००
२०२३-०९-०५,गोलभेडा ठूलो(भारतीय),केजी,६५.००,५५.००,६०.००
२०२३-०९-०५,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-०९-०५,गोलभेडा सानो(टनेल),के जी,६५.००,५०.००,६०.००
२०२३-०९-०५,गोलभेडा सानो(भारतीय),के जी,५५.००,४५.००,५०.००
२०२३-०९-०५,आलु रातो,के.जी.,५७.००,५५.००,५६.००
२०२३-०९-०५,आलु रातो(भारतीय),के जी,३६.००,३५.००,३५.५०
२०२३-०९-०५,आलु रातो(मुडे),केजी,५२.००,५०.००,५१.००
२०२३-०९-०५,आलु सेतो,के.जी.,५०.००,४८.००,४९.००
२०२३-०९-०५,प्याज सुकेको (भारतीय),के.जी.,७५.००,७२.००,७३.६०
२०२३-०९-०५,गाजर(लोकल),के.जी.,१४०.००,१२०.००,१३०.००
२०२३-०९-०५,गाजर(तराई),केजी,१००.००,९०.००,९५.००
२०२३-०९-०५,बन्दा(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२३-०९-०५,काउली स्थानिय,के.जी.,१००.००,९०.००,९६.००
२०२३-०९-०५,मूला रातो,के.जी.,१००.००,९०.००,९५.००
२०२३-०९-०५,मूला सेतो(लोकल),के.जी.,१००.००,९०.००,९६.६७
२०२३-०९-०५,सेतो मूला(हाइब्रीड),केजी,१००.००,९०.००,९६.६७
२०२३-०९-०५,भन्टा लाम्चो,के.जी.,६०.००,५०.००,५५.००
२०२३-०९-०५,भन्टा डल्लो,के.जी.,८०.००,७०.००,७५.००
२०२३-०९-०५,बोडी(तने),के.जी.,९०.००,८०.००,८६.००
२०२३-०९-०५,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९६.००
२०२३-०९-०५,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९६.६७
२०२३-०९-०५,टाटे सिमी,के.जी.,९०.००,८०.००,८६.६७
२०२३-०९-०५,भटमासकोशा,के.जी.,१२०.००,११०.००,११६.६७
२०२३-०९-०५,तितो करेला,के.जी.,९०.००,८०.००,८६.००
२०२३-०९-०५,लौका,के.जी.,४५.००,४०.००,४३.००
२०२३-०९-०५,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२३-०९-०५,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२३-०९-०५,चिचिण्डो,के.जी.,५०.००,४०.००,४६.६७
२०२३-०९-०५,घिरौला,के.जी.,५०.००,४०.००,४६.००
२०२३-०९-०५,झिगूनी,के.जी.,६०.००,५०.००,५६.६७
२०२३-०९-०५,फर्सी पाकेको,के.जी.,५५.००,५०.००,५३.३३
२०२३-०९-०५,हरियो फर्सी(डल्लो),केजी,६०.००,५०.००,५६.००
२०२३-०९-०५,भिण्डी,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-०५,पिंडालू,के.जी.,७०.००,६०.००,६६.६७
२०२३-०९-०५,स्कूस,के.जी.,३५.००,२५.००,३०.००
२०२३-०९-०५,रायो साग,के.जी.,१५०.००,१४०.००,१४६.६७
२०२३-०९-०५,तोरीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२३-०९-०५,प्याज हरियो,के.जी.,१६०.००,१५०.००,१५६.६७
२०२३-०९-०५,च्याउ(कन्य),के.जी.,२००.००,१८०.००,१८८.००
२०२३-०९-०५,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२४.००
२०२३-०९-०५,कुरीलो,के.जी.,५००.००,४५०.००,४७५.००
२०२३-०९-०५,न्यूरो,के.जी.,१००.००,९०.००,९५.००
२०२३-०९-०५,ब्रोकाउली,के.जी.,३२०.००,३००.००,३१०.००
२०२३-०९-०५,चुकुन्दर,के.जी.,८०.००,७०.००,७६.६७
२०२३-०९-०५,सजिवन,के.जी.,२००.००,१९०.००,१९५.००
२०२३-०९-०५,रातो बन्दा,के.जी.,२५०.००,२००.००,२२५.००
२०२३-०९-०५,जिरीको साग,के.जी.,३००.००,२८०.००,२९०.००
२०२३-०९-०५,सेलरी,के.जी.,५००.००,४००.००,४५०.००
२०२३-०९-०५,इमली,के.जी.,१५०.००,१४०.००,१४६.६७
२०२३-०९-०५,तामा,के.जी.,१००.००,९०.००,९६.६७
२०२३-०९-०५,तोफु,के.जी.,१२०.००,११०.००,११६.६७
२०२३-०९-०५,गुन्दुक,के.जी.,३००.००,२८०.००,२९०.००
२०२३-०९-०५,स्याउ(फूजी),के जी,३५०.००,३२०.००,३३५.००
२०२३-०९-०५,केरा,दर्जन,१५०.००,१४०.००,१४५.००
२०२३-०९-०५,कागती,के.जी.,२५०.००,२००.००,२२३.३३
२०२३-०९-०५,अनार,के.जी.,३००.००,२८०.००,२९०.००
२०२३-०९-०५,अंगुर(कालो),केजी,५००.००,४५०.००,४७५.००
२०२३-०९-०५,तरबुजा(हरियो),के.जी.,७०.००,६०.००,६६.६७
२०२३-०९-०५,मौसम,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-०९-०५,जुनार,के.जी.,३५०.००,३२०.००,३३५.००
२०२३-०९-०५,भुई कटहर,प्रति गोटा,१८०.००,१५०.००,१६५.००
२०२३-०९-०५,काक्रो(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२३-०९-०५,काक्रो(हाइब्रीड),के जी,७०.००,६०.००,६६.६७
२०२३-०९-०५,रुख कटहर,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-०५,निबुवा,के.जी.,७०.००,६०.००,६६.६७
२०२३-०९-०५,नासपाती(लोकल),के.जी.,८०.००,७०.००,७६.६७
२०२३-०९-०५,नासपाती(चाइनिज),केजी,३५०.००,३००.००,३२५.००
२०२३-०९-०५,मेवा(भारतीय),केजी,९०.००,८०.००,८६.६७
२०२३-०९-०५,अम्बा,के.जी.,१२०.००,१००.००,११०.००
२०२३-०९-०५,लप्सी,के.जी.,७०.००,६०.००,६६.६७
२०२३-०९-०५,किवि,केजी,७००.००,६००.००,६५०.००
२०२३-०९-०५,शरीफा,के‍.जी,२५०.००,१५०.००,२००.००
२०२३-०९-०५,आभोकाडो,के.जी,३५०.००,२५०.००,३००.००
२०२३-०९-०५,अमला,के.जी,१२०.००,११०.००,११५.००
२०२३-०९-०५,अदुवा,के.जी.,१८०.००,१७०.००,१७६.००
२०२३-०९-०५,खु्र्सानी सुकेको,के.जी.,५००.००,४५०.००,४७५.००
२०२३-०९-०५,खु्र्सानी हरियो,के.जी.,९०.००,८०.००,८६.००
२०२३-०९-०५,खुर्सानी हरियो(बुलेट),के जी,१२०.००,११०.००,११६.६७
२०२३-०९-०५,खुर्सानी हरियो(माछे),के जी,७०.००,६०.००,६६.६७
२०२३-०९-०५,खुर्सानी हरियो(अकबरे),के जी,२००.००,१५०.००,१७५.००
२०२३-०९-०५,भेडे खु्र्सानी,के.जी.,९०.००,८०.००,८६.००
२०२३-०९-०५,लसुन हरियो,के.जी.,२५०.००,२२०.००,२३५.००
२०२३-०९-०५,हरियो धनिया,के.जी.,२००.००,१५०.००,१७५.००
२०२३-०९-०५,लसुन सुकेको चाइनिज,के.जी.,२५०.००,२३०.००,२४०.००
२०२३-०९-०५,लसुन सुकेको नेपाली,के.जी.,२८०.००,२६०.००,२७०.००
२०२३-०९-०५,छ्यापी सुकेको,के.जी.,२२०.००,२००.००,२१०.००
२०२३-०९-०५,ताजा माछा(रहु),के जी,३२५.००,३१५.००,३२०.००
२०२३-०९-०५,ताजा माछा(बचुवा),के जी,२४५.००,२३५.००,२४०.००
२०२३-०९-०५,ताजा माछा(छडी),के जी,२५०.००,२४०.००,२४५.००
२०२३-०९-०५,ताजा माछा(मुंगरी),के जी,२८०.००,२७०.००,२७५.००
