Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-०९-२४,गोलभेडा ठूलो(भारतीय),केजी,४५.००,३५.००,४०.००
२०२३-०९-२४,गोलभेडा सानो(लोकल),के.जी.,५०.००,४५.००,४७.६७
२०२३-०९-२४,गोलभेडा सानो(टनेल),के जी,६०.००,५०.००,५५.००
२०२३-०९-२४,गोलभेडा सानो(भारतीय),के जी,४०.००,३०.००,३५.००
२०२३-०९-२४,आलु रातो,के.जी.,५८.००,५६.००,५७.००
२०२३-०९-२४,आलु रातो(भारतीय),के जी,३६.००,३५.००,३५.३३
२०२३-०९-२४,आलु रातो(मुडे),केजी,५२.००,५०.००,५१.००
२०२३-०९-२४,आलु सेतो,के.जी.,४८.००,४६.००,४७.००
२०२३-०९-२४,प्याज सुकेको (भारतीय),के.जी.,७०.००,६४.००,६६.३३
२०२३-०९-२४,गाजर(लोकल),के.जी.,१५०.००,१४०.००,१४५.००
२०२३-०९-२४,गाजर(तराई),केजी,९०.००,८०.००,८५.००
२०२३-०९-२४,बन्दा(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२३-०९-२४,काउली स्थानिय,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,मूला रातो,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,मूला सेतो(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२३-०९-२४,सेतो मूला(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२३-०९-२४,भन्टा लाम्चो,के.जी.,२०.००,१०.००,१५.००
२०२३-०९-२४,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,बोडी(तने),के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,मकै बोडी,केजी,८०.००,७०.००,७५.००
२०२३-०९-२४,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२३-०९-२४,टाटे सिमी,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,भटमासकोशा,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,तितो करेला,के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,लौका,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,परवर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-०९-२४,घिरौला,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,झिगूनी,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,फर्सी पाकेको,के.जी.,५५.००,४५.००,५०.००
२०२३-०९-२४,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२३-०९-२४,भिण्डी,के.जी.,५०.००,४०.००,४५.००
२०२३-०९-२४,बरेला,के.जी.,१२०.००,११०.००,११५.००
२०२३-०९-२४,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२३-०९-२४,स्कूस,के.जी.,१५.००,१०.००,१२.३३
२०२३-०९-२४,रायो साग,के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,तोरीको साग,के.जी.,३०.००,२०.००,२५.००
२०२३-०९-२४,प्याज हरियो,के.जी.,१००.००,९०.००,९५.००
२०२३-०९-२४,च्याउ(कन्य),के.जी.,१८०.००,१४०.००,१६०.००
२०२३-०९-२४,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२६.६७
२०२३-०९-२४,कुरीलो,के.जी.,५००.००,४००.००,४५०.००
२०२३-०९-२४,न्यूरो,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,ब्रोकाउली,के.जी.,२००.००,१५०.००,१७०.००
२०२३-०९-२४,चुकुन्दर,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,रातो बन्दा,के.जी.,४००.००,३००.००,३५०.००
२०२३-०९-२४,जिरीको साग,के.जी.,१००.००,९०.००,९५.००
२०२३-०९-२४,सेलरी,के.जी.,४००.००,३००.००,३५०.००
२०२३-०९-२४,पार्सले,के.जी.,६००.००,५००.००,५५०.००
२०२३-०९-२४,पुदीना,के.जी.,६००.००,५००.००,५५०.००
२०२३-०९-२४,गान्टे मूला,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,इमली,के.जी.,१५०.००,१४०.००,१४५.००
२०२३-०९-२४,तामा,के.जी.,१००.००,९०.००,९५.००
२०२३-०९-२४,तोफु,के.जी.,१२०.००,११०.००,११५.००
२०२३-०९-२४,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२३-०९-२४,स्याउ(झोले),के.जी.,३००.००,२६०.००,२८०.००
२०२३-०९-२४,स्याउ(फूजी),के जी,३५०.००,३२०.००,३३५.००
२०२३-०९-२४,केरा,दर्जन,१६०.००,१५०.००,१५५.००
२०२३-०९-२४,कागती,के.जी.,३००.००,२८०.००,२९०.००
२०२३-०९-२४,अनार,के.जी.,४५०.००,४२०.००,४३५.००
२०२३-०९-२४,अंगुर(कालो),केजी,४५०.००,४००.००,४२५.००
२०२३-०९-२४,सुन्तला(भारतीय),केजी,१६०.००,१४०.००,१५०.००
२०२३-०९-२४,तरबुजा(हरियो),के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,मौसम,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-०९-२४,जुनार,के.जी.,३५०.००,३२०.००,३३५.००
२०२३-०९-२४,भुई कटहर,प्रति गोटा,२२०.००,२००.००,२१०.००
२०२३-०९-२४,काक्रो(लोकल),के.जी.,१००.००,८०.००,९०.००
२०२३-०९-२४,काक्रो(हाइब्रीड),के जी,५०.००,४०.००,४५.००
२०२३-०९-२४,निबुवा,के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,नासपाती(लोकल),के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,नासपाती(चाइनिज),केजी,३२०.००,३००.००,३१०.००
२०२३-०९-२४,मेवा(भारतीय),केजी,१००.००,९०.००,९५.००
२०२३-०९-२४,अम्बा,के.जी.,१५०.००,१२०.००,१३५.००
२०२३-०९-२४,लप्सी,के.जी.,६०.००,५०.००,५५.००
२०२३-०९-२४,किवि,केजी,४५०.००,४००.००,४२५.००
२०२३-०९-२४,शरीफा,के‍.जी,१५०.००,१२०.००,१३५.००
२०२३-०९-२४,आभोकाडो,के.जी,३००.००,२००.००,२५०.००
२०२३-०९-२४,अमला,के.जी,९०.००,८०.००,८५.००
२०२३-०९-२४,अदुवा,के.जी.,१८०.००,१६०.००,१७०.००
२०२३-०९-२४,खु्र्सानी सुकेको,के.जी.,५००.००,४५०.००,४७५.००
२०२३-०९-२४,खु्र्सानी हरियो,के.जी.,९०.००,८०.००,८५.००
२०२३-०९-२४,खुर्सानी हरियो(बुलेट),के जी,१००.००,९०.००,९५.००
२०२३-०९-२४,खुर्सानी हरियो(माछे),के जी,७०.००,६०.००,६५.००
२०२३-०९-२४,खुर्सानी हरियो(अकबरे),के जी,२००.००,१५०.००,१७६.६७
२०२३-०९-२४,भेडे खु्र्सानी,के.जी.,८०.००,७०.००,७५.००
२०२३-०९-२४,लसुन हरियो,के.जी.,३००.००,२५०.००,२७६.६७
२०२३-०९-२४,हरियो धनिया,के.जी.,८०.००,५०.००,६६.६७
२०२३-०९-२४,लसुन सुकेको चाइनिज,के.जी.,२३०.००,२२०.००,२२५.००
२०२३-०९-२४,लसुन सुकेको नेपाली,के.जी.,२६०.००,२५०.००,२५५.००
२०२३-०९-२४,छ्यापी सुकेको,के.जी.,२२०.००,२००.००,२१०.००
२०२३-०९-२४,ताजा माछा(रहु),के जी,४००.००,३७०.००,३८५.००
२०२३-०९-२४,ताजा माछा(बचुवा),के जी,३००.००,२७०.००,२८५.००
२०२३-०९-२४,ताजा माछा(छडी),के जी,२८०.००,२४०.००,२६०.००
२०२३-०९-२४,ताजा माछा(मुंगरी),के जी,३००.००,२८०.००,२९०.००
