Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-१०-०६,गोलभेडा ठूलो(भारतीय),केजी,४५.००,४०.००,४२.००
२०२३-१०-०६,गोलभेडा सानो(लोकल),के.जी.,५५.००,४५.००,५०.००
२०२३-१०-०६,गोलभेडा सानो(टनेल),के जी,६८.००,५२.००,६२.००
२०२३-१०-०६,गोलभेडा सानो(भारतीय),के जी,४०.००,३०.००,३५.००
२०२३-१०-०६,आलु रातो,के.जी.,५६.००,५४.००,५५.००
२०२३-१०-०६,आलु रातो(भारतीय),के जी,३६.००,३४.००,३५.००
२०२३-१०-०६,आलु रातो(मुडे),केजी,४६.००,४४.००,४५.००
२०२३-१०-०६,आलु सेतो,के.जी.,४५.००,४४.००,४४.६७
२०२३-१०-०६,प्याज सुकेको (भारतीय),के.जी.,७४.००,७०.००,७२.००
२०२३-१०-०६,गाजर(लोकल),के.जी.,१३०.००,१२०.००,१२३.३३
२०२३-१०-०६,गाजर(तराई),केजी,९०.००,८०.००,८६.६७
२०२३-१०-०६,बन्दा(लोकल),के.जी.,५०.००,४०.००,४६.००
२०२३-१०-०६,काउली स्थानिय,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-०६,मूला रातो,के.जी.,९०.००,८०.००,८६.६७
२०२३-१०-०६,सेतो मूला(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२३-१०-०६,भन्टा लाम्चो,के.जी.,३०.००,२०.००,२५.००
२०२३-१०-०६,भन्टा डल्लो,के.जी.,५०.००,४०.००,४६.६७
२०२३-१०-०६,बोडी(तने),के.जी.,७०.००,६०.००,६५.००
२०२३-१०-०६,मकै बोडी,केजी,८०.००,७०.००,७५.००
२०२३-१०-०६,मटरकोशा,के.जी.,२८०.००,२५०.००,२६५.००
२०२३-१०-०६,घिउ सिमी(लोकल),के.जी.,७०.००,६०.००,६४.००
२०२३-१०-०६,घिउ सिमी(हाइब्रीड),केजी,७०.००,६०.००,६५.००
२०२३-१०-०६,टाटे सिमी,के.जी.,६०.००,५०.००,५६.६७
२०२३-१०-०६,भटमासकोशा,के.जी.,७०.००,६०.००,६६.६७
२०२३-१०-०६,तितो करेला,के.जी.,७०.००,६०.००,६४.००
२०२३-१०-०६,लौका,के.जी.,४०.००,३०.००,३५.००
२०२३-१०-०६,परवर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-१०-०६,परवर(तराई),केजी,५०.००,४०.००,४५.००
२०२३-१०-०६,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-१०-०६,घिरौला,के.जी.,६०.००,५०.००,५५.००
२०२३-१०-०६,झिगूनी,के.जी.,५०.००,४०.००,४५.००
२०२३-१०-०६,फर्सी पाकेको,के.जी.,५०.००,४०.००,४३.७५
२०२३-१०-०६,हरियो फर्सी(डल्लो),केजी,६०.००,५०.००,५५.००
२०२३-१०-०६,सलगम,के.जी.,८०.००,७०.००,७६.६७
२०२३-१०-०६,भिण्डी,के.जी.,७०.००,६०.००,६६.००
२०२३-१०-०६,सखरखण्ड,के.जी.,८०.००,७०.००,७६.६७
२०२३-१०-०६,बरेला,के.जी.,१२०.००,१००.००,१०८.००
२०२३-१०-०६,पिंडालू,के.जी.,६०.००,५०.००,५५.००
२०२३-१०-०६,स्कूस,के.जी.,१२.००,८.००,१०.००
२०२३-१०-०६,रायो साग,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-०६,तोरीको साग,के.जी.,४०.००,३०.००,३३.३३
२०२३-१०-०६,प्याज हरियो,के.जी.,१००.००,९०.००,९६.६७
२०२३-१०-०६,च्याउ(कन्य),के.जी.,१००.००,७०.००,८४.००
२०२३-१०-०६,च्याउ(डल्ले),के जी,३३०.००,३००.००,३१६.००
२०२३-१०-०६,कुरीलो,के.जी.,५५०.००,५००.००,५२५.००
२०२३-१०-०६,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-०६,ब्रोकाउली,के.जी.,३००.००,२५०.००,२७५.००
२०२३-१०-०६,चुकुन्दर,के.जी.,८०.००,७०.००,७६.६७
२०२३-१०-०६,सजिवन,के.जी.,२५०.००,२२०.००,२३५.००
२०२३-१०-०६,रातो बन्दा,के.जी.,४००.००,३५०.००,३७५.००
२०२३-१०-०६,जिरीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२३-१०-०६,सेलरी,के.जी.,४००.००,३५०.००,३७५.००
२०२३-१०-०६,पुदीना,के.जी.,६००.००,५००.००,५५०.००
२०२३-१०-०६,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२३-१०-०६,इमली,के.जी.,१५०.००,१४०.००,१४६.६७
२०२३-१०-०६,तामा,के.जी.,१००.००,९०.००,९५.००
२०२३-१०-०६,तोफु,के.जी.,१२०.००,११०.००,११६.६७
२०२३-१०-०६,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२३-१०-०६,स्याउ(झोले),के.जी.,२८०.००,२५०.००,२६५.००
२०२३-१०-०६,स्याउ(फूजी),के जी,३३०.००,३००.००,३१६.६७
२०२३-१०-०६,केरा,दर्जन,१५०.००,१४०.००,१४६.६७
२०२३-१०-०६,कागती,के.जी.,२५०.००,२००.००,२२४.००
२०२३-१०-०६,अनार,के.जी.,४००.००,३५०.००,३७५.००
२०२३-१०-०६,अंगुर(कालो),केजी,४२०.००,४००.००,४१०.००
२०२३-१०-०६,सुन्तला(भारतीय),केजी,१५०.००,१४०.००,१४६.६७
२०२३-१०-०६,तरबुजा(हरियो),के.जी.,७०.००,६०.००,६३.३३
२०२३-१०-०६,मौसम,के.जी.,१५०.००,१२०.००,१३५.००
२०२३-१०-०६,जुनार,के.जी.,३३०.००,३२०.००,३२५.००
२०२३-१०-०६,भुई कटहर,प्रति गोटा,२००.००,१८०.००,१९०.००
२०२३-१०-०६,काक्रो(लोकल),के.जी.,८०.००,६०.००,६८.००
२०२३-१०-०६,काक्रो(हाइब्रीड),के जी,५०.००,४०.००,४५.००
२०२३-१०-०६,निबुवा,के.जी.,५०.००,४०.००,४६.६७
२०२३-१०-०६,नासपाती(लोकल),के.जी.,१००.००,९०.००,९६.६७
२०२३-१०-०६,नासपाती(चाइनिज),केजी,२५०.००,२२०.००,२३५.००
२०२३-१०-०६,मेवा(नेपाली),के.जी.,८०.००,७०.००,७६.६७
२०२३-१०-०६,मेवा(भारतीय),केजी,११०.००,१००.००,१०५.००
२०२३-१०-०६,अम्बा,के.जी.,१००.००,८०.००,९०.००
२०२३-१०-०६,लप्सी,के.जी.,६०.००,५०.००,५६.००
२०२३-१०-०६,किवि,केजी,३५०.००,२५०.००,३००.००
२०२३-१०-०६,शरीफा,के‍.जी,२५०.००,२००.००,२२५.००
२०२३-१०-०६,आभोकाडो,के.जी,३००.००,२००.००,२५०.००
२०२३-१०-०६,अमला,के.जी,७०.००,६०.००,६३.३३
२०२३-१०-०६,अदुवा,के.जी.,१८०.००,१६०.००,१७०.००
२०२३-१०-०६,खु्र्सानी सुकेको,के.जी.,५००.००,४५०.००,४८३.३३
२०२३-१०-०६,खु्र्सानी हरियो,के.जी.,१२०.००,१००.००,११०.००
२०२३-१०-०६,खुर्सानी हरियो(बुलेट),के जी,१४०.००,१३०.००,१३६.६७
२०२३-१०-०६,खुर्सानी हरियो(माछे),के जी,८०.००,७०.००,७६.६७
२०२३-१०-०६,खुर्सानी हरियो(अकबरे),के जी,३००.००,२००.००,२५०.००
२०२३-१०-०६,भेडे खु्र्सानी,के.जी.,१००.००,९०.००,९६.००
२०२३-१०-०६,लसुन हरियो,के.जी.,३००.००,२८०.००,२९०.००
२०२३-१०-०६,हरियो धनिया,के.जी.,१५०.००,१००.००,१२५.००
२०२३-१०-०६,लसुन सुकेको चाइनिज,के.जी.,२६०.००,२५०.००,२५५.००
२०२३-१०-०६,लसुन सुकेको नेपाली,के.जी.,२६०.००,२५०.००,२५६.६७
२०२३-१०-०६,छ्यापी सुकेको,के.जी.,२२०.००,२००.००,२१०.००
२०२३-१०-०६,रुख टमाटर,केजी,१५०.००,१२०.००,१३५.००
