Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-१०-२९,गोलभेडा ठूलो(भारतीय),केजी,५०.००,४०.००,४५.००
२०२३-१०-२९,गोलभेडा सानो(लोकल),के.जी.,३०.००,२५.००,२७.६७
२०२३-१०-२९,गोलभेडा सानो(टनेल),के जी,४०.००,३०.००,३५.००
२०२३-१०-२९,गोलभेडा सानो(भारतीय),के जी,४०.००,३०.००,३५.००
२०२३-१०-२९,आलु रातो,के.जी.,७२.००,६८.००,७०.००
२०२३-१०-२९,आलु रातो(भारतीय),के जी,३६.००,३५.००,३५.५०
२०२३-१०-२९,आलु रातो(मुडे),केजी,५६.००,५४.००,५४.७५
२०२३-१०-२९,आलु सेतो,के.जी.,६५.००,६२.००,६३.६७
२०२३-१०-२९,प्याज सुकेको (भारतीय),के.जी.,११०.००,१०५.००,१०७.००
२०२३-१०-२९,गाजर(लोकल),के.जी.,१००.००,९५.००,९७.६७
२०२३-१०-२९,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२३-१०-२९,बन्दा(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२३-१०-२९,काउली स्थानिय,के.जी.,९०.००,८०.००,८५.००
२०२३-१०-२९,मूला रातो,के.जी.,६०.००,५०.००,५५.००
२०२३-१०-२९,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२३-१०-२९,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.६७
२०२३-१०-२९,भन्टा लाम्चो,के.जी.,२५.००,२०.००,२२.३३
२०२३-१०-२९,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२३-१०-२९,बोडी(तने),के.जी.,८०.००,७०.००,७५.००
२०२३-१०-२९,मकै बोडी,केजी,८०.००,७०.००,७५.००
२०२३-१०-२९,मटरकोशा,के.जी.,२५०.००,२००.००,२२६.६७
२०२३-१०-२९,घिउ सिमी(लोकल),के.जी.,२०.००,१५.००,१८.२५
२०२३-१०-२९,घिउ सिमी(हाइब्रीड),केजी,२०.००,१५.००,१७.००
२०२३-१०-२९,घिउ सिमी(राजमा),केजी,१४०.००,१२०.००,१३०.००
२०२३-१०-२९,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-२९,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२३-१०-२९,तितो करेला,के.जी.,९०.००,८०.००,८५.००
२०२३-१०-२९,लौका,के.जी.,२०.००,१५.००,१७.६७
२०२३-१०-२९,परवर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२३-१०-२९,परवर(तराई),केजी,५०.००,४०.००,४५.००
२०२३-१०-२९,चिचिण्डो,के.जी.,५०.००,४०.००,४५.००
२०२३-१०-२९,घिरौला,के.जी.,४०.००,३०.००,३५.००
२०२३-१०-२९,फर्सी पाकेको,के.जी.,४०.००,३०.००,३५.००
२०२३-१०-२९,फर्सी हरियो(लाम्चो),के.जी.,५०.००,४०.००,४५.००
२०२३-१०-२९,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२३-१०-२९,सलगम,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-२९,भिण्डी,के.जी.,७०.००,६०.००,६५.००
२०२३-१०-२९,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२३-१०-२९,बरेला,के.जी.,६०.००,५०.००,५५.००
२०२३-१०-२९,पिंडालू,के.जी.,६०.००,५०.००,५५.००
२०२३-१०-२९,स्कूस,के.जी.,२०.००,१५.००,१७.६७
२०२३-१०-२९,रायो साग,के.जी.,३५.००,२५.००,३०.००
२०२३-१०-२९,पालूगो साग,के.जी.,२५०.००,२२०.००,२३५.००
२०२३-१०-२९,चमसूरको साग,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-१०-२९,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२३-१०-२९,मेथीको साग,के.जी.,२२०.००,२००.००,२१०.००
२०२३-१०-२९,प्याज हरियो,के.जी.,१५०.००,१२०.००,१३३.३३
२०२३-१०-२९,बकूला,के.जी.,१५०.००,१२०.००,१३३.३३
२०२३-१०-२९,च्याउ(कन्य),के.जी.,८०.००,५०.००,६३.३३
२०२३-१०-२९,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२६.६७
२०२३-१०-२९,कुरीलो,के.जी.,६५०.००,६००.००,६२५.००
२०२३-१०-२९,ब्रोकाउली,के.जी.,१००.००,९०.००,९५.००
२०२३-१०-२९,चुकुन्दर,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-२९,सजिवन,के.जी.,२२०.००,२००.००,२१०.००
२०२३-१०-२९,रातो बन्दा,के.जी.,२००.००,१८०.००,१९०.००
२०२३-१०-२९,जिरीको साग,के.जी.,१३०.००,१२०.००,१२५.००
२०२३-१०-२९,सेलरी,के.जी.,४००.००,३५०.००,३७५.००
२०२३-१०-२९,सौफको साग,के.जी.,२२०.००,२००.००,२१०.००
२०२३-१०-२९,पुदीना,के.जी.,५००.००,४५०.००,४६६.६७
२०२३-१०-२९,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२३-१०-२९,इमली,के.जी.,१५०.००,१४०.००,१४५.००
२०२३-१०-२९,तामा,के.जी.,१००.००,९०.००,९५.००
२०२३-१०-२९,तोफु,के.जी.,१३०.००,१२०.००,१२५.००
२०२३-१०-२९,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२३-१०-२९,स्याउ(झोले),के.जी.,२५०.००,२२०.००,२३५.००
२०२३-१०-२९,स्याउ(फूजी),के जी,३५०.००,३२०.००,३३५.००
२०२३-१०-२९,केरा,दर्जन,१५०.००,१३०.००,१४०.००
२०२३-१०-२९,कागती,के.जी.,१६०.००,१२०.००,१४०.००
२०२३-१०-२९,अनार,के.जी.,४५०.००,४००.००,४२५.००
२०२३-१०-२९,अंगुर(कालो),केजी,४२०.००,४००.००,४१०.००
२०२३-१०-२९,सुन्तला(भारतीय),केजी,१४०.००,१२०.००,१३०.००
२०२३-१०-२९,तरबुजा(हरियो),के.जी.,७०.००,६०.००,६५.००
२०२३-१०-२९,जुनार,के.जी.,३५०.००,३२०.००,३३५.००
२०२३-१०-२९,भुई कटहर,प्रति गोटा,१८०.००,१५०.००,१६५.००
२०२३-१०-२९,काक्रो(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२३-१०-२९,काक्रो(हाइब्रीड),के जी,२०.००,१५.००,१७.६७
२०२३-१०-२९,निबुवा,के.जी.,५०.००,४०.००,४५.००
२०२३-१०-२९,नासपाती(चाइनिज),केजी,२५०.००,२२०.००,२३५.००
२०२३-१०-२९,मेवा(भारतीय),केजी,१२०.००,११०.००,११५.००
२०२३-१०-२९,अम्बा,के.जी.,१००.००,९०.००,९५.००
२०२३-१०-२९,लप्सी,के.जी.,७०.००,६०.००,६५.००
२०२३-१०-२९,किवि,केजी,३००.००,२००.००,२५०.००
२०२३-१०-२९,आभोकाडो,के.जी,३००.००,२००.००,२५०.००
२०२३-१०-२९,अमला,के.जी,७०.००,६०.००,६५.००
२०२३-१०-२९,अदुवा,के.जी.,१८०.००,१६०.००,१७०.००
२०२३-१०-२९,खु्र्सानी सुकेको,के.जी.,५००.००,४५०.००,४७५.००
२०२३-१०-२९,खु्र्सानी हरियो,के.जी.,९०.००,८०.००,८५.००
२०२३-१०-२९,खुर्सानी हरियो(बुलेट),के जी,१२०.००,१००.००,११०.००
२०२३-१०-२९,खुर्सानी हरियो(माछे),के जी,१४०.००,१३०.००,१३५.००
२०२३-१०-२९,खुर्सानी हरियो(अकबरे),के जी,३००.००,२५०.००,२७६.६७
२०२३-१०-२९,भेडे खु्र्सानी,के.जी.,१६०.००,१५०.००,१५५.००
२०२३-१०-२९,लसुन हरियो,के.जी.,४००.००,३५०.००,३७६.६७
२०२३-१०-२९,हरियो धनिया,के.जी.,२००.००,१८०.००,१९०.००
२०२३-१०-२९,लसुन सुकेको चाइनिज,के.जी.,२६०.००,२५०.००,२५५.००
२०२३-१०-२९,लसुन सुकेको नेपाली,के.जी.,३००.००,२८०.००,२९०.००
२०२३-१०-२९,छ्यापी सुकेको,के.जी.,२००.००,१८०.००,१९०.००
२०२३-१०-२९,ताजा माछा(रहु),के जी,३७०.००,३६०.००,३६५.००
२०२३-१०-२९,ताजा माछा(बचुवा),के जी,२८०.००,२६०.००,२७०.००
२०२३-१०-२९,ताजा माछा(छडी),के जी,२६०.००,२४०.००,२५०.००
२०२३-१०-२९,ताजा माछा(मुंगरी),के जी,२६०.००,२३०.००,२४५.००
२०२३-१०-२९,रुख टमाटर,केजी,१३०.००,१२०.००,१२५.००
