Date,Product,Unit,Max Price,Min Price,Avg Price
२०२३-११-०८,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२३-११-०८,गोलभेडा ठूलो(भारतीय),केजी,५५.००,४५.००,५०.००
२०२३-११-०८,गोलभेडा सानो(लोकल),के.जी.,४५.००,३५.००,४०.००
२०२३-११-०८,गोलभेडा सानो(टनेल),के जी,५०.००,३५.००,४३.००
२०२३-११-०८,गोलभेडा सानो(भारतीय),के जी,४०.००,३०.००,३५.००
२०२३-११-०८,आलु रातो,के.जी.,६०.००,५५.००,५८.००
२०२३-११-०८,आलु रातो(भारतीय),के जी,३६.००,३५.००,३५.६७
२०२३-११-०८,आलु सेतो,के.जी.,४०.००,३८.००,३९.००
२०२३-११-०८,प्याज सुकेको (भारतीय),के.जी.,९५.००,९०.००,९२.००
२०२३-११-०८,गाजर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२३-११-०८,बन्दा(लोकल),के.जी.,५५.००,४५.००,५०.००
२०२३-११-०८,काउली स्थानिय,के.जी.,३०.००,२०.००,२५.००
२०२३-११-०८,स्थानीय काउली(ज्यापु),केजी,४०.००,३०.००,३५.००
२०२३-११-०८,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.५०
२०२३-११-०८,भन्टा लाम्चो,के.जी.,३०.००,२०.००,२५.००
२०२३-११-०८,भन्टा डल्लो,के.जी.,६०.००,५०.००,५६.६७
२०२३-११-०८,बोडी(तने),के.जी.,७०.००,६०.००,६५.००
२०२३-११-०८,मकै बोडी,केजी,४५.००,४०.००,४१.६७
२०२३-११-०८,मटरकोशा,के.जी.,१८०.००,१५०.००,१६५.००
२०२३-११-०८,घिउ सिमी(लोकल),के.जी.,२५.००,१५.००,२०.००
२०२३-११-०८,घिउ सिमी(हाइब्रीड),केजी,२५.००,१५.००,२०.००
२०२३-११-०८,घिउ सिमी(राजमा),केजी,१२०.००,१००.००,११०.००
२०२३-११-०८,टाटे सिमी,के.जी.,५०.००,४०.००,४३.३३
२०२३-११-०८,भटमासकोशा,के.जी.,९०.००,८०.००,८५.००
२०२३-११-०८,तितो करेला,के.जी.,९०.००,८०.००,८८.००
२०२३-११-०८,लौका,के.जी.,३५.००,२५.००,३०.००
२०२३-११-०८,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२३-११-०८,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२३-११-०८,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२३-११-०८,घिरौला,के.जी.,५०.००,४०.००,४५.००
२०२३-११-०८,फर्सी पाकेको,के.जी.,४०.००,३०.००,३५.००
२०२३-११-०८,फर्सी हरियो(लाम्चो),के.जी.,२५.००,२०.००,२२.५०
२०२३-११-०८,हरियो फर्सी(डल्लो),केजी,२५.००,२०.००,२२.५०
२०२३-११-०८,सलगम,के.जी.,८०.००,७०.००,७६.६७
२०२३-११-०८,भिण्डी,के.जी.,७०.००,६०.००,६६.६७
२०२३-११-०८,सखरखण्ड,के.जी.,६०.००,५०.००,५६.६७
२०२३-११-०८,बरेला,के.जी.,३५.००,२५.००,३०.००
२०२३-११-०८,पिंडालू,के.जी.,५०.००,४०.००,४५.००
२०२३-११-०८,स्कूस,के.जी.,१५.००,१०.००,१२.५०
