Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०१-०१,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२४-०१-०१,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०१-०१,गोलभेडा सानो(लोकल),के.जी.,२५.००,१५.००,१९.००
२०२४-०१-०१,गोलभेडा सानो(टनेल),के जी,३५.००,२५.००,३०.००
२०२४-०१-०१,गोलभेडा सानो(भारतीय),के जी,३५.००,३०.००,३२.५०
२०२४-०१-०१,गोलभेडा सानो(तराई),के जी,३०.००,२०.००,२५.००
२०२४-०१-०१,आलु रातो,के.जी.,३८.००,३५.००,३६.४०
२०२४-०१-०१,आलु रातो(भारतीय),के जी,३२.००,३०.००,३१.००
२०२४-०१-०१,आलु सेतो,के.जी.,२८.००,२६.००,२७.००
२०२४-०१-०१,प्याज सुकेको (भारतीय),के.जी.,८५.००,७५.००,८०.००
२०२४-०१-०१,सुकेको प्याज (चाइनिज),केजी,७०.००,६५.००,६७.५०
२०२४-०१-०१,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०१-०१,बन्दा(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०१-०१,बन्दा(तराई),केजी,३०.००,२५.००,२७.५०
२०२४-०१-०१,बन्दा(नरिवल),केजी,३५.००,२५.००,३०.००
२०२४-०१-०१,काउली स्थानिय,के.जी.,३५.००,२५.००,३०.००
२०२४-०१-०१,स्थानीय काउली(ज्यापु),केजी,४०.००,३०.००,३६.६७
२०२४-०१-०१,काउली तराई,के.जी.,३०.००,२०.००,२५.००
२०२४-०१-०१,मूला रातो,के.जी.,२०.००,१५.००,१८.३३
२०२४-०१-०१,मूला सेतो(लोकल),के.जी.,१५.००,१२.००,१३.५०
२०२४-०१-०१,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.५०
२०२४-०१-०१,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२४-०१-०१,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२४-०१-०१,मकै बोडी,केजी,७०.००,६०.००,६६.६७
२०२४-०१-०१,मटरकोशा,के.जी.,६०.००,५०.००,५६.००
२०२४-०१-०१,घिउ सिमी(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०१-०१,घिउ सिमी(हाइब्रीड),केजी,४०.००,३०.००,३६.६७
२०२४-०१-०१,घिउ सिमी(राजमा),केजी,१८०.००,१६०.००,१७०.००
