Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०१-१८,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,गोलभेडा ठूलो(भारतीय),केजी,६०.००,५०.००,५५.००
२०२४-०१-१८,गोलभेडा सानो(लोकल),के.जी.,२५.००,१८.००,२२.००
२०२४-०१-१८,गोलभेडा सानो(टनेल),के जी,२५.००,१८.००,२२.००
२०२४-०१-१८,गोलभेडा सानो(तराई),के जी,४०.००,३०.००,३५.००
२०२४-०१-१८,आलु रातो,के.जी.,४०.००,३६.००,३८.००
२०२४-०१-१८,आलु रातो(भारतीय),के जी,३२.००,३०.००,३१.००
२०२४-०१-१८,प्याज सुकेको (भारतीय),के.जी.,८५.००,८०.००,८२.५०
२०२४-०१-१८,सुकेको प्याज (चाइनिज),केजी,६५.००,६०.००,६२.५०
२०२४-०१-१८,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,गाजर(तराई),केजी,४०.००,३०.००,३५.००
२०२४-०१-१८,बन्दा(लोकल),के.जी.,४५.००,३५.००,४१.४०
२०२४-०१-१८,बन्दा(तराई),केजी,३०.००,२०.००,२५.००
२०२४-०१-१८,बन्दा(नरिवल),केजी,३०.००,२०.००,२५.००
२०२४-०१-१८,काउली स्थानिय,के.जी.,४५.००,३५.००,४०.००
२०२४-०१-१८,स्थानीय काउली(ज्यापु),केजी,६०.००,५०.००,५५.००
२०२४-०१-१८,काउली तराई,के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,मूला रातो,के.जी.,१५.००,१०.००,१२.५०
२०२४-०१-१८,मूला सेतो(लोकल),के.जी.,१५.००,१०.००,१२.५०
२०२४-०१-१८,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.५०
२०२४-०१-१८,भन्टा लाम्चो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०१-१८,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२४-०१-१८,मकै बोडी,केजी,७०.००,६०.००,६६.६७
२०२४-०१-१८,मटरकोशा,के.जी.,९०.००,८०.००,८६.००
२०२४-०१-१८,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-०१-१८,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२४-०१-१८,घिउ सिमी(राजमा),केजी,८०.००,७०.००,७६.६७
२०२४-०१-१८,टाटे सिमी,के.जी.,६०.००,५०.००,५५.००
२०२४-०१-१८,तितो करेला,के.जी.,१३०.००,१२०.००,१२५.००
२०२४-०१-१८,लौका,के.जी.,७०.००,६०.००,६६.००
२०२४-०१-१८,घिरौला,के.जी.,१००.००,९०.००,९५.००
२०२४-०१-१८,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,फर्सी हरियो(लाम्चो),के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२४-०१-१८,सलगम,के.जी.,८०.००,७०.००,७६.६७
२०२४-०१-१८,भिण्डी,के.जी.,१००.००,९०.००,९५.००
२०२४-०१-१८,सखरखण्ड,के.जी.,८०.००,७०.००,७६.६७
२०२४-०१-१८,बरेला,के.जी.,४०.००,३०.००,३६.६७
२०२४-०१-१८,पिंडालू,के.जी.,७०.००,६०.००,६६.६७
२०२४-०१-१८,स्कूस,के.जी.,४०.००,३०.००,३५.००
२०२४-०१-१८,रायो साग,के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,पालूगो साग,के.जी.,१००.००,९०.००,९६.६७
२०२४-०१-१८,चमसूरको साग,के.जी.,१००.००,९०.००,९६.६७
२०२४-०१-१८,तोरीको साग,के.जी.,५०.००,४०.००,४६.६७
२०२४-०१-१८,मेथीको साग,के.जी.,१००.००,९०.००,९६.६७
२०२४-०१-१८,प्याज हरियो,के.जी.,१६०.००,१४०.००,१५०.००
२०२४-०१-१८,बकूला,के.जी.,८०.००,७०.००,७६.६७
२०२४-०१-१८,तरुल,के.जी.,८०.००,७०.००,७६.६७
२०२४-०१-१८,च्याउ(कन्य),के.जी.,१६०.००,१४०.००,१५०.००
२०२४-०१-१८,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२५.००
२०२४-०१-१८,कुरीलो,के.जी.,२५००.००,२०००.००,२२५०.००
२०२४-०१-१८,ब्रोकाउली,के.जी.,५०.००,४०.००,४५.००
२०२४-०१-१८,चुकुन्दर,के.जी.,८०.००,७०.००,७५.००
२०२४-०१-१८,सजिवन,के.जी.,२५०.००,२००.००,२२५.००
२०२४-०१-१८,रातो बन्दा,के.जी.,१००.००,८०.००,९०.००
२०२४-०१-१८,जिरीको साग,के.जी.,१००.००,९०.००,९५.००
२०२४-०१-१८,ग्याठ कोबी,के.जी.,६०.००,५०.००,५६.६७
२०२४-०१-१८,सेलरी,के.जी.,१८०.००,१५०.००,१६५.००
२०२४-०१-१८,पार्सले,के.जी.,३५०.००,३२०.००,३३५.००
२०२४-०१-१८,सौफको साग,के.जी.,१००.००,९०.००,९५.००
२०२४-०१-१८,पुदीना,के.जी.,३५०.००,३२०.००,३३५.००
२०२४-०१-१८,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२४-०१-१८,इमली,के.जी.,१५०.००,१४०.००,१४६.६७
२०२४-०१-१८,तामा,के.जी.,१००.००,९०.००,९६.६७
