Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०२-१२,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२४-०२-१२,गोलभेडा ठूलो(भारतीय),केजी,९०.००,८०.००,८५.००
२०२४-०२-१२,गोलभेडा सानो(भारतीय),के जी,४०.००,३०.००,३५.००
२०२४-०२-१२,गोलभेडा सानो(तराई),के जी,४०.००,३०.००,३५.००
२०२४-०२-१२,आलु रातो,के.जी.,३०.००,२८.००,२९.००
२०२४-०२-१२,आलु रातो(भारतीय),के जी,३०.००,२८.००,२९.००
२०२४-०२-१२,प्याज सुकेको (भारतीय),के.जी.,६५.००,६०.००,६२.३३
२०२४-०२-१२,गाजर(लोकल),के.जी.,३०.००,२५.००,२७.६७
२०२४-०२-१२,गाजर(तराई),केजी,२५.००,२०.००,२२.३३
२०२४-०२-१२,बन्दा(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०२-१२,बन्दा(नरिवल),केजी,२५.००,२०.००,२२.३३
२०२४-०२-१२,काउली स्थानिय,के.जी.,३०.००,२५.००,२७.६७
२०२४-०२-१२,स्थानीय काउली(ज्यापु),केजी,५०.००,४०.००,४५.००
२०२४-०२-१२,काउली तराई,के.जी.,२५.००,२०.००,२२.३३
२०२४-०२-१२,मूला रातो,के.जी.,१५.००,१०.००,१२.३३
२०२४-०२-१२,मूला सेतो(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२४-०२-१२,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.६७
२०२४-०२-१२,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-१२,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-१२,मटरकोशा,के.जी.,९०.००,८०.००,८५.००
२०२४-०२-१२,घिउ सिमी(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२४-०२-१२,घिउ सिमी(हाइब्रीड),केजी,९०.००,७०.००,७८.३३
२०२४-०२-१२,घिउ सिमी(राजमा),केजी,१००.००,९०.००,९५.००
२०२४-०२-१२,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२४-०२-१२,तितो करेला,के.जी.,१२०.००,१००.००,१०८.७५
२०२४-०२-१२,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-१२,घिरौला,के.जी.,१२०.००,११०.००,११५.००
२०२४-०२-१२,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-१२,फर्सी हरियो(लाम्चो),के.जी.,८०.००,७०.००,७५.००
२०२४-०२-१२,हरियो फर्सी(डल्लो),केजी,८०.००,७०.००,७५.००
२०२४-०२-१२,सलगम,के.जी.,७०.००,६०.००,६५.००
२०२४-०२-१२,भिण्डी,के.जी.,१००.००,९०.००,९५.००
२०२४-०२-१२,सखरखण्ड,के.जी.,८०.००,७०.००,७५.००
२०२४-०२-१२,बरेला,के.जी.,६०.००,५०.००,५५.००
२०२४-०२-१२,पिंडालू,के.जी.,८०.००,७०.००,७५.००
२०२४-०२-१२,स्कूस,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-१२,रायो साग,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-१२,पालूगो साग,के.जी.,८०.००,७०.००,७५.००
