Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०२-२७,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२४-०२-२७,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०२-२७,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.५०
२०२४-०२-२७,गोलभेडा सानो(टनेल),के जी,३०.००,२५.००,२७.५०
२०२४-०२-२७,गोलभेडा सानो(तराई),के जी,३०.००,२०.००,२५.००
२०२४-०२-२७,आलु रातो,के.जी.,३५.००,३२.००,३३.६०
२०२४-०२-२७,आलु रातो(भारतीय),के जी,३६.००,३४.००,३५.००
२०२४-०२-२७,प्याज सुकेको (भारतीय),के.जी.,८२.००,७८.००,८०.००
२०२४-०२-२७,गाजर(लोकल),के.जी.,३५.००,३०.००,३३.००
२०२४-०२-२७,गाजर(तराई),केजी,३०.००,२५.००,२८.३३
२०२४-०२-२७,बन्दा(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२४-०२-२७,बन्दा(नरिवल),केजी,३०.००,२०.००,२५.००
२०२४-०२-२७,काउली स्थानिय,के.जी.,३५.००,२५.००,३०.००
२०२४-०२-२७,स्थानीय काउली(ज्यापु),केजी,४५.००,३५.००,४०.००
२०२४-०२-२७,काउली तराई,के.जी.,३०.००,२०.००,२५.००
२०२४-०२-२७,मूला रातो,के.जी.,५०.००,४०.००,४६.६७
२०२४-०२-२७,मूला सेतो(लोकल),के.जी.,३०.००,२५.००,२७.५०
२०२४-०२-२७,सेतो मूला(हाइब्रीड),केजी,३०.००,२५.००,२७.५०
२०२४-०२-२७,भन्टा लाम्चो,के.जी.,४५.००,४०.००,४३.३३
२०२४-०२-२७,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-२७,मटरकोशा,के.जी.,११०.००,९०.००,१०२.००
२०२४-०२-२७,घिउ सिमी(लोकल),के.जी.,१४०.००,१३०.००,१३३.३३
२०२४-०२-२७,घिउ सिमी(हाइब्रीड),केजी,१४०.००,१३०.००,१३५.००
२०२४-०२-२७,घिउ सिमी(राजमा),केजी,१२०.००,१००.००,११०.००
२०२४-०२-२७,टाटे सिमी,के.जी.,८०.००,७०.००,७६.६७
