Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०२-२९,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२४-०२-२९,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०२-२९,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.५०
२०२४-०२-२९,गोलभेडा सानो(टनेल),के जी,३०.००,२५.००,२७.५०
२०२४-०२-२९,गोलभेडा सानो(तराई),के जी,३०.००,२०.००,२५.००
२०२४-०२-२९,आलु रातो,के.जी.,३५.००,३२.००,३३.५०
२०२४-०२-२९,आलु रातो(भारतीय),के जी,३८.००,३४.००,३६.००
२०२४-०२-२९,प्याज सुकेको (भारतीय),के.जी.,९०.००,८५.००,८७.५०
२०२४-०२-२९,गाजर(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०२-२९,गाजर(तराई),केजी,३०.००,२५.००,२८.३३
२०२४-०२-२९,बन्दा(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२४-०२-२९,बन्दा(नरिवल),केजी,३०.००,२०.००,२५.००
२०२४-०२-२९,काउली स्थानिय,के.जी.,४०.००,३०.००,३५.००
२०२४-०२-२९,स्थानीय काउली(ज्यापु),केजी,५०.००,४०.००,४५.००
२०२४-०२-२९,काउली तराई,के.जी.,३०.००,२५.००,२७.५०
२०२४-०२-२९,मूला रातो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०२-२९,मूला सेतो(लोकल),के.जी.,३०.००,२५.००,२७.५०
२०२४-०२-२९,सेतो मूला(हाइब्रीड),केजी,३५.००,३०.००,३२.३३
२०२४-०२-२९,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७६.६७
२०२४-०२-२९,भन्टा डल्लो,के.जी.,८०.००,७०.००,७५.००
२०२४-०२-२९,मटरकोशा,के.जी.,१००.००,८०.००,९०.००
२०२४-०२-२९,घिउ सिमी(लोकल),के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०२-२९,घिउ सिमी(हाइब्रीड),केजी,१६०.००,१५०.००,१५५.००
२०२४-०२-२९,घिउ सिमी(राजमा),केजी,१२०.००,११०.००,११६.६७
२०२४-०२-२९,टाटे सिमी,के.जी.,११०.००,१००.००,१०५.००
२०२४-०२-२९,तितो करेला,के.जी.,१३०.००,१२०.००,१२५.००
२०२४-०२-२९,लौका,के.जी.,७०.००,६०.००,६५.००
२०२४-०२-२९,परवर(तराई),केजी,३००.००,२८०.००,२९०.००
२०२४-०२-२९,घिरौला,के.जी.,१४०.००,१३०.००,१३५.००
२०२४-०२-२९,फर्सी पाकेको,के.जी.,५०.००,४५.००,४७.५०
२०२४-०२-२९,फर्सी हरियो(लाम्चो),के.जी.,६०.००,५०.००,५५.००
२०२४-०२-२९,हरियो फर्सी(डल्लो),केजी,६०.००,५०.००,५५.००
२०२४-०२-२९,सलगम,के.जी.,८०.००,७०.००,७६.६७
२०२४-०२-२९,भिण्डी,के.जी.,१२०.००,११०.००,११५.००
२०२४-०२-२९,सखरखण्ड,के.जी.,७०.००,६०.००,६६.६७
२०२४-०२-२९,बरेला,के.जी.,६०.००,५०.००,५५.००
२०२४-०२-२९,पिंडालू,के.जी.,१००.००,९०.००,९६.६७
२०२४-०२-२९,स्कूस,के.जी.,५०.००,४०.००,४५.००
२०२४-०२-२९,रायो साग,के.जी.,५०.००,४०.००,४६.६७
२०२४-०२-२९,पालूगो साग,के.जी.,६०.००,५०.००,५६.६७
२०२४-०२-२९,चमसूरको साग,के.जी.,६०.००,५०.००,५६.६७
२०२४-०२-२९,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२४-०२-२९,मेथीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२४-०२-२९,प्याज हरियो,के.जी.,८०.००,७०.००,७६.६७
२०२४-०२-२९,बकूला,के.जी.,९०.००,८०.००,८६.६७
