Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०३-११,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२४-०३-११,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२४-०३-११,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.५०
२०२४-०३-११,गोलभेडा सानो(टनेल),के जी,३५.००,३०.००,३२.५०
२०२४-०३-११,गोलभेडा सानो(तराई),के जी,३५.००,२५.००,३०.००
२०२४-०३-११,आलु रातो,के.जी.,३५.००,३२.००,३३.२०
२०२४-०३-११,आलु रातो(भारतीय),के जी,३८.००,३५.००,३६.५०
२०२४-०३-११,आलु सेतो,के.जी.,३०.००,२८.००,२९.००
२०२४-०३-११,प्याज सुकेको (भारतीय),के.जी.,७८.००,७२.००,७५.००
२०२४-०३-११,गाजर(लोकल),के.जी.,३५.००,३०.००,३२.५०
२०२४-०३-११,गाजर(तराई),केजी,३०.००,२५.००,२७.५०
२०२४-०३-११,बन्दा(लोकल),के.जी.,३२.००,२५.००,२९.२५
२०२४-०३-११,बन्दा(नरिवल),केजी,२८.००,२२.००,२५.००
२०२४-०३-११,काउली स्थानिय,के.जी.,४०.००,३०.००,३५.००
२०२४-०३-११,स्थानीय काउली(ज्यापु),केजी,५०.००,४०.००,४५.००
२०२४-०३-११,काउली तराई,के.जी.,३०.००,२५.००,२७.५०
२०२४-०३-११,मूला रातो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०३-११,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२४-०३-११,भन्टा लाम्चो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०३-११,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२४-०३-११,मटरकोशा,के.जी.,८०.००,७०.००,७५.००
२०२४-०३-११,घिउ सिमी(लोकल),के.जी.,११०.००,१००.००,१०५.००
२०२४-०३-११,घिउ सिमी(हाइब्रीड),केजी,११०.००,१००.००,१०५.००
२०२४-०३-११,घिउ सिमी(राजमा),केजी,१३०.००,१२०.००,१२५.००
