Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०३-१९,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२४-०३-१९,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०३-१९,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०३-१९,गोलभेडा सानो(टनेल),के जी,६०.००,५०.००,५५.००
२०२४-०३-१९,गोलभेडा सानो(तराई),के जी,५५.००,४५.००,५०.००
२०२४-०३-१९,आलु रातो,के.जी.,४०.००,३८.००,३९.००
२०२४-०३-१९,आलु रातो(भारतीय),के जी,४०.००,३८.००,३९.००
२०२४-०३-१९,आलु सेतो,के.जी.,३५.००,३२.००,३३.५०
२०२४-०३-१९,प्याज सुकेको (भारतीय),के.जी.,७५.००,७०.००,७२.४०
२०२४-०३-१९,गाजर(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२४-०३-१९,गाजर(तराई),केजी,३०.००,२५.००,२८.३३
२०२४-०३-१९,बन्दा(लोकल),के.जी.,२६.००,२०.००,२३.४०
२०२४-०३-१९,बन्दा(नरिवल),केजी,२५.००,२०.००,२२.५०
२०२४-०३-१९,काउली स्थानिय,के.जी.,३०.००,२०.००,२५.००
२०२४-०३-१९,स्थानीय काउली(ज्यापु),केजी,५०.००,४०.००,४५.००
२०२४-०३-१९,मूला रातो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०३-१९,सेतो मूला(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२४-०३-१९,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७६.६७
२०२४-०३-१९,भन्टा डल्लो,के.जी.,८०.००,७०.००,७५.००
२०२४-०३-१९,बोडी(तने),के.जी.,१५०.००,१३०.००,१४०.००
२०२४-०३-१९,मटरकोशा,के.जी.,६०.००,५०.००,५५.००
२०२४-०३-१९,घिउ सिमी(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२४-०३-१९,घिउ सिमी(हाइब्रीड),केजी,८०.००,७०.००,७५.००
२०२४-०३-१९,घिउ सिमी(राजमा),केजी,१२०.००,११०.००,११५.००
२०२४-०३-१९,टाटे सिमी,के.जी.,११०.००,१००.००,१०५.००
२०२४-०३-१९,तितो करेला,के.जी.,१२०.००,११०.००,११५.००
२०२४-०३-१९,लौका,के.जी.,७०.००,६०.००,६५.००
२०२४-०३-१९,परवर(तराई),केजी,१३०.००,१२०.००,१२५.००
२०२४-०३-१९,घिरौला,के.जी.,९०.००,८०.००,८५.००
२०२४-०३-१९,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२४-०३-१९,फर्सी हरियो(लाम्चो),के.जी.,५०.००,४०.००,४५.००
२०२४-०३-१९,हरियो फर्सी(डल्लो),केजी,६०.००,५०.००,५५.००
२०२४-०३-१९,सलगम,के.जी.,८०.००,७०.००,७६.६७
