Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०४-१२,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२४-०४-१२,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२४-०४-१२,गोलभेडा सानो(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२४-०४-१२,गोलभेडा सानो(टनेल),के जी,६०.००,५०.००,५५.००
२०२४-०४-१२,गोलभेडा सानो(भारतीय),के जी,५५.००,४५.००,५०.००
२०२४-०४-१२,गोलभेडा सानो(तराई),के जी,६०.००,५०.००,५५.००
२०२४-०४-१२,आलु रातो,के.जी.,४५.००,४०.००,४२.४०
२०२४-०४-१२,प्याज सुकेको (भारतीय),के.जी.,८०.००,७५.००,७७.००
२०२४-०४-१२,गाजर(लोकल),के.जी.,४०.००,३५.००,३८.३३
२०२४-०४-१२,गाजर(तराई),केजी,३०.००,२५.००,२८.३३
२०२४-०४-१२,बन्दा(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०४-१२,काउली स्थानिय,के.जी.,३५.००,२५.००,२९.००
२०२४-०४-१२,स्थानीय काउली(ज्यापु),केजी,५०.००,४०.००,४५.००
२०२४-०४-१२,मूला रातो,के.जी.,६०.००,५०.००,५५.००
२०२४-०४-१२,सेतो मूला(हाइब्रीड),केजी,४०.००,३०.००,३५.००
२०२४-०४-१२,भन्टा लाम्चो,के.जी.,३०.००,२०.००,२५.००
२०२४-०४-१२,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२४-०४-१२,बोडी(तने),के.जी.,१००.००,९०.००,९५.००
२०२४-०४-१२,मटरकोशा,के.जी.,९०.००,८०.००,८६.६७
२०२४-०४-१२,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९६.००
२०२४-०४-१२,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२४-०४-१२,घिउ सिमी(राजमा),केजी,१८०.००,१५०.००,१६३.३३
२०२४-०४-१२,टाटे सिमी,के.जी.,९०.००,८०.००,८६.६७
२०२४-०४-१२,तितो करेला,के.जी.,१००.००,९०.००,९६.००
२०२४-०४-१२,लौका,के.जी.,६०.००,५०.००,५५.००
२०२४-०४-१२,परवर(तराई),केजी,१००.००,९०.००,९५.००
२०२४-०४-१२,घिरौला,के.जी.,१००.००,९०.००,९५.००
२०२४-०४-१२,फर्सी पाकेको,के.जी.,४५.००,३५.००,४०.००
२०२४-०४-१२,फर्सी हरियो(लाम्चो),के.जी.,४०.००,३०.००,३५.००
२०२४-०४-१२,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३६.६७
२०२४-०४-१२,सलगम,के.जी.,८०.००,७०.००,७६.६७
२०२४-०४-१२,भिण्डी,के.जी.,१००.००,९०.००,९४.००
२०२४-०४-१२,सखरखण्ड,के.जी.,८०.००,७०.००,७६.६७
२०२४-०४-१२,बरेला,के.जी.,६०.००,५०.००,५५.००
२०२४-०४-१२,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२४-०४-१२,रायो साग,के.जी.,९०.००,८०.००,८६.६७
२०२४-०४-१२,पालूगो साग,के.जी.,१५०.००,१४०.००,१४६.६७
२०२४-०४-१२,चमसूरको साग,के.जी.,१५०.००,१४०.००,१४६.६७
२०२४-०४-१२,तोरीको साग,के.जी.,५०.००,४०.००,४६.६७
२०२४-०४-१२,मेथीको साग,के.जी.,१५०.००,१४०.००,१४६.६७
२०२४-०४-१२,प्याज हरियो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०४-१२,बकूला,के.जी.,६०.००,५०.००,५५.००
२०२४-०४-१२,तरुल,के.जी.,११०.००,१००.००,१०५.००
२०२४-०४-१२,च्याउ(कन्य),के.जी.,२००.००,१८०.००,१९०.००
२०२४-०४-१२,च्याउ(डल्ले),के जी,४००.००,३६०.००,३८०.००
२०२४-०४-१२,कुरीलो,के.जी.,४५०.००,४००.००,४३३.३३
२०२४-०४-१२,न्यूरो,के.जी.,८०.००,७०.००,७६.६७
२०२४-०४-१२,ब्रोकाउली,के.जी.,६०.००,५०.००,५६.६७
२०२४-०४-१२,चुकुन्दर,के.जी.,७०.००,६०.००,६६.६७
२०२४-०४-१२,सजिवन,के.जी.,२००.००,१५०.००,१८३.३३
२०२४-०४-१२,कोइरालो,के.जी.,२००.००,१५०.००,१७५.००
२०२४-०४-१२,रातो बन्दा,के.जी.,६०.००,५०.००,५६.६७
२०२४-०४-१२,जिरीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२४-०४-१२,ग्याठ कोबी,के.जी.,७०.००,६०.००,६६.६७
२०२४-०४-१२,सेलरी,के.जी.,९०.००,८०.००,८६.६७
२०२४-०४-१२,पार्सले,के.जी.,१६०.००,१५०.००,१५६.६७
२०२४-०४-१२,सौफको साग,के.जी.,१५०.००,१४०.००,१४६.६७
२०२४-०४-१२,पुदीना,के.जी.,१३०.००,१२०.००,१२५.००
२०२४-०४-१२,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२४-०४-१२,इमली,के.जी.,१५०.००,१४०.००,१४६.६७
२०२४-०४-१२,तामा,के.जी.,१००.००,९०.००,९६.६७
२०२४-०४-१२,तोफु,के.जी.,१७०.००,१५०.००,१६०.००
