Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०४-३०,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२४-०४-३०,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०४-३०,गोलभेडा सानो(लोकल),के.जी.,३०.००,२५.००,२७.५०
२०२४-०४-३०,गोलभेडा सानो(भारतीय),के जी,३५.००,३०.००,३२.५०
२०२४-०४-३०,गोलभेडा सानो(तराई),के जी,३५.००,२५.००,३०.००
२०२४-०४-३०,आलु रातो,के.जी.,५०.००,४५.००,४७.५०
२०२४-०४-३०,आलु रातो(भारतीय),के जी,५०.००,४५.००,४७.५०
२०२४-०४-३०,आलु सेतो,के.जी.,४५.००,४०.००,४२.५०
२०२४-०४-३०,प्याज सुकेको (भारतीय),के.जी.,७०.००,६५.००,६८.००
२०२४-०४-३०,गाजर(लोकल),के.जी.,६०.००,५५.००,५८.३३
२०२४-०४-३०,गाजर(तराई),केजी,४०.००,३०.००,३५.००
२०२४-०४-३०,बन्दा(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०४-३०,काउली स्थानिय,के.जी.,५०.००,४०.००,४५.००
२०२४-०४-३०,स्थानीय काउली(ज्यापु),केजी,७०.००,६०.००,६५.००
२०२४-०४-३०,सेतो मूला(हाइब्रीड),केजी,४०.००,३०.००,३५.००
२०२४-०४-३०,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२४-०४-३०,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२४-०४-३०,बोडी(तने),के.जी.,९०.००,८०.००,८६.००
२०२४-०४-३०,मकै बोडी,केजी,१३०.००,१२०.००,१२६.६७
२०२४-०४-३०,मटरकोशा,के.जी.,८०.००,७०.००,७६.६७
२०२४-०४-३०,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०४-३०,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२४-०४-३०,घिउ सिमी(राजमा),केजी,९०.००,८०.००,८६.६७
२०२४-०४-३०,भटमासकोशा,के.जी.,२२०.००,१८०.००,२००.००
२०२४-०४-३०,तितो करेला,के.जी.,७०.००,६०.००,६५.००
२०२४-०४-३०,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०४-३०,परवर(लोकल),के.जी.,८०.००,७०.००,७६.००
२०२४-०४-३०,परवर(तराई),केजी,८०.००,७०.००,७५.००
२०२४-०४-३०,चिचिण्डो,के.जी.,८०.००,७०.००,७५.००
२०२४-०४-३०,घिरौला,के.जी.,६०.००,५०.००,५५.००
२०२४-०४-३०,झिगूनी,के.जी.,८०.००,७०.००,७५.००
२०२४-०४-३०,फर्सी पाकेको,के.जी.,४५.००,३५.००,४०.००
२०२४-०४-३०,फर्सी हरियो(लाम्चो),के.जी.,३०.००,२०.००,२५.००
