Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०६-०७,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२४-०६-०७,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०६-०७,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.५०
२०२४-०६-०७,गोलभेडा सानो(टनेल),के जी,३५.००,३०.००,३२.४०
२०२४-०६-०७,आलु रातो,के.जी.,५५.००,५०.००,५२.५०
२०२४-०६-०७,आलु रातो(भारतीय),के जी,४८.००,४६.००,४७.००
२०२४-०६-०७,आलु रातो(मुडे),केजी,४८.००,४६.००,४७.००
२०२४-०६-०७,प्याज सुकेको (भारतीय),के.जी.,७५.००,७०.००,७२.४०
२०२४-०६-०७,गाजर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-०६-०७,बन्दा(लोकल),के.जी.,२५.००,१८.००,२१.६०
२०२४-०६-०७,काउली स्थानिय,के.जी.,५०.००,४०.००,४५.००
२०२४-०६-०७,स्थानीय काउली(ज्यापु),केजी,६०.००,५०.००,५३.३३
२०२४-०६-०७,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२६.००
२०२४-०६-०७,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२४-०६-०७,भन्टा डल्लो,के.जी.,५०.००,४०.००,४६.६७
२०२४-०६-०७,बोडी(तने),के.जी.,१२०.००,१००.००,११०.००
२०२४-०६-०७,मकै बोडी,केजी,८०.००,७०.००,७६.६७
२०२४-०६-०७,मटरकोशा,के.जी.,२४०.००,२२०.००,२३०.००
२०२४-०६-०७,घिउ सिमी(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०६-०७,घिउ सिमी(हाइब्रीड),केजी,५०.००,४०.००,४५.००
२०२४-०६-०७,घिउ सिमी(राजमा),केजी,१४०.००,१२०.००,१३०.००
२०२४-०६-०७,भटमासकोशा,के.जी.,१२०.००,१००.००,११०.००
२०२४-०६-०७,तितो करेला,के.जी.,३०.००,२५.००,२८.००
२०२४-०६-०७,लौका,के.जी.,६०.००,५०.००,५५.००
२०२४-०६-०७,परवर(लोकल),के.जी.,८०.००,७०.००,७६.००
२०२४-०६-०७,परवर(तराई),केजी,६०.००,५०.००,५६.६७
२०२४-०६-०७,चिचिण्डो,के.जी.,५०.००,४०.००,४५.००
२०२४-०६-०७,घिरौला,के.जी.,५०.००,४०.००,४५.००
२०२४-०६-०७,झिगूनी,के.जी.,७०.००,६०.००,६६.६७
२०२४-०६-०७,फर्सी पाकेको,के.जी.,४०.००,३५.००,३७.५०
२०२४-०६-०७,फर्सी हरियो(लाम्चो),के.जी.,३०.००,२०.००,२५.००
२०२४-०६-०७,हरियो फर्सी(डल्लो),केजी,३०.००,२०.००,२५.००
२०२४-०६-०७,भिण्डी,के.जी.,३५.००,२८.००,३१.६०
२०२४-०६-०७,सखरखण्ड,के.जी.,७०.००,६०.००,६६.६७
२०२४-०६-०७,पिंडालू,के.जी.,१२०.००,१००.००,११०.००
२०२४-०६-०७,स्कूस,के.जी.,८०.००,७०.००,७६.६७
२०२४-०६-०७,रायो साग,के.जी.,४०.००,३०.००,३५.००
२०२४-०६-०७,पालूगो साग,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०६-०७,चमसूरको साग,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०६-०७,तोरीको साग,के.जी.,३०.००,२०.००,२६.६७
२०२४-०६-०७,मेथीको साग,के.जी.,१६०.००,१५०.००,१५६.६७
२०२४-०६-०७,प्याज हरियो,के.जी.,९०.००,८०.००,८६.६७
२०२४-०६-०७,च्याउ(कन्य),के.जी.,२००.००,१८०.००,१९२.००
२०२४-०६-०७,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२५.००
२०२४-०६-०७,कुरीलो,के.जी.,२८०.००,२५०.००,२६५.००
२०२४-०६-०७,न्यूरो,के.जी.,८०.००,७०.००,७६.६७
२०२४-०६-०७,ब्रोकाउली,के.जी.,८०.००,७०.००,७५.००
२०२४-०६-०७,चुकुन्दर,के.जी.,६०.००,५०.००,५६.६७
२०२४-०६-०७,सजिवन,के.जी.,१२०.००,११०.००,११५.००
२०२४-०६-०७,रातो बन्दा,के.जी.,६०.००,५०.००,५६.६७
२०२४-०६-०७,जिरीको साग,के.जी.,९०.००,८०.००,८६.६७
२०२४-०६-०७,सेलरी,के.जी.,१५०.००,१२०.००,१३५.००
२०२४-०६-०७,पार्सले,के.जी.,३००.००,२५०.००,२७५.००
२०२४-०६-०७,सौफको साग,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०६-०७,पुदीना,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०६-०७,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२४-०६-०७,इमली,के.जी.,१६०.००,१५०.००,१५६.६७
२०२४-०६-०७,तामा,के.जी.,११०.००,१००.००,१०५.००
२०२४-०६-०७,तोफु,के.जी.,१७०.००,१५०.००,१६०.००
२०२४-०६-०७,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२४-०६-०७,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०६-०७,केरा,दर्जन,१४०.००,१३०.००,१३३.३३
२०२४-०६-०७,कागती,के.जी.,२८०.००,२५०.००,२६६.००
२०२४-०६-०७,अनार,के.जी.,४००.००,३५०.००,३७५.००
२०२४-०६-०७,आँप(मालदह),के.जी.,१००.००,९०.००,९६.६७
२०२४-०६-०७,आँप(दसहरी),केजी,१००.००,९०.००,९६.६७
२०२४-०६-०७,तरबुजा(हरियो),के.जी.,४५.००,३५.००,४०.००
२०२४-०६-०७,मौसम,के.जी.,१५०.००,१४०.००,१४५.००
२०२४-०६-०७,जुनार,के.जी.,२८०.००,२५०.००,२६५.००
२०२४-०६-०७,भुई कटहर,प्रति गोटा,१८०.००,१६०.००,१७०.००
२०२४-०६-०७,काक्रो(लोकल),के.जी.,७०.००,५०.००,६०.००
२०२४-०६-०७,काक्रो(हाइब्रीड),के जी,३०.००,२५.००,२८.३३
२०२४-०६-०७,रुख कटहर,के.जी.,५०.००,४०.००,४६.६७
२०२४-०६-०७,नासपाती(चाइनिज),केजी,२५०.००,२२०.००,२३५.००
२०२४-०६-०७,मेवा(भारतीय),केजी,१००.००,९०.००,९६.६७
२०२४-०६-०७,लीच्ची(लोकल),के.जी.,१५०.००,१००.००,१२५.००
२०२४-०६-०७,लीच्ची(भारतीय),केजी,२५०.००,२४०.००,२४५.००
