Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०६-१५,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२४-०६-१५,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०६-१५,गोलभेडा सानो(लोकल),के.जी.,२०.००,१५.००,१८.००
२०२४-०६-१५,गोलभेडा सानो(टनेल),के जी,२८.००,२२.००,२५.२०
२०२४-०६-१५,आलु रातो,के.जी.,५६.००,५२.००,५४.००
२०२४-०६-१५,आलु रातो(भारतीय),के जी,४८.००,४६.००,४७.००
२०२४-०६-१५,आलु रातो(मुडे),केजी,५०.००,४८.००,४९.३३
२०२४-०६-१५,प्याज सुकेको (भारतीय),के.जी.,८५.००,८०.००,८३.००
२०२४-०६-१५,गाजर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०६-१५,बन्दा(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२४-०६-१५,काउली स्थानिय,के.जी.,६०.००,५०.००,५५.००
२०२४-०६-१५,स्थानीय काउली(ज्यापु),केजी,७०.००,६०.००,६६.६७
२०२४-०६-१५,मूला सेतो(लोकल),के.जी.,३५.००,२५.००,२९.००
२०२४-०६-१५,भन्टा लाम्चो,के.जी.,३५.००,२५.००,३०.००
२०२४-०६-१५,भन्टा डल्लो,के.जी.,५०.००,४०.००,४६.६७
२०२४-०६-१५,बोडी(तने),के.जी.,१००.००,९०.००,९५.००
२०२४-०६-१५,मकै बोडी,केजी,९०.००,८०.००,८५.००
२०२४-०६-१५,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५६.००
२०२४-०६-१५,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२४-०६-१५,घिउ सिमी(राजमा),केजी,१३०.००,१२०.००,१२६.६७
२०२४-०६-१५,भटमासकोशा,के.जी.,१२०.००,१००.००,११२.५०
२०२४-०६-१५,तितो करेला,के.जी.,५०.००,४०.००,४६.००
२०२४-०६-१५,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०६-१५,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२४-०६-१५,परवर(तराई),केजी,७०.००,६०.००,६५.००
२०२४-०६-१५,चिचिण्डो,के.जी.,४०.००,३५.००,३८.३३
२०२४-०६-१५,घिरौला,के.जी.,६०.००,५०.००,५६.००
२०२४-०६-१५,झिगूनी,के.जी.,७०.००,६०.००,६६.६७
२०२४-०६-१५,फर्सी पाकेको,के.जी.,४०.००,३५.००,३८.३३
२०२४-०६-१५,फर्सी हरियो(लाम्चो),के.जी.,४०.००,३०.००,३५.००
२०२४-०६-१५,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२४-०६-१५,भिण्डी,के.जी.,३५.००,२५.००,३०.००
२०२४-०६-१५,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२४-०६-१५,पिंडालू,के.जी.,११०.००,१००.००,१०५.००
२०२४-०६-१५,स्कूस,के.जी.,७०.००,६०.००,६६.६७
२०२४-०६-१५,रायो साग,के.जी.,५०.००,४०.००,४६.६७
२०२४-०६-१५,तोरीको साग,के.जी.,३०.००,२०.००,२५.००
२०२४-०६-१५,प्याज हरियो,के.जी.,१००.००,९०.००,९६.६७
२०२४-०६-१५,च्याउ(कन्य),के.जी.,२००.००,१६०.००,१७६.००
२०२४-०६-१५,च्याउ(डल्ले),के जी,३००.००,२७०.००,२८४.००
२०२४-०६-१५,कुरीलो,के.जी.,२५०.००,२००.००,२२५.००
२०२४-०६-१५,न्यूरो,के.जी.,८०.००,७०.००,७६.६७
२०२४-०६-१५,ब्रोकाउली,के.जी.,१००.००,९०.००,९६.६७
२०२४-०६-१५,चुकुन्दर,के.जी.,६०.००,५०.००,५६.६७
२०२४-०६-१५,सजिवन,के.जी.,१४०.००,१२०.००,१३०.००
२०२४-०६-१५,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२४-०६-१५,जिरीको साग,के.जी.,९०.००,८०.००,८६.६७
२०२४-०६-१५,सेलरी,के.जी.,१४०.००,१२०.००,१३०.००
२०२४-०६-१५,पार्सले,के.जी.,२८०.००,२५०.००,२६५.००
२०२४-०६-१५,पुदीना,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०६-१५,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२४-०६-१५,इमली,के.जी.,१६०.००,१५०.००,१५६.६७
२०२४-०६-१५,तामा,के.जी.,११०.००,१००.००,१०६.६७
२०२४-०६-१५,तोफु,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०६-१५,गुन्दुक,के.जी.,३२०.००,२८०.००,३००.००
२०२४-०६-१५,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०६-१५,केरा,दर्जन,१४०.००,१३०.००,१३५.००
२०२४-०६-१५,कागती,के.जी.,२६०.००,२३०.००,२४४.००
२०२४-०६-१५,अनार,के.जी.,४००.००,३५०.००,३७५.००
२०२४-०६-१५,आँप(मालदह),के.जी.,८०.००,७०.००,७५.००
२०२४-०६-१५,आँप(दसहरी),केजी,९०.००,८०.००,८६.६७
२०२४-०६-१५,तरबुजा(हरियो),के.जी.,४५.००,४०.००,४३.३३
२०२४-०६-१५,जुनार,के.जी.,३००.००,२८०.००,२९०.००
२०२४-०६-१५,भुई कटहर,प्रति गोटा,१८०.००,१६०.००,१७०.००
