Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०६-२५,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२४-०६-२५,गोलभेडा सानो(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२४-०६-२५,गोलभेडा सानो(टनेल),के जी,१८.००,१३.००,१४.७५
२०२४-०६-२५,आलु रातो,के.जी.,५८.००,५४.००,५६.३३
२०२४-०६-२५,आलु रातो(भारतीय),के जी,५०.००,४८.००,४९.००
२०२४-०६-२५,आलु रातो(मुडे),केजी,५०.००,४८.००,४९.००
२०२४-०६-२५,प्याज सुकेको (भारतीय),के.जी.,१००.००,९५.००,९७.६७
२०२४-०६-२५,गाजर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०६-२५,बन्दा(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०६-२५,काउली स्थानिय,के.जी.,८०.००,७०.००,७५.००
२०२४-०६-२५,स्थानीय काउली(ज्यापु),केजी,९०.००,८०.००,८५.००
२०२४-०६-२५,सेतो मूला(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२४-०६-२५,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२४-०६-२५,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२४-०६-२५,बोडी(तने),के.जी.,६०.००,५०.००,५५.००
२०२४-०६-२५,मकै बोडी,केजी,९०.००,८०.००,८५.००
२०२४-०६-२५,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०६-२५,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२४-०६-२५,घिउ सिमी(राजमा),केजी,१२०.००,११०.००,११५.००
२०२४-०६-२५,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२४-०६-२५,तितो करेला,के.जी.,६०.००,५०.००,५५.००
२०२४-०६-२५,लौका,के.जी.,६०.००,५०.००,५५.००
२०२४-०६-२५,परवर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०६-२५,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२४-०६-२५,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२४-०६-२५,घिरौला,के.जी.,५०.००,४०.००,४५.००
२०२४-०६-२५,झिगूनी,के.जी.,७०.००,६०.००,६५.००
