Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०७-०४,गोलभेडा ठूलो(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२४-०७-०४,गोलभेडा सानो(लोकल),के.जी.,३०.००,२५.००,२७.६७
२०२४-०७-०४,गोलभेडा सानो(टनेल),के जी,४२.००,३०.००,३६.७५
२०२४-०७-०४,आलु रातो,के.जी.,६२.००,५८.००,५९.७५
२०२४-०७-०४,आलु रातो(भारतीय),के जी,५६.००,५४.००,५५.००
२०२४-०७-०४,आलु रातो(मुडे),केजी,५२.००,४८.००,४९.७५
२०२४-०७-०४,प्याज सुकेको (भारतीय),के.जी.,९२.००,८८.००,९०.००
२०२४-०७-०४,गाजर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०७-०४,बन्दा(लोकल),के.जी.,२५.००,२०.००,२२.३३
२०२४-०७-०४,काउली स्थानिय,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-०४,स्थानीय काउली(ज्यापु),केजी,१००.००,९०.००,९५.००
२०२४-०७-०४,मूला सेतो(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,सेतो मूला(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२४-०७-०४,भन्टा लाम्चो,के.जी.,३५.००,२५.००,३०.००
२०२४-०७-०४,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,बोडी(तने),के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,मकै बोडी,केजी,१००.००,९०.००,९५.००
२०२४-०७-०४,घिउ सिमी(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०७-०४,घिउ सिमी(हाइब्रीड),केजी,७०.००,६०.००,६५.००
२०२४-०७-०४,घिउ सिमी(राजमा),केजी,१३०.००,१२०.००,१२५.००
२०२४-०७-०४,टाटे सिमी,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-०४,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-०४,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,परवर(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-०७-०४,परवर(तराई),केजी,४०.००,३०.००,३५.००
२०२४-०७-०४,चिचिण्डो,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,घिरौला,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,झिगूनी,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,फर्सी पाकेको,के.जी.,४५.००,३५.००,४०.००
२०२४-०७-०४,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२४-०७-०४,भिण्डी,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-०४,पिंडालू,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-०४,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,रायो साग,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,तोरीको साग,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,प्याज हरियो,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-०४,च्याउ(कन्य),के.जी.,१५०.००,१२०.००,१३३.३३
२०२४-०७-०४,च्याउ(डल्ले),के जी,३२०.००,२८०.००,२९६.६७
२०२४-०७-०४,कुरीलो,के.जी.,२५०.००,२००.००,२२६.६७
२०२४-०७-०४,न्यूरो,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-०४,ब्रोकाउली,के.जी.,१४०.००,१२०.००,१३०.००
२०२४-०७-०४,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,रातो बन्दा,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,जिरीको साग,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-०४,सेलरी,के.जी.,१८०.००,१६०.००,१७०.००
२०२४-०७-०४,पार्सले,के.जी.,२८०.००,२५०.००,२६३.३३
२०२४-०७-०४,पुदीना,के.जी.,१८०.००,१६०.००,१७०.००
२०२४-०७-०४,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-०४,इमली,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०७-०४,तामा,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-०४,तोफु,के.जी.,१२०.००,११०.००,११५.००
२०२४-०७-०४,गुन्दुक,के.जी.,३००.००,२५०.००,२७६.६७
२०२४-०७-०४,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०७-०४,केरा,दर्जन,१४०.००,१३०.००,१३५.००
२०२४-०७-०४,कागती,के.जी.,२५०.००,२२०.००,२३३.३३
२०२४-०७-०४,अनार,के.जी.,४००.००,३५०.००,३७६.६७
२०२४-०७-०४,आँप(मालदह),के.जी.,७०.००,६०.००,६५.००
२०२४-०७-०४,आँप(दसहरी),केजी,८०.००,७०.००,७५.००
२०२४-०७-०४,तरबुजा(हरियो),के.जी.,६०.००,५०.००,५५.००
२०२४-०७-०४,मौसम,के.जी.,१८०.००,१६०.००,१७०.००
२०२४-०७-०४,जुनार,के.जी.,२५०.००,२२०.००,२३३.३३
२०२४-०७-०४,भुई कटहर,प्रति गोटा,१८०.००,१६०.००,१७०.००
२०२४-०७-०४,काक्रो(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२४-०७-०४,काक्रो(हाइब्रीड),के जी,४०.००,३०.००,३५.००
२०२४-०७-०४,रुख कटहर,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,नासपाती(चाइनिज),केजी,२५०.००,२२०.००,२३३.३३
२०२४-०७-०४,मेवा(भारतीय),केजी,९०.००,८०.००,८५.००
२०२४-०७-०४,किवि,केजी,६००.००,५५०.००,५७६.६७
२०२४-०७-०४,आभोकाडो,के.जी,६००.००,५५०.००,५७६.६७
२०२४-०७-०४,अदुवा,के.जी.,२५०.००,२२०.००,२३३.३३
२०२४-०७-०४,खु्र्सानी सुकेको,के.जी.,५००.००,४६०.००,४८०.००
२०२४-०७-०४,खु्र्सानी हरियो,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-०४,खुर्सानी हरियो(बुलेट),के जी,९०.००,८०.००,८५.००
२०२४-०७-०४,खुर्सानी हरियो(माछे),के जी,४०.००,३०.००,३५.००
२०२४-०७-०४,खुर्सानी हरियो(अकबरे),के जी,३५०.००,२५०.००,३००.००
२०२४-०७-०४,भेडे खु्र्सानी,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-०४,लसुन हरियो,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-०४,हरियो धनिया,के.जी.,९०.००,७०.००,८०.००
२०२४-०७-०४,लसुन सुकेको चाइनिज,के.जी.,२२०.००,२१०.००,२१५.००
२०२४-०७-०४,लसुन सुकेको नेपाली,के.जी.,२३०.००,२२०.००,२२५.००
२०२४-०७-०४,छ्यापी सुकेको,के.जी.,१५०.००,१४०.००,१४५.००
२०२४-०७-०४,छ्यापी हरियो,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-०४,ताजा माछा(रहु),के जी,३४०.००,३३०.००,३३५.००
२०२४-०७-०४,ताजा माछा(बचुवा),के जी,२५०.००,२४०.००,२४५.००
२०२४-०७-०४,ताजा माछा(छडी),के जी,२६०.००,२४०.००,२५०.००
२०२४-०७-०४,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
