Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०७-१०,गोलभेडा ठूलो(नेपाली),के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-१०,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४४.००
२०२४-०७-१०,गोलभेडा सानो(टनेल),के जी,६०.००,५०.००,५५.००
२०२४-०७-१०,आलु रातो,के.जी.,६८.००,६४.००,६६.००
२०२४-०७-१०,आलु रातो(भारतीय),के जी,६०.००,५८.००,५९.००
२०२४-०७-१०,आलु रातो(मुडे),केजी,५२.००,५०.००,५१.३३
२०२४-०७-१०,प्याज सुकेको (भारतीय),के.जी.,९५.००,९०.००,९३.००
२०२४-०७-१०,गाजर(लोकल),के.जी.,८०.००,७०.००,७६.००
२०२४-०७-१०,बन्दा(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२४-०७-१०,काउली स्थानिय,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-१०,स्थानीय काउली(ज्यापु),केजी,९०.००,८०.००,८६.६७
२०२४-०७-१०,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२४-०७-१०,भन्टा लाम्चो,के.जी.,७०.००,६०.००,६३.३३
२०२४-०७-१०,भन्टा डल्लो,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-१०,बोडी(तने),के.जी.,१००.००,८०.००,९०.००
२०२४-०७-१०,घिउ सिमी(राजमा),केजी,१५०.००,१३०.००,१४०.००
२०२४-०७-१०,भटमासकोशा,के.जी.,१३०.००,१२०.००,१२६.६७
२०२४-०७-१०,तितो करेला,के.जी.,९०.००,८०.००,८६.००
२०२४-०७-१०,लौका,के.जी.,६०.००,५०.००,५६.००
२०२४-०७-१०,परवर(लोकल),के.जी.,६०.००,५०.००,५६.६७
२०२४-०७-१०,चिचिण्डो,के.जी.,६०.००,५०.००,५६.६७
२०२४-०७-१०,घिरौला,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-१०,झिगूनी,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-१०,फर्सी पाकेको,के.जी.,४०.००,३५.००,३८.३३
२०२४-०७-१०,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२४-०७-१०,भिण्डी,के.जी.,१००.००,९०.००,९६.००
२०२४-०७-१०,स्कूस,के.जी.,७०.००,६०.००,६६.६७
२०२४-०७-१०,रायो साग,के.जी.,१३०.००,१२०.००,१२६.६७
२०२४-०७-१०,तोरीको साग,के.जी.,६०.००,५०.००,५६.६७
२०२४-०७-१०,प्याज हरियो,के.जी.,९०.००,८०.००,८६.६७
२०२४-०७-१०,च्याउ(कन्य),के.जी.,२००.००,१७०.००,१८६.००
२०२४-०७-१०,च्याउ(डल्ले),के जी,४००.००,३५०.००,३८२.००
२०२४-०७-१०,कुरीलो,के.जी.,२५०.००,२००.००,२२५.००
२०२४-०७-१०,न्यूरो,के.जी.,१००.००,९०.००,९६.६७
