Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०७-२३,गोलभेडा ठूलो(नेपाली),के.जी.,७५.००,६५.००,७०.००
२०२४-०७-२३,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.३३
२०२४-०७-२३,गोलभेडा सानो(टनेल),के जी,३५.००,२५.००,२९.००
२०२४-०७-२३,आलु रातो,के.जी.,७२.००,६८.००,६९.७५
२०२४-०७-२३,आलु रातो(भारतीय),के जी,५८.००,५६.००,५७.००
२०२४-०७-२३,आलु रातो(मुडे),केजी,५२.००,५०.००,५१.००
२०२४-०७-२३,आलु सेतो,के.जी.,५५.००,५२.००,५३.३३
२०२४-०७-२३,प्याज सुकेको (भारतीय),के.जी.,९०.००,८५.००,८७.६७
२०२४-०७-२३,गाजर(लोकल),के.जी.,९५.००,८५.००,९०.००
२०२४-०७-२३,बन्दा(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२३,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२३,स्थानीय काउली(ज्यापु),केजी,१२०.००,१००.००,११०.००
२०२४-०७-२३,मूला रातो,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२३,मूला सेतो(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२४-०७-२३,सेतो मूला(हाइब्रीड),केजी,४०.००,३०.००,३५.००
२०२४-०७-२३,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२३,भन्टा डल्लो,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-२३,बोडी(तने),के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२३,मकै बोडी,केजी,१४०.००,१३०.००,१३५.००
२०२४-०७-२३,घिउ सिमी(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२३,घिउ सिमी(हाइब्रीड),केजी,१२०.००,१००.००,११०.००
२०२४-०७-२३,घिउ सिमी(राजमा),केजी,१४०.००,१३०.००,१३५.००
२०२४-०७-२३,टाटे सिमी,के.जी.,१२०.००,११०.००,११५.००
२०२४-०७-२३,भटमासकोशा,के.जी.,१५०.००,१३०.००,१४०.००
२०२४-०७-२३,तितो करेला,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२३,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२३,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२३,परवर(तराई),केजी,८०.००,७०.००,७५.००
२०२४-०७-२३,चिचिण्डो,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२३,घिरौला,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२३,झिगूनी,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-२३,फर्सी पाकेको,के.जी.,७०.००,६५.००,६७.६७
२०२४-०७-२३,हरियो फर्सी(डल्लो),केजी,९०.००,८०.००,८५.००
२०२४-०७-२३,भिण्डी,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२३,पिंडालू,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२३,स्कूस,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२३,रायो साग,के.जी.,२००.००,१५०.००,१७६.६७
२०२४-०७-२३,तोरीको साग,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२३,प्याज हरियो,के.जी.,२२०.००,१८०.००,२००.००
२०२४-०७-२३,च्याउ(कन्य),के.जी.,२००.००,१६०.००,१८०.००
२०२४-०७-२३,च्याउ(डल्ले),के जी,४००.००,३८०.००,३९०.००
२०२४-०७-२३,कुरीलो,के.जी.,३५०.००,२५०.००,३००.००
२०२४-०७-२३,न्यूरो,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२३,ब्रोकाउली,के.जी.,१२०.००,११०.००,११५.००
२०२४-०७-२३,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२३,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२३,जिरीको साग,के.जी.,४००.००,३००.००,३५०.००
२०२४-०७-२३,सेलरी,के.जी.,४००.००,३५०.००,३७६.६७
२०२४-०७-२३,पार्सले,के.जी.,६००.००,५४०.००,५७३.३३
२०२४-०७-२३,पुदीना,के.जी.,६००.००,५४०.००,५७३.३३
२०२४-०७-२३,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२३,इमली,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०७-२३,तामा,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२३,तोफु,के.जी.,१४०.००,१२०.००,१३१.६७
२०२४-०७-२३,गुन्दुक,के.जी.,३००.००,२५०.००,२७६.६७
२०२४-०७-२३,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०७-२३,केरा,दर्जन,१६०.००,१४०.००,१५०.००
२०२४-०७-२३,कागती,के.जी.,२६०.००,२४०.००,२५०.००
२०२४-०७-२३,अनार,के.जी.,४००.००,३५०.००,३७६.६७
२०२४-०७-२३,आँप(मालदह),के.जी.,११०.००,१००.००,१०५.००
२०२४-०७-२३,आँप(दसहरी),केजी,११०.००,१००.००,१०५.००
२०२४-०७-२३,तरबुजा(हरियो),के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२३,जुनार,के.जी.,२५०.००,२४०.००,२४५.००
२०२४-०७-२३,भुई कटहर,प्रति गोटा,१५०.००,१३०.००,१४०.००
२०२४-०७-२३,काक्रो(लोकल),के.जी.,१००.००,८०.००,९०.००
२०२४-०७-२३,काक्रो(हाइब्रीड),के जी,५०.००,४०.००,४५.००
२०२४-०७-२३,रुख कटहर,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२३,नासपाती(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२३,नासपाती(चाइनिज),केजी,२८०.००,२५०.००,२६६.६७
२०२४-०७-२३,मेवा(भारतीय),केजी,१००.००,९०.००,९५.००
२०२४-०७-२३,किवि,केजी,५५०.००,५००.००,५२६.६७
२०२४-०७-२३,आभोकाडो,के.जी,६००.००,५५०.००,५७६.६७
२०२४-०७-२३,अदुवा,के.जी.,२४०.००,२२०.००,२३०.००
२०२४-०७-२३,खु्र्सानी सुकेको,के.जी.,४८०.००,४६०.००,४७०.००
२०२४-०७-२३,खु्र्सानी हरियो,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२३,खुर्सानी हरियो(बुलेट),के जी,१२०.००,१००.००,११०.००
२०२४-०७-२३,खुर्सानी हरियो(माछे),के जी,८०.००,७०.००,७५.००
२०२४-०७-२३,खुर्सानी हरियो(अकबरे),के जी,४००.००,३५०.००,३७६.६७
२०२४-०७-२३,भेडे खु्र्सानी,के.जी.,१३०.००,११०.००,११८.७५
२०२४-०७-२३,लसुन हरियो,के.जी.,१८०.००,१६०.००,१७०.००
२०२४-०७-२३,हरियो धनिया,के.जी.,५००.००,४५०.००,४७६.६७
२०२४-०७-२३,लसुन सुकेको चाइनिज,के.जी.,२५०.००,२४०.००,२४५.००
२०२४-०७-२३,लसुन सुकेको नेपाली,के.जी.,२००.००,१८०.००,१९०.००
२०२४-०७-२३,छ्यापी सुकेको,के.जी.,१७०.००,१५०.००,१६०.००
२०२४-०७-२३,ताजा माछा(रहु),के जी,३५०.००,३४०.००,३४५.००
२०२४-०७-२३,ताजा माछा(बचुवा),के जी,२५०.००,२४०.००,२४५.००
२०२४-०७-२३,ताजा माछा(छडी),के जी,२६०.००,२४०.००,२५०.००
२०२४-०७-२३,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
