Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०७-२५,गोलभेडा ठूलो(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२५,गोलभेडा सानो(लोकल),के.जी.,३०.००,२५.००,२७.६७
२०२४-०७-२५,गोलभेडा सानो(टनेल),के जी,४३.००,३२.००,३७.५०
२०२४-०७-२५,आलु रातो,के.जी.,७२.००,६८.००,७०.००
२०२४-०७-२५,आलु रातो(भारतीय),के जी,५८.००,५६.००,५७.००
२०२४-०७-२५,आलु रातो(मुडे),केजी,५२.००,४८.००,४९.६७
२०२४-०७-२५,आलु सेतो,के.जी.,५५.००,५३.००,५४.००
२०२४-०७-२५,प्याज सुकेको (भारतीय),के.जी.,८८.००,८३.००,८५.३३
२०२४-०७-२५,गाजर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२५,बन्दा(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२५,काउली स्थानिय,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-२५,स्थानीय काउली(ज्यापु),केजी,१२०.००,१००.००,११०.००
२०२४-०७-२५,मूला रातो,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२५,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२४-०७-२५,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२४-०७-२५,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२५,भन्टा डल्लो,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-२५,बोडी(तने),के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२५,मकै बोडी,केजी,१३०.००,१२०.००,१२५.००
२०२४-०७-२५,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२५,घिउ सिमी(हाइब्रीड),केजी,१००.००,९०.००,९५.००
२०२४-०७-२५,घिउ सिमी(राजमा),केजी,१४०.००,१३०.००,१३५.००
२०२४-०७-२५,टाटे सिमी,के.जी.,१३०.००,१२०.००,१२५.००
२०२४-०७-२५,भटमासकोशा,के.जी.,१५०.००,१३०.००,१४०.००
२०२४-०७-२५,तितो करेला,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२५,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२५,परवर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२५,परवर(तराई),केजी,७०.००,६०.००,६५.००
२०२४-०७-२५,चिचिण्डो,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२५,घिरौला,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२५,झिगूनी,के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२५,फर्सी पाकेको,के.जी.,६५.००,६०.००,६२.३३
२०२४-०७-२५,हरियो फर्सी(डल्लो),केजी,१००.००,९०.००,९५.००
२०२४-०७-२५,भिण्डी,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-२५,पिंडालू,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२५,स्कूस,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-२५,रायो साग,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२५,तोरीको साग,के.जी.,६०.००,५०.००,५५.००
२०२४-०७-२५,प्याज हरियो,के.जी.,२००.००,१८०.००,१९०.००
२०२४-०७-२५,च्याउ(कन्य),के.जी.,२२०.००,१८०.००,१९७.५०
२०२४-०७-२५,च्याउ(डल्ले),के जी,३८०.००,३५०.००,३६६.६७
२०२४-०७-२५,कुरीलो,के.जी.,३५०.००,२५०.००,२९३.३३
२०२४-०७-२५,न्यूरो,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२५,ब्रोकाउली,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२५,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२५,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२४-०७-२५,जिरीको साग,के.जी.,५००.००,४५०.००,४७६.६७
२०२४-०७-२५,सेलरी,के.जी.,३००.००,२५०.००,२७६.६७
२०२४-०७-२५,पार्सले,के.जी.,६००.००,५००.००,५५०.००
२०२४-०७-२५,सौफको साग,के.जी.,३००.००,२५०.००,२७६.६७
२०२४-०७-२५,पुदीना,के.जी.,६००.००,५००.००,५५०.००
२०२४-०७-२५,गान्टे मूला,के.जी.,९०.००,८०.००,८५.००
२०२४-०७-२५,इमली,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०७-२५,तामा,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२५,तोफु,के.जी.,१४०.००,१२०.००,१३०.००
२०२४-०७-२५,गुन्दुक,के.जी.,३००.००,२५०.००,२७६.६७
२०२४-०७-२५,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०७-२५,केरा,दर्जन,१५०.००,१४०.००,१४५.००
२०२४-०७-२५,कागती,के.जी.,१६०.००,१२०.००,१४०.००
२०२४-०७-२५,अनार,के.जी.,४००.००,३५०.००,३७६.६७
२०२४-०७-२५,आँप(मालदह),के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२५,आँप(दसहरी),केजी,१२०.००,१००.००,११०.००
२०२४-०७-२५,तरबुजा(हरियो),के.जी.,८०.००,७५.००,७७.६७
२०२४-०७-२५,मौसम,के.जी.,२००.००,१८०.००,१९०.००
२०२४-०७-२५,जुनार,के.जी.,२६०.००,२४०.००,२५०.००
२०२४-०७-२५,भुई कटहर,प्रति गोटा,१८०.००,१६०.००,१७०.००
२०२४-०७-२५,काक्रो(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२४-०७-२५,काक्रो(हाइब्रीड),के जी,४०.००,३०.००,३५.००
२०२४-०७-२५,रुख कटहर,के.जी.,५०.००,४०.००,४५.००
२०२४-०७-२५,नासपाती(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२५,नासपाती(चाइनिज),केजी,२५०.००,२४०.००,२४५.००
२०२४-०७-२५,मेवा(भारतीय),केजी,१००.००,९०.००,९५.००
२०२४-०७-२५,किवि,केजी,५००.००,४५०.००,४७६.६७
२०२४-०७-२५,आभोकाडो,के.जी,६००.००,५५०.००,५७६.६७
२०२४-०७-२५,अदुवा,के.जी.,२४०.००,२२०.००,२३०.००
२०२४-०७-२५,खु्र्सानी सुकेको,के.जी.,४८०.००,४५०.००,४६६.६७
२०२४-०७-२५,खु्र्सानी हरियो,के.जी.,१००.००,९०.००,९५.००
२०२४-०७-२५,खुर्सानी हरियो(बुलेट),के जी,१००.००,९०.००,९५.००
२०२४-०७-२५,खुर्सानी हरियो(माछे),के जी,८०.००,७०.००,७५.००
२०२४-०७-२५,खुर्सानी हरियो(अकबरे),के जी,३५०.००,२५०.००,२९५.००
२०२४-०७-२५,भेडे खु्र्सानी,के.जी.,१२०.००,१००.००,११०.००
२०२४-०७-२५,लसुन हरियो,के.जी.,१७०.००,१४०.००,१५३.३३
२०२४-०७-२५,हरियो धनिया,के.जी.,२००.००,१५०.००,१७६.६७
२०२४-०७-२५,लसुन सुकेको चाइनिज,के.जी.,२५०.००,२४०.००,२४५.००
२०२४-०७-२५,लसुन सुकेको नेपाली,के.जी.,२३०.००,२००.००,२१६.६७
२०२४-०७-२५,छ्यापी सुकेको,के.जी.,१६०.००,१४०.००,१५०.००
२०२४-०७-२५,छ्यापी हरियो,के.जी.,२००.००,१५०.००,१७६.६७
२०२४-०७-२५,ताजा माछा(रहु),के जी,२५०.००,२४०.००,२४५.००
२०२४-०७-२५,ताजा माछा(बचुवा),के जी,२६०.००,२५०.००,२५५.००
२०२४-०७-२५,ताजा माछा(छडी),के जी,२६०.००,२४०.००,२५०.००
२०२४-०७-२५,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
