Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०८-०३,गोलभेडा ठूलो(नेपाली),के.जी.,८०.००,७०.००,७३.३३
२०२४-०८-०३,गोलभेडा सानो(लोकल),के.जी.,२०.००,१५.००,१६.६७
२०२४-०८-०३,गोलभेडा सानो(टनेल),के जी,३०.००,२२.००,२६.००
२०२४-०८-०३,आलु रातो,के.जी.,७२.००,६८.००,७०.५०
२०२४-०८-०३,आलु रातो(भारतीय),के जी,५८.००,५५.००,५६.३३
२०२४-०८-०३,आलु रातो(मुडे),केजी,५५.००,५२.००,५३.८०
२०२४-०८-०३,आलु सेतो,के.जी.,५५.००,५२.००,५४.००
२०२४-०८-०३,प्याज सुकेको (भारतीय),के.जी.,८५.००,८०.००,८३.००
२०२४-०८-०३,गाजर(लोकल),के.जी.,१२०.००,११०.००,११६.००
२०२४-०८-०३,गाजर(तराई),केजी,१००.००,९०.००,९६.६७
२०२४-०८-०३,बन्दा(लोकल),के.जी.,८०.००,७०.००,७६.००
२०२४-०८-०३,काउली स्थानिय,के.जी.,९०.००,८०.००,८६.००
२०२४-०८-०३,स्थानीय काउली(ज्यापु),केजी,१००.००,९०.००,९५.००
२०२४-०८-०३,मूला रातो,के.जी.,४०.००,३०.००,३६.६७
२०२४-०८-०३,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१८.३३
२०२४-०८-०३,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२४-०८-०३,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४५.००
२०२४-०८-०३,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२४-०८-०३,बोडी(तने),के.जी.,६०.००,५०.००,५५.००
२०२४-०८-०३,मकै बोडी,केजी,१३०.००,११०.००,१२०.००
२०२४-०८-०३,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५७.००
२०२४-०८-०३,घिउ सिमी(हाइब्रीड),केजी,७०.००,६०.००,६६.६७
२०२४-०८-०३,घिउ सिमी(राजमा),केजी,१६०.००,१४०.००,१५०.००
२०२४-०८-०३,टाटे सिमी,के.जी.,१२०.००,१००.००,११०.००
२०२४-०८-०३,भटमासकोशा,के.जी.,१८०.००,१६०.००,१६६.६७
२०२४-०८-०३,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२४-०८-०३,लौका,के.जी.,४०.००,३०.००,३५.००
२०२४-०८-०३,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-०८-०३,परवर(तराई),केजी,५०.००,४०.००,४६.६७
२०२४-०८-०३,चिचिण्डो,के.जी.,४५.००,४०.००,४३.३३
२०२४-०८-०३,घिरौला,के.जी.,४०.००,३०.००,३५.००
२०२४-०८-०३,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२४-०८-०३,फर्सी पाकेको,के.जी.,६०.००,५५.००,५७.००
२०२४-०८-०३,हरियो फर्सी(डल्लो),केजी,७०.००,६०.००,६५.००
२०२४-०८-०३,भिण्डी,के.जी.,४०.००,३०.००,३५.००
२०२४-०८-०३,पिंडालू,के.जी.,९०.००,८०.००,८६.६७
२०२४-०८-०३,स्कूस,के.जी.,६०.००,५०.००,५६.००
२०२४-०८-०३,रायो साग,के.जी.,११०.००,१००.००,१०६.६७
२०२४-०८-०३,तोरीको साग,के.जी.,७०.००,६०.००,६५.००
२०२४-०८-०३,प्याज हरियो,के.जी.,२००.००,१५०.००,१८३.३३
२०२४-०८-०३,च्याउ(कन्य),के.जी.,२००.००,१७०.००,१८४.००
२०२४-०८-०३,च्याउ(डल्ले),के जी,३८०.००,३४०.००,३६०.००
२०२४-०८-०३,कुरीलो,के.जी.,४००.००,३५०.००,३७५.००
२०२४-०८-०३,न्यूरो,के.जी.,९०.००,८०.००,८६.६७
२०२४-०८-०३,ब्रोकाउली,के.जी.,२००.००,१८०.००,१९३.३३
२०२४-०८-०३,चुकुन्दर,के.जी.,७०.००,६०.००,६६.६७
२०२४-०८-०३,रातो बन्दा,के.जी.,९०.००,८०.००,८६.६७
२०२४-०८-०३,जिरीको साग,के.जी.,४००.००,३००.००,३५०.००
२०२४-०८-०३,सेलरी,के.जी.,३००.००,२५०.००,२७५.००
२०२४-०८-०३,पार्सले,के.जी.,७००.००,६००.००,६५०.००
२०२४-०८-०३,सौफको साग,के.जी.,२५०.००,२००.००,२२५.००
२०२४-०८-०३,पुदीना,के.जी.,६००.००,५००.००,५५०.००
२०२४-०८-०३,गान्टे मूला,के.जी.,८०.००,७०.००,७६.६७
२०२४-०८-०३,इमली,के.जी.,१५०.००,१४०.००,१४५.००
२०२४-०८-०३,तामा,के.जी.,११०.००,१००.००,१०५.००
२०२४-०८-०३,तोफु,के.जी.,१६०.००,१५०.००,१५६.६७
२०२४-०८-०३,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२४-०८-०३,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०८-०३,केरा,दर्जन,१५०.००,१४०.००,१४५.००
२०२४-०८-०३,कागती,के.जी.,२५०.००,२००.००,२२५.००
२०२४-०८-०३,अनार,के.जी.,३६०.००,३५०.००,३५५.००
२०२४-०८-०३,आँप(मालदह),के.जी.,१८०.००,१६०.००,१७०.००
२०२४-०८-०३,आँप(दसहरी),केजी,२८०.००,१६०.००,२२०.००
२०२४-०८-०३,आँप(चोसा),केजी,१८०.००,१६०.००,१७०.००
२०२४-०८-०३,अंगुर(कालो),केजी,५००.००,४५०.००,४७५.००
२०२४-०८-०३,तरबुजा(हरियो),के.जी.,६०.००,५०.००,५५.००
२०२४-०८-०३,मौसम,के.जी.,१५०.००,१४०.००,१४५.००
२०२४-०८-०३,जुनार,के.जी.,२४०.००,२२०.००,२३०.००
२०२४-०८-०३,भुई कटहर,प्रति गोटा,१६०.००,१५०.००,१५५.००
२०२४-०८-०३,काक्रो(लोकल),के.जी.,८०.००,७०.००,७६.००
२०२४-०८-०३,काक्रो(हाइब्रीड),के जी,३०.००,२५.००,२७.५०
२०२४-०८-०३,रुख कटहर,के.जी.,५०.००,४०.००,४६.६७
२०२४-०८-०३,नासपाती(लोकल),के.जी.,१००.००,९०.००,९६.६७
२०२४-०८-०३,नासपाती(चाइनिज),केजी,३००.००,२८०.००,२९०.००
२०२४-०८-०३,मेवा(भारतीय),केजी,१००.००,९०.००,९६.६७
२०२४-०८-०३,लप्सी,के.जी.,७०.००,६०.००,६५.००
२०२४-०८-०३,किवि,केजी,५५०.००,५००.००,५२५.००
२०२४-०८-०३,आभोकाडो,के.जी,६००.००,५५०.००,५७५.००
२०२४-०८-०३,अदुवा,के.जी.,२००.००,१९०.००,१९६.००
२०२४-०८-०३,खु्र्सानी सुकेको,के.जी.,४५०.००,४००.००,४२५.००
२०२४-०८-०३,खु्र्सानी हरियो,के.जी.,१००.००,९०.००,९६.००
२०२४-०८-०३,खुर्सानी हरियो(बुलेट),के जी,१००.००,९०.००,९५.००
२०२४-०८-०३,खुर्सानी हरियो(माछे),के जी,१००.००,९०.००,९६.६७
२०२४-०८-०३,खुर्सानी हरियो(अकबरे),के जी,३५०.००,३००.००,३२५.००
२०२४-०८-०३,भेडे खु्र्सानी,के.जी.,१३०.००,११०.००,१२०.००
२०२४-०८-०३,लसुन हरियो,के.जी.,२००.००,१५०.००,१७५.००
२०२४-०८-०३,हरियो धनिया,के.जी.,२००.००,१५०.००,१७०.००
२०२४-०८-०३,लसुन सुकेको चाइनिज,के.जी.,२६०.००,२४०.००,२५०.००
२०२४-०८-०३,लसुन सुकेको नेपाली,के.जी.,२५०.००,२३०.००,२४०.००
२०२४-०८-०३,छ्यापी सुकेको,के.जी.,१७०.००,१६०.००,१६५.००
२०२४-०८-०३,छ्यापी हरियो,के.जी.,२००.००,१८०.००,१९०.००
२०२४-०८-०३,ताजा माछा(रहु),के जी,३५०.००,३४०.००,३४६.६७
२०२४-०८-०३,ताजा माछा(बचुवा),के जी,२६०.००,२५०.००,२५५.००
२०२४-०८-०३,ताजा माछा(छडी),के जी,२५०.००,२३०.००,२४०.००
२०२४-०८-०३,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
२०२४-०८-०३,सिताके च्याउ,के.जी.,१०००.००,९५०.००,९७५.००
