Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०९-०७,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२४-०९-०७,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२४-०९-०७,गोलभेडा सानो(लोकल),के.जी.,३०.००,२५.००,२७.६७
२०२४-०९-०७,गोलभेडा सानो(टनेल),के जी,४०.००,३०.००,३५.००
२०२४-०९-०७,गोलभेडा सानो(भारतीय),के जी,३५.००,३०.००,३२.६७
२०२४-०९-०७,आलु रातो,के.जी.,७२.००,६८.००,६९.७५
२०२४-०९-०७,आलु रातो(भारतीय),के जी,६०.००,५५.००,५७.६७
२०२४-०९-०७,आलु रातो(मुडे),केजी,६२.००,६०.००,६१.००
२०२४-०९-०७,प्याज सुकेको (भारतीय),के.जी.,१२५.००,१२२.००,१२३.३३
२०२४-०९-०७,गाजर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-०९-०७,गाजर(तराई),केजी,९०.००,८०.००,८५.००
२०२४-०९-०७,बन्दा(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-०९-०७,बन्दा(तराई),केजी,५०.००,४०.००,४५.००
२०२४-०९-०७,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२४-०९-०७,स्थानीय काउली(ज्यापु),केजी,१३०.००,१२०.००,१२५.००
२०२४-०९-०७,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२४-०९-०७,मूला सेतो(लोकल),के.जी.,२५.००,२०.००,२२.३३
२०२४-०९-०७,सेतो मूला(हाइब्रीड),केजी,३०.००,२५.००,२७.६७
२०२४-०९-०७,भन्टा लाम्चो,के.जी.,३५.००,२५.००,३०.००
२०२४-०९-०७,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२४-०९-०७,बोडी(तने),के.जी.,७०.००,६०.००,६५.००
२०२४-०९-०७,मकै बोडी,केजी,९०.००,८०.००,८५.००
२०२४-०९-०७,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
