Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-०९-१७,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२४-०९-१७,गोलभेडा सानो(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२४-०९-१७,गोलभेडा सानो(टनेल),के जी,४०.००,२८.००,३३.२५
२०२४-०९-१७,आलु रातो,के.जी.,७०.००,६५.००,६७.६७
२०२४-०९-१७,आलु रातो(भारतीय),के जी,५५.००,५२.००,५३.६७
२०२४-०९-१७,आलु रातो(मुडे),केजी,६०.००,५५.००,५७.६७
२०२४-०९-१७,प्याज सुकेको (भारतीय),के.जी.,११५.००,११०.००,११२.३३
२०२४-०९-१७,गाजर(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२४-०९-१७,गाजर(तराई),केजी,१००.००,९०.००,९५.००
२०२४-०९-१७,बन्दा(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०९-१७,बन्दा(तराई),केजी,४०.००,३०.००,३५.००
२०२४-०९-१७,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२४-०९-१७,मूला रातो,के.जी.,३०.००,२५.००,२७.६७
२०२४-०९-१७,मूला सेतो(लोकल),के.जी.,२५.००,२०.००,२२.३३
२०२४-०९-१७,सेतो मूला(हाइब्रीड),केजी,३०.००,२५.००,२७.६७
२०२४-०९-१७,भन्टा लाम्चो,के.जी.,३५.००,२५.००,३०.००
२०२४-०९-१७,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२४-०९-१७,बोडी(तने),के.जी.,६०.००,५०.००,५५.००
२०२४-०९-१७,मकै बोडी,केजी,८०.००,७०.००,७५.००
२०२४-०९-१७,घिउ सिमी(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२४-०९-१७,घिउ सिमी(हाइब्रीड),केजी,७०.००,६०.००,६५.००
२०२४-०९-१७,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२४-०९-१७,भटमासकोशा,के.जी.,१२०.००,१००.००,११०.००
२०२४-०९-१७,तितो करेला,के.जी.,६०.००,५०.००,५५.००
२०२४-०९-१७,लौका,के.जी.,५०.००,४०.००,४५.००
२०२४-०९-१७,परवर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-०९-१७,चिचिण्डो,के.जी.,३०.००,२०.००,२५.००
२०२४-०९-१७,घिरौला,के.जी.,५०.००,४०.००,४५.००
२०२४-०९-१७,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२४-०९-१७,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२४-०९-१७,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२४-०९-१७,भिण्डी,के.जी.,४०.००,३०.००,३५.००
२०२४-०९-१७,पिंडालू,के.जी.,६०.००,५०.००,५५.००
२०२४-०९-१७,स्कूस,के.जी.,३०.००,२०.००,२५.००
२०२४-०९-१७,रायो साग,के.जी.,१००.००,९०.००,९५.००
२०२४-०९-१७,पालूगो साग,के.जी.,१५०.००,१००.००,१२६.६७
२०२४-०९-१७,तोरीको साग,के.जी.,७०.००,५०.००,६०.००
२०२४-०९-१७,प्याज हरियो,के.जी.,२००.००,१८०.००,१९०.००
२०२४-०९-१७,च्याउ(कन्य),के.जी.,२००.००,१५०.००,१७६.६७
२०२४-०९-१७,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२६.६७
२०२४-०९-१७,कुरीलो,के.जी.,४५०.००,४००.००,४२६.६७
२०२४-०९-१७,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२४-०९-१७,ब्रोकाउली,के.जी.,१००.००,९०.००,९५.००
२०२४-०९-१७,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२४-०९-१७,जिरीको साग,के.जी.,१००.००,९०.००,९५.००
२०२४-०९-१७,सेलरी,के.जी.,७००.००,६००.००,६५०.००
२०२४-०९-१७,पार्सले,के.जी.,१८००.००,१६००.००,१७००.००
२०२४-०९-१७,पुदीना,के.जी.,७००.००,६००.००,६५०.००
२०२४-०९-१७,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२४-०९-१७,इमली,के.जी.,१६०.००,१५०.००,१५५.००
२०२४-०९-१७,तामा,के.जी.,१००.००,९०.००,९५.००
२०२४-०९-१७,तोफु,के.जी.,१३०.००,११०.००,१२०.००
२०२४-०९-१७,गुन्दुक,के.जी.,३००.००,२५०.००,२७६.६७
२०२४-०९-१७,स्याउ(झोले),के.जी.,२५०.००,२००.००,२२६.६७
२०२४-०९-१७,स्याउ(फूजी),के जी,३२०.००,३००.००,३१०.००
२०२४-०९-१७,केरा,दर्जन,१५०.००,१४०.००,१४५.००
२०२४-०९-१७,कागती,के.जी.,२४०.००,२००.००,२२३.३३
२०२४-०९-१७,अनार,के.जी.,४५०.००,४००.००,४२६.६७
२०२४-०९-१७,अंगुर(कालो),केजी,४००.००,३५०.००,३७६.६७
२०२४-०९-१७,सुन्तला(भारतीय),केजी,१२०.००,१००.००,११०.००
२०२४-०९-१७,तरबुजा(हरियो),के.जी.,७०.००,६०.००,६५.००
२०२४-०९-१७,मौसम,के.जी.,१२०.००,१००.००,११०.००
२०२४-०९-१७,जुनार,के.जी.,२८०.००,२५०.००,२६३.३३
२०२४-०९-१७,भुई कटहर,प्रति गोटा,१८०.००,१६०.००,१७०.००
२०२४-०९-१७,काक्रो(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-०९-१७,काक्रो(हाइब्रीड),के जी,२५.००,१५.००,२०.००
२०२४-०९-१७,निबुवा,के.जी.,६०.००,५०.००,५५.००
२०२४-०९-१७,नासपाती(लोकल),के.जी.,१००.००,९०.००,९५.००
