Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-१०-११,गोलभेडा ठूलो(भारतीय),केजी,१५०.००,१३०.००,१४१.२५
२०२४-१०-११,गोलभेडा सानो(लोकल),के.जी.,११०.००,९०.००,१०१.२५
२०२४-१०-११,गोलभेडा सानो(टनेल),के जी,१३०.००,१००.००,११७.००
२०२४-१०-११,आलु रातो,के.जी.,८८.००,८५.००,८६.३३
२०२४-१०-११,आलु रातो(भारतीय),के जी,६५.००,६१.००,६२.७५
२०२४-१०-११,आलु रातो(मुडे),केजी,८५.००,८०.००,८२.८०
२०२४-१०-११,प्याज सुकेको (भारतीय),के.जी.,११०.००,१०५.००,१०७.६०
२०२४-१०-११,गाजर(लोकल),के.जी.,१५०.००,१४०.००,१४५.७५
२०२४-१०-११,गाजर(तराई),केजी,१४०.००,१३०.००,१३५.७५
२०२४-१०-११,बन्दा(लोकल),के.जी.,६०.००,५०.००,५५.७५
२०२४-१०-११,बन्दा(तराई),केजी,४०.००,३०.००,३५.७५
२०२४-१०-११,काउली स्थानिय,के.जी.,१४०.००,१३०.००,१३५.७५
२०२४-१०-११,मूला रातो,के.जी.,७०.००,६०.००,६४.००
२०२४-१०-११,मूला सेतो(लोकल),के.जी.,७०.००,६०.००,६५.७५
२०२४-१०-११,सेतो मूला(हाइब्रीड),केजी,७०.००,६०.००,६५.७५
२०२४-१०-११,भन्टा लाम्चो,के.जी.,७०.००,६०.००,६५.००
२०२४-१०-११,भन्टा डल्लो,के.जी.,७०.००,६०.००,६५.००
२०२४-१०-११,बोडी(तने),के.जी.,१२०.००,१००.००,१११.२५
२०२४-१०-११,मकै बोडी,केजी,६०.००,५०.००,५५.००
२०२४-१०-११,मटरकोशा,के.जी.,१३०.००,१२०.००,१२५.००
२०२४-१०-११,घिउ सिमी(लोकल),के.जी.,९०.००,८०.००,८४.२५
२०२४-१०-११,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.७५
२०२४-१०-११,घिउ सिमी(राजमा),केजी,१५०.००,१४०.००,१४५.७५
२०२४-१०-११,टाटे सिमी,के.जी.,९०.००,८०.००,८५.००
२०२४-१०-११,तितो करेला,के.जी.,८०.००,७०.००,७५.००
२०२४-१०-११,लौका,के.जी.,७०.००,६०.००,६५.००
२०२४-१०-११,परवर(लोकल),के.जी.,९०.००,८०.००,८५.००
२०२४-१०-११,चिचिण्डो,के.जी.,६०.००,५०.००,५५.००
२०२४-१०-११,घिरौला,के.जी.,८०.००,७०.००,७५.००
२०२४-१०-११,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२४-१०-११,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२४-१०-११,सलगम,के.जी.,१००.००,९०.००,९५.००
२०२४-१०-११,भिण्डी,के.जी.,९०.००,८०.००,८५.००
२०२४-१०-११,सखरखण्ड,के.जी.,१००.००,९०.००,९५.००
२०२४-१०-११,बरेला,के.जी.,१२०.००,१००.००,११०.००
