Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-१०-२८,गोलभेडा ठूलो(भारतीय),केजी,१२०.००,१००.००,११०.००
२०२४-१०-२८,गोलभेडा सानो(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२४-१०-२८,गोलभेडा सानो(टनेल),के जी,१३०.००,११०.००,१२०.००
२०२४-१०-२८,गोलभेडा सानो(भारतीय),के जी,१२०.००,१००.००,११०.००
२०२४-१०-२८,आलु रातो,के.जी.,८५.००,८०.००,८२.६७
२०२४-१०-२८,आलु रातो(भारतीय),के जी,६४.००,६२.००,६३.००
२०२४-१०-२८,आलु रातो(मुडे),केजी,७५.००,७०.००,७२.६७
२०२४-१०-२८,आलु सेतो,के.जी.,७०.००,६८.००,६९.००
२०२४-१०-२८,प्याज सुकेको (भारतीय),के.जी.,१०५.००,१०२.००,१०३.३३
२०२४-१०-२८,गाजर(लोकल),के.जी.,१२०.००,११०.००,११५.००
२०२४-१०-२८,गाजर(तराई),केजी,१००.००,९०.००,९५.००
२०२४-१०-२८,बन्दा(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२४-१०-२८,बन्दा(तराई),केजी,४०.००,३०.००,३५.००
२०२४-१०-२८,काउली स्थानिय,के.जी.,१४०.००,१२०.००,१३०.००
२०२४-१०-२८,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२४-१०-२८,मूला सेतो(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२४-१०-२८,सेतो मूला(हाइब्रीड),केजी,४५.००,३०.००,३८.३३
२०२४-१०-२८,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७५.००
२०२४-१०-२८,भन्टा डल्लो,के.जी.,१००.००,९०.००,९५.००
२०२४-१०-२८,बोडी(तने),के.जी.,१२०.००,११०.००,११५.००
२०२४-१०-२८,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२४-१०-२८,मटरकोशा,के.जी.,२००.००,१८०.००,१९०.००
२०२४-१०-२८,घिउ सिमी(लोकल),के.जी.,८०.००,७०.००,७५.००
