Date,Product,Unit,Max Price,Min Price,Avg Price
२०२४-१२-२३,गोलभेडा ठूलो(भारतीय),केजी,१००.००,९०.००,९५.००
२०२४-१२-२३,गोलभेडा सानो(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-१२-२३,गोलभेडा सानो(भारतीय),के जी,८५.००,७०.००,७८.३३
२०२४-१२-२३,गोलभेडा सानो(तराई),के जी,८०.००,७०.००,७५.००
२०२४-१२-२३,आलु रातो,के.जी.,६०.००,५५.००,५७.६७
२०२४-१२-२३,आलु रातो(भारतीय),के जी,४८.००,४२.००,४५.००
२०२४-१२-२३,आलु सेतो,के.जी.,५२.००,५०.००,५१.००
२०२४-१२-२३,प्याज सुकेको (भारतीय),के.जी.,७०.००,६५.००,६७.६७
२०२४-१२-२३,गाजर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२४-१२-२३,गाजर(तराई),केजी,१००.००,९०.००,९५.००
२०२४-१२-२३,बन्दा(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२४-१२-२३,बन्दा(तराई),केजी,५०.००,४०.००,४५.००
२०२४-१२-२३,बन्दा(नरिवल),केजी,४०.००,३०.००,३५.००
२०२४-१२-२३,काउली स्थानिय,के.जी.,७०.००,६०.००,६५.००
२०२४-१२-२३,स्थानीय काउली(ज्यापु),केजी,१००.००,९०.००,९५.००
२०२४-१२-२३,काउली तराई,के.जी.,५०.००,४०.००,४५.००
२०२४-१२-२३,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२४-१२-२३,मूला सेतो(लोकल),के.जी.,५०.००,४५.००,४७.६७
२०२४-१२-२३,सेतो मूला(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२४-१२-२३,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७५.००
२०२४-१२-२३,भन्टा डल्लो,के.जी.,९०.००,८०.००,८५.००
२०२४-१२-२३,बोडी(तने),के.जी.,१३०.००,१२०.००,१२५.००
२०२४-१२-२३,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२४-१२-२३,मटरकोशा,के.जी.,१८०.००,१५०.००,१६६.६७
