Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०१-२३,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२५-०१-२३,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.६७
२०२५-०१-२३,गोलभेडा सानो(भारतीय),के जी,३०.००,२५.००,२७.६७
२०२५-०१-२३,गोलभेडा सानो(तराई),के जी,३५.००,२५.००,३०.००
२०२५-०१-२३,आलु रातो,के.जी.,४४.००,३८.००,४१.३३
२०२५-०१-२३,आलु रातो(भारतीय),के जी,४०.००,३८.००,३९.००
२०२५-०१-२३,प्याज सुकेको (भारतीय),के.जी.,६८.००,६५.००,६६.३३
२०२५-०१-२३,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२५-०१-२३,गाजर(तराई),केजी,४०.००,३०.००,३५.००
२०२५-०१-२३,बन्दा(लोकल),के.जी.,२५.००,१५.००,२०.००
२०२५-०१-२३,बन्दा(तराई),केजी,१५.००,१०.००,१२.३३
२०२५-०१-२३,बन्दा(नरिवल),केजी,१५.००,१०.००,१२.३३
२०२५-०१-२३,काउली स्थानिय,के.जी.,१५.००,१०.००,१२.३३
२०२५-०१-२३,स्थानीय काउली(ज्यापु),केजी,२०.००,१५.००,१७.६७
२०२५-०१-२३,काउली तराई,के.जी.,१५.००,१०.००,१२.३३
२०२५-०१-२३,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२५-०१-२३,मूला सेतो(लोकल),के.जी.,२५.००,२०.००,२२.६७
२०२५-०१-२३,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०१-२३,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२५-०१-२३,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-०१-२३,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२५-०१-२३,मटरकोशा,के.जी.,७०.००,५०.००,६०.००
२०२५-०१-२३,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०१-२३,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२५-०१-२३,घिउ सिमी(राजमा),केजी,६०.००,५०.००,५५.००
२०२५-०१-२३,टाटे सिमी,के.जी.,५०.००,४०.००,४५.००
२०२५-०१-२३,तितो करेला,के.जी.,१००.००,८०.००,९०.००
२०२५-०१-२३,लौका,के.जी.,७०.००,५०.००,६०.००
२०२५-०१-२३,परवर(तराई),केजी,१००.००,९०.००,९५.००
२०२५-०१-२३,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०१-२३,फर्सी हरियो(लाम्चो),के.जी.,१५.००,१०.००,१२.३३
२०२५-०१-२३,हरियो फर्सी(डल्लो),केजी,१५.००,१०.००,१२.३३
२०२५-०१-२३,सलगम,के.जी.,१००.००,९०.००,९५.००
२०२५-०१-२३,भिण्डी,के.जी.,१४०.००,१२०.००,१३०.००
२०२५-०१-२३,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२५-०१-२३,बरेला,के.जी.,३५.००,२५.००,३०.००
२०२५-०१-२३,पिंडालू,के.जी.,९०.००,८०.००,८५.००
२०२५-०१-२३,स्कूस,के.जी.,५०.००,४०.००,४५.००
२०२५-०१-२३,रायो साग,के.जी.,२०.००,१०.००,१५.००
