Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०२-०५,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२५-०२-०५,गोलभेडा सानो(भारतीय),के जी,३०.००,२५.००,२७.६७
२०२५-०२-०५,गोलभेडा सानो(तराई),के जी,२५.००,२०.००,२२.६७
२०२५-०२-०५,आलु रातो,के.जी.,३६.००,३२.००,३४.००
२०२५-०२-०५,आलु रातो(भारतीय),के जी,३४.००,३०.००,३२.००
२०२५-०२-०५,प्याज सुकेको (भारतीय),के.जी.,६५.००,६३.००,६४.००
२०२५-०२-०५,गाजर(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२५-०२-०५,गाजर(तराई),केजी,३०.००,२०.००,२५.००
२०२५-०२-०५,बन्दा(लोकल),के.जी.,२०.००,१०.००,१५.००
२०२५-०२-०५,बन्दा(तराई),केजी,१५.००,१०.००,१२.३३
२०२५-०२-०५,बन्दा(नरिवल),केजी,१५.००,१०.००,१२.३३
२०२५-०२-०५,काउली स्थानिय,के.जी.,१५.००,१०.००,१२.३३
२०२५-०२-०५,स्थानीय काउली(ज्यापु),केजी,२०.००,१५.००,१७.६७
२०२५-०२-०५,काउली तराई,के.जी.,१५.००,१०.००,१२.३३
२०२५-०२-०५,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-०५,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२५-०२-०५,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०२-०५,भन्टा लाम्चो,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-०५,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-०५,मटरकोशा,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-०५,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०२-०५,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२५-०२-०५,घिउ सिमी(राजमा),केजी,८०.००,७०.००,७५.००
२०२५-०२-०५,टाटे सिमी,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-०५,तितो करेला,के.जी.,११०.००,१००.००,१०५.००
२०२५-०२-०५,लौका,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-०५,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-०५,फर्सी हरियो(लाम्चो),के.जी.,२०.००,१०.००,१५.००
२०२५-०२-०५,हरियो फर्सी(डल्लो),केजी,२०.००,१०.००,१५.००
२०२५-०२-०५,सलगम,के.जी.,१००.००,९०.००,९५.००
२०२५-०२-०५,भिण्डी,के.जी.,१००.००,९०.००,९५.००
२०२५-०२-०५,सखरखण्ड,के.जी.,८०.००,७०.००,७५.००
२०२५-०२-०५,बरेला,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-०५,पिंडालू,के.जी.,९०.००,८०.००,८५.००
२०२५-०२-०५,स्कूस,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-०५,रायो साग,के.जी.,१५.००,१०.००,१२.३३
२०२५-०२-०५,पालूगो साग,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-०५,चमसूरको साग,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-०५,तोरीको साग,के.जी.,२५.००,२०.००,२२.६७
२०२५-०२-०५,मेथीको साग,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-०५,प्याज हरियो,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-०५,बकूला,के.जी.,७०.००,६०.००,६५.००
२०२५-०२-०५,तरुल,के.जी.,९०.००,८०.००,८५.००
२०२५-०२-०५,च्याउ(कन्य),के.जी.,९०.००,७०.००,८०.००
२०२५-०२-०५,च्याउ(डल्ले),के जी,३००.००,२८०.००,२९०.००
२०२५-०२-०५,ब्रोकाउली,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-०५,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-०५,सजिवन,के.जी.,२५०.००,२४०.००,२४५.००
२०२५-०२-०५,रातो बन्दा,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-०५,जिरीको साग,के.जी.,७०.००,६०.००,६५.००
२०२५-०२-०५,ग्याठ कोबी,के.जी.,९०.००,८०.००,८५.००
२०२५-०२-०५,सेलरी,के.जी.,४००.००,३००.००,३५०.००
२०२५-०२-०५,पार्सले,के.जी.,८००.००,७००.००,७५०.००
२०२५-०२-०५,सौफको साग,के.जी.,८०.००,७०.००,७५.००
२०२५-०२-०५,पुदीना,के.जी.,४००.००,३००.००,३५०.००
२०२५-०२-०५,गान्टे मूला,के.जी.,८०.००,७०.००,७५.००
२०२५-०२-०५,इमली,के.जी.,१६०.००,१५०.००,१५५.००
२०२५-०२-०५,तामा,के.जी.,१००.००,९०.००,९५.००
२०२५-०२-०५,तोफु,के.जी.,१२०.००,११०.००,११५.००
२०२५-०२-०५,गुन्दुक,के.जी.,३००.००,२८०.००,२९०.००
२०२५-०२-०५,स्याउ(झोले),के.जी.,२६०.००,२४०.००,२५०.००
२०२५-०२-०५,स्याउ(फूजी),के जी,३००.००,२५०.००,२७६.६७
२०२५-०२-०५,केरा,दर्जन,१५०.००,१४०.००,१४५.००
२०२५-०२-०५,कागती,के.जी.,१५०.००,१४०.००,१४५.००
