Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०२-२०,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२०,गोलभेडा ठूलो(भारतीय),केजी,६०.००,५०.००,५५.००
२०२५-०२-२०,गोलभेडा सानो(तराई),के जी,२३.००,१५.००,१९.३३
२०२५-०२-२०,आलु रातो,के.जी.,३६.००,३२.००,३४.००
२०२५-०२-२०,आलु रातो(भारतीय),के जी,३२.००,२८.००,३०.००
२०२५-०२-२०,प्याज सुकेको (भारतीय),के.जी.,७६.००,७२.००,७४.००
२०२५-०२-२०,गाजर(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२५-०२-२०,गाजर(तराई),केजी,३०.००,२०.००,२५.००
२०२५-०२-२०,बन्दा(लोकल),के.जी.,१२.००,८.००,१०.००
२०२५-०२-२०,बन्दा(तराई),केजी,१२.००,८.००,१०.००
२०२५-०२-२०,बन्दा(नरिवल),केजी,१२.००,८.००,१०.००
२०२५-०२-२०,काउली स्थानिय,के.जी.,१५.००,१०.००,१२.३३
२०२५-०२-२०,स्थानीय काउली(ज्यापु),केजी,२०.००,१५.००,१७.६७
२०२५-०२-२०,काउली तराई,के.जी.,१५.००,१०.००,१२.३३
२०२५-०२-२०,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-२०,मूला सेतो(लोकल),के.जी.,२५.००,१५.००,२०.००
२०२५-०२-२०,सेतो मूला(हाइब्रीड),केजी,२५.००,१५.००,२०.००
२०२५-०२-२०,भन्टा लाम्चो,के.जी.,२५.००,१५.००,२०.००
२०२५-०२-२०,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२०,मटरकोशा,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२०,घिउ सिमी(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२५-०२-२०,घिउ सिमी(हाइब्रीड),केजी,४०.००,३०.००,३५.००
२०२५-०२-२०,घिउ सिमी(राजमा),केजी,११०.००,१००.००,१०५.००
२०२५-०२-२०,टाटे सिमी,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-२०,तितो करेला,के.जी.,१३०.००,१२०.००,१२५.००
२०२५-०२-२०,लौका,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२०,चिचिण्डो,के.जी.,१२०.००,११०.००,११५.००
२०२५-०२-२०,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२०,फर्सी हरियो(लाम्चो),के.जी.,१२.००,८.००,१०.००
२०२५-०२-२०,हरियो फर्सी(डल्लो),केजी,१२.००,८.००,१०.००
२०२५-०२-२०,भिण्डी,के.जी.,११०.००,१००.००,१०५.००
२०२५-०२-२०,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२५-०२-२०,बरेला,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-२०,पिंडालू,के.जी.,९०.००,८०.००,८५.००
२०२५-०२-२०,स्कूस,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-२०,रायो साग,के.जी.,१५.००,१०.००,१२.३३
२०२५-०२-२०,पालूगो साग,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-२०,चमसूरको साग,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२०,तोरीको साग,के.जी.,२५.००,२०.००,२२.३३
२०२५-०२-२०,मेथीको साग,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२०,प्याज हरियो,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-२०,बकूला,के.जी.,७०.००,६०.००,६५.००
२०२५-०२-२०,तरुल,के.जी.,८०.००,७०.००,७५.००
२०२५-०२-२०,च्याउ(कन्य),के.जी.,१००.००,८०.००,९०.००
२०२५-०२-२०,च्याउ(डल्ले),के जी,४००.००,३५०.००,३७६.६७
२०२५-०२-२०,ब्रोकाउली,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-२०,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२०,रातो बन्दा,के.जी.,६०.००,५०.००,५५.००
