Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०२-२८,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२८,गोलभेडा ठूलो(भारतीय),केजी,६०.००,५०.००,५५.००
२०२५-०२-२८,गोलभेडा सानो(तराई),के जी,२२.००,१४.००,१८.५०
२०२५-०२-२८,आलु रातो,के.जी.,३३.००,३०.००,३१.६७
२०२५-०२-२८,आलु रातो(भारतीय),के जी,३२.००,३०.००,३१.००
२०२५-०२-२८,प्याज सुकेको (भारतीय),के.जी.,७२.००,७०.००,७१.००
२०२५-०२-२८,गाजर(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२५-०२-२८,गाजर(तराई),केजी,३०.००,२५.००,२७.६७
२०२५-०२-२८,बन्दा(लोकल),के.जी.,१२.००,८.००,१०.००
२०२५-०२-२८,बन्दा(तराई),केजी,१२.००,८.००,१०.००
२०२५-०२-२८,बन्दा(नरिवल),केजी,१२.००,८.००,१०.००
२०२५-०२-२८,काउली स्थानिय,के.जी.,२५.००,१५.००,२०.००
२०२५-०२-२८,स्थानीय काउली(ज्यापु),केजी,३५.००,२५.००,३०.००
२०२५-०२-२८,काउली तराई,के.जी.,२५.००,१५.००,२०.००
२०२५-०२-२८,मूला रातो,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-२८,मूला सेतो(लोकल),के.जी.,२५.००,१५.००,२०.००
२०२५-०२-२८,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०२-२८,भन्टा लाम्चो,के.जी.,३०.००,२०.००,२५.००
२०२५-०२-२८,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२८,मटरकोशा,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२८,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२८,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२५-०२-२८,घिउ सिमी(राजमा),केजी,१००.००,८०.००,९०.००
२०२५-०२-२८,टाटे सिमी,के.जी.,७०.००,६०.००,६५.००
२०२५-०२-२८,तितो करेला,के.जी.,११०.००,९०.००,१००.००
२०२५-०२-२८,लौका,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२८,परवर(लोकल),के.जी.,२००.००,१८०.००,१९०.००
२०२५-०२-२८,घिरौला,के.जी.,११०.००,९०.००,१००.००
२०२५-०२-२८,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२८,फर्सी हरियो(लाम्चो),के.जी.,१२.००,८.००,१०.००
२०२५-०२-२८,हरियो फर्सी(डल्लो),केजी,१२.००,८.००,१०.००
२०२५-०२-२८,भिण्डी,के.जी.,११०.००,१००.००,१०५.००
२०२५-०२-२८,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२५-०२-२८,बरेला,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-२८,पिंडालू,के.जी.,१३०.००,११०.००,१२०.००
२०२५-०२-२८,स्कूस,के.जी.,४५.००,३५.००,४०.००
२०२५-०२-२८,रायो साग,के.जी.,२५.००,१५.००,२०.००
२०२५-०२-२८,पालूगो साग,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२८,चमसूरको साग,के.जी.,५०.००,४०.००,४५.००
२०२५-०२-२८,तोरीको साग,के.जी.,२५.००,२०.००,२२.३३
२०२५-०२-२८,मेथीको साग,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२८,प्याज हरियो,के.जी.,४०.००,३०.००,३५.००
२०२५-०२-२८,बकूला,के.जी.,६०.००,५०.००,५५.००
२०२५-०२-२८,तरुल,के.जी.,११०.००,१००.००,१०५.००
२०२५-०२-२८,च्याउ(कन्य),के.जी.,१००.००,७०.००,८३.३३
