Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०३-०६,गोलभेडा ठूलो(नेपाली),के.जी.,२५.००,२०.००,२२.३३
२०२५-०३-०६,गोलभेडा ठूलो(भारतीय),केजी,५०.००,४०.००,४५.००
२०२५-०३-०६,गोलभेडा सानो(तराई),के जी,२२.००,१४.००,१८.००
२०२५-०३-०६,आलु रातो,के.जी.,३४.००,३२.००,३३.००
२०२५-०३-०६,आलु रातो(भारतीय),के जी,३२.००,३०.००,३१.००
२०२५-०३-०६,प्याज सुकेको (भारतीय),के.जी.,६८.००,६४.००,६६.००
२०२५-०३-०६,गाजर(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,गाजर(तराई),केजी,३०.००,२५.००,२७.६७
२०२५-०३-०६,बन्दा(लोकल),के.जी.,१२.००,८.००,१०.००
२०२५-०३-०६,बन्दा(तराई),केजी,१२.००,८.००,१०.००
२०२५-०३-०६,बन्दा(नरिवल),केजी,१५.००,१०.००,१२.३३
२०२५-०३-०६,काउली स्थानिय,के.जी.,१५.००,१०.००,१२.३३
२०२५-०३-०६,स्थानीय काउली(ज्यापु),केजी,२०.००,१५.००,१७.६७
२०२५-०३-०६,काउली तराई,के.जी.,१५.००,१०.००,१२.३३
२०२५-०३-०६,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२५-०३-०६,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०३-०६,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२५-०३-०६,मटरकोशा,के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,घिउ सिमी(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,घिउ सिमी(हाइब्रीड),केजी,५०.००,४०.००,४५.००
२०२५-०३-०६,घिउ सिमी(राजमा),केजी,९०.००,८०.००,८५.००
२०२५-०३-०६,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२५-०३-०६,तितो करेला,के.जी.,१३०.००,११०.००,१२०.००
२०२५-०३-०६,लौका,के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,परवर(तराई),केजी,२००.००,१८०.००,१९०.००
२०२५-०३-०६,घिरौला,के.जी.,९०.००,८०.००,८५.००
२०२५-०३-०६,झिगूनी,के.जी.,९०.००,८०.००,८५.००
२०२५-०३-०६,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,फर्सी हरियो(लाम्चो),के.जी.,१५.००,१०.००,१२.३३
२०२५-०३-०६,हरियो फर्सी(डल्लो),केजी,१५.००,१०.००,१२.३३
२०२५-०३-०६,भिण्डी,के.जी.,१३०.००,१२०.००,१२५.००
२०२५-०३-०६,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२५-०३-०६,बरेला,के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,पिंडालू,के.जी.,१२०.००,११०.००,११५.००
२०२५-०३-०६,स्कूस,के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,रायो साग,के.जी.,२०.००,१५.००,१७.६७
२०२५-०३-०६,पालूगो साग,के.जी.,६०.००,५०.००,५५.००
२०२५-०३-०६,चमसूरको साग,के.जी.,८०.००,७०.००,७५.००
२०२५-०३-०६,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,मेथीको साग,के.जी.,६०.००,५०.००,५५.००
२०२५-०३-०६,प्याज हरियो,के.जी.,३०.००,२०.००,२५.००
२०२५-०३-०६,बकूला,के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,तरुल,के.जी.,९०.००,८०.००,८५.००
२०२५-०३-०६,च्याउ(कन्य),के.जी.,१२०.००,८०.००,१००.००
२०२५-०३-०६,च्याउ(डल्ले),के जी,३००.००,२५०.००,२७६.६७
२०२५-०३-०६,कुरीलो,के.जी.,११००.००,९००.००,१०००.००
२०२५-०३-०६,ब्रोकाउली,के.जी.,४०.००,३०.००,३५.००
२०२५-०३-०६,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२५-०३-०६,सजिवन,के.जी.,१८०.००,१७०.००,१७५.००
२०२५-०३-०६,रातो बन्दा,के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,जिरीको साग,के.जी.,५०.००,४०.००,४५.००
२०२५-०३-०६,सेलरी,के.जी.,१५०.००,१००.००,१२६.६७
२०२५-०३-०६,पार्सले,के.जी.,३००.००,२५०.००,२७६.६७
२०२५-०३-०६,सौफको साग,के.जी.,८०.००,७०.००,७५.००
२०२५-०३-०६,पुदीना,के.जी.,२००.००,१५०.००,१७६.६७
२०२५-०३-०६,गान्टे मूला,के.जी.,६०.००,५०.००,५५.००
