Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०४-१९,गोलभेडा ठूलो(नेपाली),के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,गोलभेडा ठूलो(भारतीय),केजी,५०.००,४०.००,४५.००
२०२५-०४-१९,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.६७
२०२५-०४-१९,गोलभेडा सानो(तराई),के जी,२५.००,२०.००,२२.६७
२०२५-०४-१९,आलु रातो,के.जी.,३६.००,३०.००,३३.३३
२०२५-०४-१९,आलु रातो(भारतीय),के जी,४०.००,३५.००,३७.६७
२०२५-०४-१९,प्याज सुकेको (भारतीय),के.जी.,४०.००,३८.००,३९.००
२०२५-०४-१९,गाजर(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,गाजर(तराई),केजी,२०.००,१०.००,१५.००
२०२५-०४-१९,बन्दा(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२५-०४-१९,बन्दा(नरिवल),केजी,२०.००,१५.००,१७.६७
२०२५-०४-१९,काउली स्थानिय,के.जी.,३०.००,२०.००,२५.००
२०२५-०४-१९,स्थानीय काउली(ज्यापु),केजी,३०.००,२०.००,२५.००
२०२५-०४-१९,मूला रातो,के.जी.,४५.००,३५.००,४०.००
२०२५-०४-१९,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२५-०४-१९,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०४-१९,भन्टा लाम्चो,के.जी.,४०.००,२०.००,३०.००
२०२५-०४-१९,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,बोडी(तने),के.जी.,८०.००,६०.००,७०.००
२०२५-०४-१९,मटरकोशा,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,घिउ सिमी(लोकल),के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२५-०४-१९,घिउ सिमी(राजमा),केजी,८०.००,७०.००,७५.००
२०२५-०४-१९,टाटे सिमी,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,तितो करेला,के.जी.,३०.००,२५.००,२७.६७
२०२५-०४-१९,लौका,के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,परवर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२५-०४-१९,परवर(तराई),केजी,७०.००,६०.००,६५.००
२०२५-०४-१९,चिचिण्डो,के.जी.,७०.००,६०.००,६५.००
२०२५-०४-१९,घिरौला,के.जी.,६०.००,५०.००,५५.००
२०२५-०४-१९,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२५-०४-१९,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०४-१९,फर्सी हरियो(लाम्चो),के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२५-०४-१९,सलगम,के.जी.,७०.००,६०.००,६५.००
२०२५-०४-१९,भिण्डी,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२५-०४-१९,बरेला,के.जी.,६०.००,४०.००,५०.००
२०२५-०४-१९,पिंडालू,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२५-०४-१९,रायो साग,के.जी.,६०.००,५०.००,५५.००
२०२५-०४-१९,पालूगो साग,के.जी.,८०.००,७०.००,७५.००
२०२५-०४-१९,चमसूरको साग,के.जी.,१००.००,९०.००,९५.००
२०२५-०४-१९,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,मेथीको साग,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,प्याज हरियो,के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,बकूला,के.जी.,५०.००,४०.००,४५.००
२०२५-०४-१९,तरुल,के.जी.,१००.००,९०.००,९५.००
२०२५-०४-१९,च्याउ(कन्य),के.जी.,१८०.००,१५०.००,१६६.६७
२०२५-०४-१९,च्याउ(डल्ले),के जी,२५०.००,२००.००,२२६.६७
२०२५-०४-१९,कुरीलो,के.जी.,६००.००,३००.००,४६६.६७
२०२५-०४-१९,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२५-०४-१९,ब्रोकाउली,के.जी.,४०.००,३०.००,३५.००
२०२५-०४-१९,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२५-०४-१९,सजिवन,के.जी.,१८०.००,१५०.००,१६६.६७
२०२५-०४-१९,कोइरालो,के.जी.,३५०.००,३००.००,३२६.६७
२०२५-०४-१९,रातो बन्दा,के.जी.,६५.००,५०.००,५६.६७
२०२५-०४-१९,जिरीको साग,के.जी.,६५.००,५५.००,६०.००
२०२५-०४-१९,ग्याठ कोबी,के.जी.,६५.००,५५.००,६०.००
२०२५-०४-१९,सेलरी,के.जी.,२००.००,१००.००,१५०.००
२०२५-०४-१९,पार्सले,के.जी.,३००.००,२५०.००,२७६.६७
२०२५-०४-१९,सौफको साग,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-१९,पुदीना,के.जी.,३५०.००,२५०.००,३००.००
२०२५-०४-१९,गान्टे मूला,के.जी.,६०.००,५०.००,५५.००
२०२५-०४-१९,इमली,के.जी.,१७०.००,१६०.००,१६५.००
२०२५-०४-१९,तामा,के.जी.,१००.००,९०.००,९५.००
२०२५-०४-१९,तोफु,के.जी.,१२०.००,११०.००,११५.००
२०२५-०४-१९,गुन्दुक,के.जी.,३५०.००,३००.००,३२६.६७
२०२५-०४-१९,स्याउ(झोले),के.जी.,२५०.००,२३०.००,२४०.००
२०२५-०४-१९,स्याउ(फूजी),के जी,३५०.००,३००.००,३२६.६७
२०२५-०४-१९,केरा,दर्जन,१६०.००,१४०.००,१५०.००
२०२५-०४-१९,कागती,के.जी.,२८०.००,२७०.००,२७५.००
