Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०४-२०,गोलभेडा ठूलो(नेपाली),के.जी.,४०.००,३०.००,३५.००
२०२५-०४-२०,गोलभेडा ठूलो(भारतीय),केजी,६०.००,५०.००,५५.००
२०२५-०४-२०,गोलभेडा सानो(लोकल),के.जी.,२५.००,२०.००,२२.६७
२०२५-०४-२०,गोलभेडा सानो(तराई),के जी,२५.००,२०.००,२२.६७
२०२५-०४-२०,आलु रातो,के.जी.,३५.००,३३.००,३४.००
२०२५-०४-२०,आलु रातो(भारतीय),के जी,३५.००,३३.००,३४.००
२०२५-०४-२०,प्याज सुकेको (भारतीय),के.जी.,४०.००,३८.००,३९.००
२०२५-०४-२०,गाजर(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२५-०४-२०,गाजर(तराई),केजी,२०.००,१०.००,१५.००
२०२५-०४-२०,बन्दा(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२५-०४-२०,बन्दा(नरिवल),केजी,२०.००,१५.००,१७.६७
२०२५-०४-२०,काउली स्थानिय,के.जी.,३०.००,२५.००,२७.६७
२०२५-०४-२०,स्थानीय काउली(ज्यापु),केजी,३०.००,२५.००,२७.६७
२०२५-०४-२०,मूला रातो,के.जी.,४५.००,३५.००,४०.००
२०२५-०४-२०,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.३३
२०२५-०४-२०,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०४-२०,भन्टा लाम्चो,के.जी.,४०.००,२०.००,३०.००
२०२५-०४-२०,भन्टा डल्लो,के.जी.,४०.००,२०.००,३०.००
२०२५-०४-२०,बोडी(तने),के.जी.,१००.००,९०.००,९५.००
२०२५-०४-२०,मटरकोशा,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-२०,घिउ सिमी(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२५-०४-२०,घिउ सिमी(हाइब्रीड),केजी,८०.००,७०.००,७५.००
२०२५-०४-२०,घिउ सिमी(राजमा),केजी,८०.००,७०.००,७५.००
२०२५-०४-२०,टाटे सिमी,के.जी.,९०.००,८०.००,८५.००
२०२५-०४-२०,तितो करेला,के.जी.,४०.००,३५.००,३७.६७
२०२५-०४-२०,लौका,के.जी.,४०.००,३०.००,३५.००
२०२५-०४-२०,परवर(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२५-०४-२०,परवर(तराई),केजी,७०.००,६०.००,६५.००
