Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०५-०७,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२५-०५-०७,गोलभेडा सानो(लोकल),के.जी.,५२.००,४०.००,४६.२५
२०२५-०५-०७,गोलभेडा सानो(भारतीय),के जी,५२.००,४४.००,४७.५०
२०२५-०५-०७,गोलभेडा सानो(तराई),के जी,४४.००,३५.००,३९.६७
२०२५-०५-०७,आलु रातो,के.जी.,३५.००,३०.००,३२.३३
२०२५-०५-०७,आलु रातो(भारतीय),के जी,३८.००,३२.००,३५.००
२०२५-०५-०७,प्याज सुकेको (भारतीय),के.जी.,३८.००,३६.००,३७.००
२०२५-०५-०७,गाजर(लोकल),के.जी.,६०.००,४०.००,५०.००
२०२५-०५-०७,गाजर(तराई),केजी,२५.००,१५.००,२०.००
२०२५-०५-०७,बन्दा(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२५-०५-०७,बन्दा(नरिवल),केजी,२०.००,१५.००,१७.६७
२०२५-०५-०७,काउली स्थानिय,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-०७,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२५-०५-०७,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०५-०७,भन्टा लाम्चो,के.जी.,४०.००,२०.००,३०.००
२०२५-०५-०७,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-०७,बोडी(तने),के.जी.,७०.००,६०.००,६५.००
२०२५-०५-०७,मटरकोशा,के.जी.,९०.००,८०.००,८५.००
२०२५-०५-०७,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०५-०७,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२५-०५-०७,भटमासकोशा,के.जी.,१५०.००,१००.००,१२५.००
२०२५-०५-०७,तितो करेला,के.जी.,३०.००,१५.००,२२.५०
२०२५-०५-०७,लौका,के.जी.,३०.००,१५.००,२२.५०
२०२५-०५-०७,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०५-०७,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-०७,घिरौला,के.जी.,३५.००,३०.००,३२.३३
२०२५-०५-०७,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२५-०५-०७,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,फर्सी हरियो(लाम्चो),के.जी.,२५.००,१५.००,२०.००
२०२५-०५-०७,हरियो फर्सी(डल्लो),केजी,३०.००,२०.००,२५.००
२०२५-०५-०७,सलगम,के.जी.,८०.००,७०.००,७५.००
२०२५-०५-०७,भिण्डी,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-०७,सखरखण्ड,के.जी.,६०.००,५०.००,५५.००
२०२५-०५-०७,बरेला,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,पिंडालू,के.जी.,९०.००,८०.००,८५.००
२०२५-०५-०७,स्कूस,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,रायो साग,के.जी.,६०.००,५०.००,५५.००
२०२५-०५-०७,पालूगो साग,के.जी.,९०.००,८०.००,८५.००
२०२५-०५-०७,चमसूरको साग,के.जी.,९०.००,८०.००,८५.००
२०२५-०५-०७,तोरीको साग,के.जी.,३५.००,२०.००,२७.५०
२०२५-०५-०७,मेथीको साग,के.जी.,८०.००,७०.००,७५.००
२०२५-०५-०७,प्याज हरियो,के.जी.,६०.००,४०.००,५०.००
२०२५-०५-०७,बकूला,के.जी.,५०.००,४५.००,४७.६७
२०२५-०५-०७,तरुल,के.जी.,१००.००,९०.००,९५.००
२०२५-०५-०७,च्याउ(कन्य),के.जी.,१७०.००,१५०.००,१६०.००
२०२५-०५-०७,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२५.००
२०२५-०५-०७,कुरीलो,के.जी.,६००.००,३००.००,४५०.००
२०२५-०५-०७,न्यूरो,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,ब्रोकाउली,के.जी.,९०.००,५०.००,७०.००
२०२५-०५-०७,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२५-०५-०७,सजिवन,के.जी.,१००.००,८०.००,९०.००
२०२५-०५-०७,कोइरालो,के.जी.,१९०.००,१७०.००,१८०.००
२०२५-०५-०७,रातो बन्दा,के.जी.,६०.००,४०.००,५०.००
२०२५-०५-०७,जिरीको साग,के.जी.,६५.००,५५.००,६०.००
२०२५-०५-०७,ग्याठ कोबी,के.जी.,६०.००,५०.००,५५.००
२०२५-०५-०७,सेलरी,के.जी.,२००.००,१५०.००,१७७.५०
२०२५-०५-०७,पार्सले,के.जी.,३००.००,२५०.००,२७७.५०
२०२५-०५-०७,सौफको साग,के.जी.,१००.००,९०.००,९५.००
२०२५-०५-०७,पुदीना,के.जी.,२४०.००,२००.००,२२०.००
२०२५-०५-०७,गान्टे मूला,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,इमली,के.जी.,१७०.००,१६०.००,१६५.००
२०२५-०५-०७,तामा,के.जी.,१००.००,९०.००,९५.००
२०२५-०५-०७,तोफु,के.जी.,१४०.००,११०.००,१२५.००
२०२५-०५-०७,गुन्दुक,के.जी.,३५०.००,३००.००,३२६.६७
२०२५-०५-०७,स्याउ(झोले),के.जी.,२५०.००,२३०.००,२४०.००
२०२५-०५-०७,स्याउ(फूजी),के जी,३४०.००,३००.००,३२०.००
२०२५-०५-०७,केरा,दर्जन,१६०.००,१४०.००,१५०.००
२०२५-०५-०७,कागती,के.जी.,२८०.००,२६०.००,२७०.००
२०२५-०५-०७,अनार,के.जी.,३५०.००,३००.००,३२६.६७
२०२५-०५-०७,अंगुर(हरियो),के.जी.,२००.००,१८०.००,१९०.००
२०२५-०५-०७,अंगुर(कालो),केजी,२५०.००,२३०.००,२४०.००
२०२५-०५-०७,सुन्तला(भारतीय),केजी,१४०.००,१२०.००,१३०.००
२०२५-०५-०७,तरबुजा(हरियो),के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,मौसम,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०५-०७,जुनार,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०५-०७,भुई कटहर,प्रति गोटा,२००.००,१८०.००,१९०.००
२०२५-०५-०७,काक्रो(लोकल),के.जी.,७०.००,५०.००,६०.००
२०२५-०५-०७,काक्रो(हाइब्रीड),के जी,३०.००,२५.००,२७.६७
२०२५-०५-०७,रुख कटहर,के.जी.,८०.००,७०.००,७५.००
२०२५-०५-०७,नासपाती(चाइनिज),केजी,२६०.००,२४०.००,२५०.००
२०२५-०५-०७,मेवा(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२५-०५-०७,मेवा(भारतीय),केजी,१२०.००,१००.००,११०.००
२०२५-०५-०७,अम्बा,के.जी.,१२०.००,११०.००,११५.००
