Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०५-१४,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२५-०५-१४,गोलभेडा सानो(लोकल),के.जी.,८५.००,७५.००,८०.००
२०२५-०५-१४,गोलभेडा सानो(टनेल),के जी,९०.००,८०.००,८५.००
२०२५-०५-१४,गोलभेडा सानो(भारतीय),के जी,६५.००,५५.००,६०.००
२०२५-०५-१४,गोलभेडा सानो(तराई),के जी,८५.००,७५.००,८०.००
२०२५-०५-१४,आलु रातो,के.जी.,३४.००,३२.००,३३.००
२०२५-०५-१४,आलु रातो(भारतीय),के जी,३८.००,३६.००,३७.००
२०२५-०५-१४,प्याज सुकेको (भारतीय),के.जी.,३८.००,३६.००,३७.००
२०२५-०५-१४,गाजर(लोकल),के.जी.,६०.००,४०.००,५०.००
२०२५-०५-१४,गाजर(तराई),केजी,३०.००,२०.००,२५.००
२०२५-०५-१४,बन्दा(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२५-०५-१४,काउली स्थानिय,के.जी.,६०.००,५०.००,५५.००
२०२५-०५-१४,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-१४,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२५-०५-१४,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२५.००
२०२५-०५-१४,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-१४,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-१४,बोडी(तने),के.जी.,७०.००,६०.००,६५.००
२०२५-०५-१४,मटरकोशा,के.जी.,१००.००,९०.००,९५.००
२०२५-०५-१४,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०५-१४,घिउ सिमी(हाइब्रीड),केजी,६०.००,५०.००,५५.००
२०२५-०५-१४,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२५-०५-१४,तितो करेला,के.जी.,३५.००,३०.००,३२.६७
२०२५-०५-१४,लौका,के.जी.,२०.००,१५.००,१७.६७
२०२५-०५-१४,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०५-१४,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२५-०५-१४,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२५-०५-१४,घिरौला,के.जी.,३५.००,२५.००,३०.००
२०२५-०५-१४,झिगूनी,के.जी.,८०.००,७०.००,७५.००
२०२५-०५-१४,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०५-१४,फर्सी हरियो(लाम्चो),के.जी.,६०.००,५०.००,५५.००
२०२५-०५-१४,हरियो फर्सी(डल्लो),केजी,२५.००,१५.००,२०.००
