Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०६-०४,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२५-०६-०४,गोलभेडा ठूलो(भारतीय),केजी,६५.००,५५.००,६०.००
२०२५-०६-०४,गोलभेडा सानो(लोकल),के.जी.,३९.००,२९.००,३४.००
२०२५-०६-०४,गोलभेडा सानो(टनेल),के जी,५०.००,४०.००,४५.००
२०२५-०६-०४,गोलभेडा सानो(भारतीय),के जी,४८.००,४३.००,४५.३३
२०२५-०६-०४,आलु रातो,के.जी.,३८.००,३५.००,३६.५०
२०२५-०६-०४,आलु रातो(भारतीय),के जी,३५.००,३२.००,३३.६७
२०२५-०६-०४,आलु रातो(मुडे),केजी,३९.००,३७.००,३८.००
२०२५-०६-०४,प्याज सुकेको (भारतीय),के.जी.,४०.००,३८.००,३९.००
२०२५-०६-०४,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२५-०६-०४,बन्दा(लोकल),के.जी.,१५.००,१०.००,१२.३३
२०२५-०६-०४,काउली स्थानिय,के.जी.,४५.००,३५.००,४०.००
२०२५-०६-०४,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२५-०६-०४,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.६७
२०२५-०६-०४,सेतो मूला(हाइब्रीड),केजी,२५.००,२०.००,२२.६७
२०२५-०६-०४,भन्टा लाम्चो,के.जी.,१८.००,१०.००,१३.७५
२०२५-०६-०४,भन्टा डल्लो,के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,बोडी(तने),के.जी.,५०.००,४०.००,४५.००
२०२५-०६-०४,मकै बोडी,केजी,७५.००,६५.००,७०.००
२०२५-०६-०४,मटरकोशा,के.जी.,१५०.००,१३०.००,१४०.००
२०२५-०६-०४,घिउ सिमी(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२५-०६-०४,घिउ सिमी(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२५-०६-०४,घिउ सिमी(राजमा),केजी,१२०.००,१००.००,११०.००
२०२५-०६-०४,भटमासकोशा,के.जी.,१३०.००,१२०.००,१२५.००
२०२५-०६-०४,तितो करेला,के.जी.,५०.००,४५.००,४७.६७
२०२५-०६-०४,लौका,के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,परवर(लोकल),के.जी.,५५.००,४५.००,५०.००
२०२५-०६-०४,परवर(तराई),केजी,५०.००,४०.००,४५.००
२०२५-०६-०४,चिचिण्डो,के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,घिरौला,के.जी.,३५.००,३०.००,३२.६७
२०२५-०६-०४,झिगूनी,के.जी.,६०.००,५०.००,५५.००
२०२५-०६-०४,फर्सी पाकेको,के.जी.,४५.००,३५.००,४०.००
२०२५-०६-०४,फर्सी हरियो(लाम्चो),के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,हरियो फर्सी(डल्लो),केजी,२५.००,१५.००,२०.७५
२०२५-०६-०४,भिण्डी,के.जी.,३५.००,२५.००,३०.००
२०२५-०६-०४,सखरखण्ड,के.जी.,७५.००,६५.००,७०.००
२०२५-०६-०४,पिंडालू,के.जी.,१२०.००,१००.००,११०.००
२०२५-०६-०४,रायो साग,के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,पालूगो साग,के.जी.,३५.००,२५.००,३०.००
२०२५-०६-०४,चमसूरको साग,के.जी.,७०.००,६०.००,६५.००
२०२५-०६-०४,तोरीको साग,के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,मेथीको साग,के.जी.,१००.००,८०.००,९०.००
२०२५-०६-०४,प्याज हरियो,के.जी.,६०.००,५०.००,५५.००
२०२५-०६-०४,च्याउ(कन्य),के.जी.,१७०.००,१५०.००,१६०.००
२०२५-०६-०४,च्याउ(डल्ले),के जी,२८०.००,२४०.००,२६०.००
२०२५-०६-०४,कुरीलो,के.जी.,३५०.००,२००.००,२७५.००
२०२५-०६-०४,न्यूरो,के.जी.,३०.००,२०.००,२५.००
२०२५-०६-०४,ब्रोकाउली,के.जी.,७०.००,६५.००,६७.३३
२०२५-०६-०४,चुकुन्दर,के.जी.,७५.००,६५.००,७०.००
२०२५-०६-०४,सजिवन,के.जी.,१२०.००,११०.००,११५.००
२०२५-०६-०४,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२५-०६-०४,जिरीको साग,के.जी.,८०.००,७०.००,७५.००
२०२५-०६-०४,ग्याठ कोबी,के.जी.,५५.००,४५.००,५०.००
२०२५-०६-०४,सेलरी,के.जी.,१२०.००,११०.००,११५.००
२०२५-०६-०४,पार्सले,के.जी.,४००.००,३००.००,३५०.००
२०२५-०६-०४,सौफको साग,के.जी.,१००.००,८०.००,९०.००
२०२५-०६-०४,पुदीना,के.जी.,११०.००,१००.००,१०५.००
२०२५-०६-०४,गान्टे मूला,के.जी.,४०.००,३०.००,३५.००
२०२५-०६-०४,इमली,के.जी.,१७०.००,१६०.००,१६५.००
२०२५-०६-०४,तामा,के.जी.,१००.००,९०.००,९५.००
२०२५-०६-०४,तोफु,के.जी.,१४०.००,११०.००,१२६.६७
२०२५-०६-०४,गुन्दुक,के.जी.,३५०.००,३००.००,३२६.६७
२०२५-०६-०४,स्याउ(झोले),के.जी.,२५०.००,२३०.००,२४०.००
२०२५-०६-०४,स्याउ(फूजी),के जी,३००.००,२४०.००,२७३.३३
२०२५-०६-०४,केरा,दर्जन,१५०.००,१४०.००,१४५.००
२०२५-०६-०४,कागती,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०६-०४,अनार,के.जी.,३५०.००,३००.००,३२६.६७
२०२५-०६-०४,आँप(मालदह),के.जी.,६५.००,५५.००,६०.००
२०२५-०६-०४,आँप(दसहरी),केजी,७५.००,७०.००,७२.६७
२०२५-०६-०४,अंगुर(हरियो),के.जी.,२५०.००,२००.००,२२६.६७
२०२५-०६-०४,अंगुर(कालो),केजी,३५०.००,३००.००,३२६.६७
२०२५-०६-०४,तरबुजा(हरियो),के.जी.,४०.००,३०.००,३५.००
२०२५-०६-०४,मौसम,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०६-०४,जुनार,के.जी.,२५०.००,२००.००,२२६.६७
२०२५-०६-०४,भुई कटहर,प्रति गोटा,१८०.००,१६०.००,१७०.००
२०२५-०६-०४,काक्रो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२५-०६-०४,काक्रो(हाइब्रीड),के जी,१५.००,१०.००,१२.३३
२०२५-०६-०४,रुख कटहर,के.जी.,६५.००,५५.००,६०.००
२०२५-०६-०४,मेवा(नेपाली),के.जी.,१००.००,९०.००,९५.००
२०२५-०६-०४,लीच्ची(लोकल),के.जी.,१३०.००,१२०.००,१२५.००
२०२५-०६-०४,लीच्ची(भारतीय),केजी,२००.००,१८०.००,१९०.००
२०२५-०६-०४,अदुवा,के.जी.,११०.००,९०.००,१००.००
२०२५-०६-०४,खु्र्सानी सुकेको,के.जी.,४२०.००,३८०.००,४००.००
२०२५-०६-०४,खु्र्सानी हरियो,के.जी.,५०.००,४०.००,४५.००
२०२५-०६-०४,खुर्सानी हरियो(बुलेट),के जी,४५.००,३५.००,४०.००
२०२५-०६-०४,खुर्सानी हरियो(माछे),के जी,४०.००,३०.००,३५.००
२०२५-०६-०४,खुर्सानी हरियो(अकबरे),के जी,३००.००,२६०.००,२८०.००
२०२५-०६-०४,भेडे खु्र्सानी,के.जी.,८०.००,७०.००,७५.००
२०२५-०६-०४,हरियो धनिया,के.जी.,४५.००,३५.००,४०.००
२०२५-०६-०४,लसुन सुकेको चाइनिज,के.जी.,२२०.००,२००.००,२१०.००
२०२५-०६-०४,लसुन सुकेको नेपाली,के.जी.,१८०.००,१७०.००,१७५.००
२०२५-०६-०४,छ्यापी सुकेको,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०६-०४,छ्यापी हरियो,के.जी.,१२०.००,१००.००,११०.००
२०२५-०६-०४,ताजा माछा(रहु),के जी,३३०.००,३१०.००,३२०.००
२०२५-०६-०४,ताजा माछा(बचुवा),के जी,३२०.००,३००.००,३१०.००
२०२५-०६-०४,ताजा माछा(छडी),के जी,२४०.००,२२०.००,२३०.००
२०२५-०६-०४,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
२०२५-०६-०४,सिताके च्याउ,के.जी.,९००.००,८००.००,८५०.००
