Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०६-२८,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२५-०६-२८,गोलभेडा सानो(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२५-०६-२८,गोलभेडा सानो(टनेल),के जी,४८.००,३७.००,४२.२५
२०२५-०६-२८,आलु रातो,के.जी.,४६.००,४१.००,४३.६७
२०२५-०६-२८,आलु रातो(भारतीय),के जी,४०.००,३८.००,३९.००
२०२५-०६-२८,आलु रातो(मुडे),केजी,३८.००,३६.००,३७.००
२०२५-०६-२८,आलु सेतो,के.जी.,३५.००,३०.००,३२.५०
२०२५-०६-२८,प्याज सुकेको (भारतीय),के.जी.,५०.००,४७.००,४८.३३
२०२५-०६-२८,गाजर(लोकल),के.जी.,८०.००,६५.००,७२.५०
२०२५-०६-२८,गाजर(तराई),केजी,५०.००,४०.००,४५.००
२०२५-०६-२८,बन्दा(लोकल),के.जी.,३०.००,२५.००,२७.६७
२०२५-०६-२८,काउली स्थानिय,के.जी.,८०.००,६०.००,७०.००
२०२५-०६-२८,मूला रातो,के.जी.,४०.००,३०.००,३५.२५
२०२५-०६-२८,मूला सेतो(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२५-०६-२८,सेतो मूला(हाइब्रीड),केजी,२५.००,१५.००,२०.००
२०२५-०६-२८,भन्टा लाम्चो,के.जी.,२५.००,१५.००,२०.००
२०२५-०६-२८,भन्टा डल्लो,के.जी.,४०.००,३०.००,३५.००
२०२५-०६-२८,बोडी(तने),के.जी.,५०.००,३५.००,४२.५०
२०२५-०६-२८,मकै बोडी,केजी,६०.००,५०.००,५५.००
२०२५-०६-२८,मटरकोशा,के.जी.,१९०.००,१७०.००,१८०.००
२०२५-०६-२८,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-०६-२८,घिउ सिमी(हाइब्रीड),केजी,४०.००,३०.००,३५.००
