Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०७-०४,गोलभेडा ठूलो(नेपाली),के.जी.,७५.००,६०.००,६८.३३
२०२५-०७-०४,गोलभेडा सानो(लोकल),के.जी.,२६.००,१८.००,२१.६७
२०२५-०७-०४,गोलभेडा सानो(टनेल),के जी,४३.००,३२.००,३७.२०
२०२५-०७-०४,आलु रातो,के.जी.,४६.००,४४.००,४५.००
२०२५-०७-०४,आलु रातो(भारतीय),के जी,४०.००,३९.००,३९.५०
२०२५-०७-०४,आलु रातो(मुडे),केजी,३८.००,३६.००,३७.२५
२०२५-०७-०४,प्याज सुकेको (भारतीय),के.जी.,४७.००,४५.००,४६.००
२०२५-०७-०४,गाजर(लोकल),के.जी.,६०.००,५०.००,५६.२५
२०२५-०७-०४,बन्दा(लोकल),के.जी.,३५.००,२५.००,२९.५०
२०२५-०७-०४,काउली स्थानिय,के.जी.,७५.००,६०.००,६८.३३
२०२५-०७-०४,काउली तराई,के.जी.,५०.००,४०.००,४५.००
२०२५-०७-०४,मूला रातो,के.जी.,४५.००,३५.००,४०.००
२०२५-०७-०४,सेतो मूला(हाइब्रीड),केजी,२५.००,१५.००,२०.००
२०२५-०७-०४,भन्टा लाम्चो,के.जी.,३०.००,२०.००,२५.००
२०२५-०७-०४,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-०७-०४,बोडी(तने),के.जी.,५०.००,३५.००,४२.५०
२०२५-०७-०४,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२५-०७-०४,मटरकोशा,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०७-०४,घिउ सिमी(लोकल),के.जी.,५५.००,४५.००,५०.००
२०२५-०७-०४,घिउ सिमी(हाइब्रीड),केजी,४५.००,३०.००,३७.५०
२०२५-०७-०४,टाटे सिमी,के.जी.,८५.००,७५.००,८१.००
२०२५-०७-०४,भटमासकोशा,के.जी.,१३०.००,११०.००,१२०.००
२०२५-०७-०४,तितो करेला,के.जी.,४०.००,३०.००,३५.००
२०२५-०७-०४,लौका,के.जी.,५०.००,४०.००,४५.००
२०२५-०७-०४,परवर(लोकल),के.जी.,५०.००,४०.००,४६.२५
२०२५-०७-०४,परवर(तराई),केजी,६०.००,५०.००,५६.२५
२०२५-०७-०४,चिचिण्डो,के.जी.,४०.००,२५.००,३२.५०
२०२५-०७-०४,घिरौला,के.जी.,५५.००,४५.००,५०.००
२०२५-०७-०४,झिगूनी,के.जी.,६५.००,५५.००,६०.००
२०२५-०७-०४,फर्सी पाकेको,के.जी.,५०.००,४०.००,४५.००
२०२५-०७-०४,फर्सी हरियो(लाम्चो),के.जी.,४०.००,३०.००,३५.००
२०२५-०७-०४,हरियो फर्सी(डल्लो),केजी,४५.००,३५.००,४०.००
२०२५-०७-०४,भिण्डी,के.जी.,७५.००,६५.००,७१.००
२०२५-०७-०४,सखरखण्ड,के.जी.,८०.००,७०.००,७५.००
२०२५-०७-०४,पिंडालू,के.जी.,७०.००,६०.००,६५.००
२०२५-०७-०४,स्कूस,के.जी.,५५.००,४०.००,५०.००
२०२५-०७-०४,रायो साग,के.जी.,१००.००,८०.००,९०.००
२०२५-०७-०४,पालूगो साग,के.जी.,१६०.००,१३०.००,१४५.००
२०२५-०७-०४,तोरीको साग,के.जी.,१२०.००,१००.००,११०.००
२०२५-०७-०४,प्याज हरियो,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०७-०४,च्याउ(कन्य),के.जी.,१६०.००,१४०.००,१५०.००
२०२५-०७-०४,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२६.६७
२०२५-०७-०४,कुरीलो,के.जी.,३००.००,२००.००,२५०.००
२०२५-०७-०४,न्यूरो,के.जी.,१२०.००,१००.००,११०.००
२०२५-०७-०४,ब्रोकाउली,के.जी.,८०.००,७०.००,७५.००
२०२५-०७-०४,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
