Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०८-१३,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६३.६०
२०२५-०८-१३,गोलभेडा सानो(लोकल),के.जी.,३४.००,२६.००,३०.८०
२०२५-०८-१३,गोलभेडा सानो(टनेल),के जी,४५.००,३५.००,४१.२०
२०२५-०८-१३,आलु रातो,के.जी.,५१.००,४९.००,५०.००
२०२५-०८-१३,आलु रातो(भारतीय),के जी,३२.००,२८.००,२९.८०
२०२५-०८-१३,आलु रातो(मुडे),केजी,४४.००,४२.००,४३.००
२०२५-०८-१३,आलु सेतो,के.जी.,४०.००,३७.००,३८.५०
२०२५-०८-१३,प्याज सुकेको (भारतीय),के.जी.,३९.००,३७.००,३८.२०
२०२५-०८-१३,गाजर(लोकल),के.जी.,१२०.००,१००.००,१०६.००
२०२५-०८-१३,गाजर(तराई),केजी,१००.००,९०.००,९२.००
२०२५-०८-१३,बन्दा(लोकल),के.जी.,२५.००,१५.००,२०.००
२०२५-०८-१३,काउली स्थानिय,के.जी.,११०.००,१००.००,१०५.००
२०२५-०८-१३,काउली तराई,के.जी.,९०.००,८०.००,८५.००
२०२५-०८-१३,मूला रातो,के.जी.,६०.००,५०.००,५५.००
२०२५-०८-१३,सेतो मूला(हाइब्रीड),केजी,५०.००,४०.००,४३.००
२०२५-०८-१३,भन्टा लाम्चो,के.जी.,२५.००,२०.००,२३.००
२०२५-०८-१३,भन्टा डल्लो,के.जी.,४०.००,३०.००,३७.००
२०२५-०८-१३,बोडी(तने),के.जी.,१००.००,८०.००,९१.००
२०२५-०८-१३,मकै बोडी,केजी,८०.००,७०.००,७८.००
२०२५-०८-१३,घिउ सिमी(लोकल),के.जी.,९०.००,७५.००,८१.००
२०२५-०८-१३,घिउ सिमी(हाइब्रीड),केजी,८०.००,७०.००,७५.००
२०२५-०८-१३,घिउ सिमी(राजमा),केजी,१४०.००,१३०.००,१३५.००
२०२५-०८-१३,टाटे सिमी,के.जी.,९०.००,८०.००,८४.००
२०२५-०८-१३,भटमासकोशा,के.जी.,१२०.००,१००.००,१०८.००
२०२५-०८-१३,तितो करेला,के.जी.,५०.००,४०.००,४४.००
