Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-०८-२५,गोलभेडा ठूलो(नेपाली),के.जी.,९०.००,८०.००,८२.६०
२०२५-०८-२५,गोलभेडा सानो(लोकल),के.जी.,३२.००,२५.००,२८.२०
२०२५-०८-२५,गोलभेडा सानो(टनेल),के जी,४२.००,३०.००,३७.८०
२०२५-०८-२५,आलु रातो,के.जी.,५३.००,४९.००,५१.००
२०२५-०८-२५,आलु रातो(भारतीय),के जी,३०.००,२८.००,२९.००
२०२५-०८-२५,आलु रातो(मुडे),केजी,४४.००,४२.००,४३.००
२०२५-०८-२५,आलु सेतो,के.जी.,४०.००,३५.००,३७.५०
२०२५-०८-२५,प्याज सुकेको (भारतीय),के.जी.,४२.००,४०.००,४१.००
२०२५-०८-२५,गाजर(लोकल),के.जी.,१२५.००,११५.००,१२०.००
२०२५-०८-२५,गाजर(तराई),केजी,११०.००,१००.००,१०३.००
२०२५-०८-२५,बन्दा(लोकल),के.जी.,४०.००,३०.००,३७.६०
२०२५-०८-२५,काउली स्थानिय,के.जी.,१३०.००,१२०.००,१२५.००
२०२५-०८-२५,स्थानीय काउली(ज्यापु),केजी,१४०.००,१३०.००,१३६.२५
२०२५-०८-२५,काउली तराई,के.जी.,११०.००,१००.००,१०३.००
२०२५-०८-२५,मूला रातो,के.जी.,५५.००,४५.००,५०.००
२०२५-०८-२५,सेतो मूला(हाइब्रीड),केजी,५०.००,४५.००,४७.००
२०२५-०८-२५,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४३.४०
२०२५-०८-२५,भन्टा डल्लो,के.जी.,६५.००,५५.००,६१.००
२०२५-०८-२५,बोडी(तने),के.जी.,१००.००,९०.००,९५.००
२०२५-०८-२५,घिउ सिमी(लोकल),के.जी.,१३०.००,१२०.००,१२२.००
२०२५-०८-२५,घिउ सिमी(हाइब्रीड),केजी,११०.००,९०.००,९८.००
२०२५-०८-२५,टाटे सिमी,के.जी.,१००.००,९०.००,९७.५०
२०२५-०८-२५,भटमासकोशा,के.जी.,११५.००,१००.००,११०.००
२०२५-०८-२५,तितो करेला,के.जी.,८०.००,७०.००,७८.००
२०२५-०८-२५,लौका,के.जी.,७५.००,६५.००,६८.००
२०२५-०८-२५,परवर(लोकल),के.जी.,७५.००,६५.००,७०.००
२०२५-०८-२५,परवर(तराई),केजी,७५.००,६५.००,७०.००
२०२५-०८-२५,चिचिण्डो,के.जी.,४५.००,३५.००,३८.००
२०२५-०८-२५,घिरौला,के.जी.,७५.००,६५.००,७०.४०
२०२५-०८-२५,झिगूनी,के.जी.,७५.००,७०.००,७२.५०
२०२५-०८-२५,फर्सी पाकेको,के.जी.,४५.००,४०.००,४२.००
२०२५-०८-२५,फर्सी हरियो(लाम्चो),के.जी.,७०.००,६०.००,६२.००
२०२५-०८-२५,हरियो फर्सी(डल्लो),केजी,८०.००,७०.००,७५.००
२०२५-०८-२५,सलगम,के.जी.,१००.००,९०.००,९६.००
२०२५-०८-२५,भिण्डी,के.जी.,६५.००,५५.००,५८.००
२०२५-०८-२५,पिंडालू,के.जी.,८०.००,७०.००,७४.००
२०२५-०८-२५,स्कूस,के.जी.,४०.००,३५.००,३८.००
२०२५-०८-२५,पालूगो साग,के.जी.,१४०.००,१२०.००,१२६.००
२०२५-०८-२५,चमसूरको साग,के.जी.,३००.००,२८०.००,२९४.००
२०२५-०८-२५,तोरीको साग,के.जी.,१००.००,९०.००,९५.००
२०२५-०८-२५,प्याज हरियो,के.जी.,१००.००,९०.००,९६.००
२०२५-०८-२५,च्याउ(कन्य),के.जी.,२५०.००,२००.००,२२५.००
२०२५-०८-२५,च्याउ(डल्ले),के जी,४५०.००,४००.००,४२६.००
२०२५-०८-२५,कुरीलो,के.जी.,४००.००,३५०.००,३७५.००
२०२५-०८-२५,न्यूरो,के.जी.,१००.००,९०.००,९५.००
२०२५-०८-२५,ब्रोकाउली,के.जी.,२८०.००,२५०.००,२६८.००
२०२५-०८-२५,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२५-०८-२५,सजिवन,के.जी.,२००.००,१८०.००,१९०.००
२०२५-०८-२५,रातो बन्दा,के.जी.,२७०.००,२४०.००,२५२.००
२०२५-०८-२५,जिरीको साग,के.जी.,११०.००,१००.००,१०५.००
