Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-१०-०८,गोलभेडा ठूलो(भारतीय),केजी,७५.००,७०.००,७३.००
२०२५-१०-०८,गोलभेडा सानो(लोकल),के.जी.,२२.००,१३.००,१८.००
२०२५-१०-०८,गोलभेडा सानो(टनेल),के जी,३५.००,२२.००,३०.६०
२०२५-१०-०८,गोलभेडा सानो(भारतीय),के जी,२५.००,१७.००,२१.८०
२०२५-१०-०८,आलु रातो,के.जी.,५४.००,५१.००,५२.५०
२०२५-१०-०८,आलु रातो(भारतीय),के जी,३३.००,३१.००,३२.२०
२०२५-१०-०८,आलु रातो(मुडे),केजी,४७.००,४५.००,४५.६०
२०२५-१०-०८,आलु सेतो,के.जी.,४०.००,३८.००,३९.४०
२०२५-१०-०८,प्याज सुकेको (भारतीय),के.जी.,३८.००,३६.००,३६.८०
२०२५-१०-०८,गाजर(लोकल),के.जी.,१२०.००,१००.००,१०६.००
२०२५-१०-०८,गाजर(तराई),केजी,९५.००,८५.००,९१.००
२०२५-१०-०८,बन्दा(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,काउली स्थानिय,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,काउली तराई,के.जी.,६५.००,५०.००,५७.००
२०२५-१०-०८,मूला रातो,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,मूला सेतो(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२५-१०-०८,भन्टा लाम्चो,के.जी.,३५.००,२५.००,३२.००
२०२५-१०-०८,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२५-१०-०८,बोडी(तने),के.जी.,९०.००,८०.००,८५.००
२०२५-१०-०८,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२५-१०-०८,मटरकोशा,के.जी.,२५०.००,२००.००,२१४.००
२०२५-१०-०८,घिउ सिमी(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२५-१०-०८,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२५-१०-०८,घिउ सिमी(राजमा),केजी,२२०.००,२००.००,२१०.००
२०२५-१०-०८,टाटे सिमी,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,भटमासकोशा,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,तितो करेला,के.जी.,५५.००,४५.००,५०.००
२०२५-१०-०८,लौका,के.जी.,६०.००,५०.००,५६.२५
२०२५-१०-०८,परवर(लोकल),के.जी.,८०.००,७०.००,७२.००
२०२५-१०-०८,परवर(तराई),केजी,८०.००,७०.००,७२.००
२०२५-१०-०८,चिचिण्डो,के.जी.,४०.००,३०.००,३६.२५
२०२५-१०-०८,घिरौला,के.जी.,६०.००,५०.००,५५.००
२०२५-१०-०८,झिगूनी,के.जी.,९०.००,८०.००,८५.००
२०२५-१०-०८,फर्सी पाकेको,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,फर्सी हरियो(लाम्चो),के.जी.,७०.००,६०.००,६३.००
२०२५-१०-०८,हरियो फर्सी(डल्लो),केजी,६०.००,५०.००,५३.००
२०२५-१०-०८,सलगम,के.जी.,९०.००,८०.००,८५.००
२०२५-१०-०८,भिण्डी,के.जी.,९०.००,८०.००,८५.००
२०२५-१०-०८,सखरखण्ड,के.जी.,१००.००,९०.००,९५.००
२०२५-१०-०८,बरेला,के.जी.,११०.००,१००.००,१०५.००
२०२५-१०-०८,पिंडालू,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,स्कूस,के.जी.,२०.००,१०.००,१४.००
२०२५-१०-०८,रायो साग,के.जी.,१२०.००,१००.००,११५.००
२०२५-१०-०८,पालूगो साग,के.जी.,१२०.००,१००.००,११३.७५
२०२५-१०-०८,चमसूरको साग,के.जी.,१५०.००,१३०.००,१४०.००
२०२५-१०-०८,तोरीको साग,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,प्याज हरियो,के.जी.,८०.००,६०.००,७४.००
२०२५-१०-०८,च्याउ(कन्य),के.जी.,१९०.००,१७०.००,१८२.००
२०२५-१०-०८,च्याउ(डल्ले),के जी,३२०.००,२८०.००,३०२.५०
२०२५-१०-०८,कुरीलो,के.जी.,४५०.००,३५०.००,३८७.५०
२०२५-१०-०८,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-०८,ब्रोकाउली,के.जी.,१८०.००,१५०.००,१७२.००
२०२५-१०-०८,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,रातो बन्दा,के.जी.,२००.००,१८०.००,१९०.००
२०२५-१०-०८,जिरीको साग,के.जी.,१८०.००,१५०.००,१६०.००
२०२५-१०-०८,सेलरी,के.जी.,३२०.००,२८०.००,३००.००
२०२५-१०-०८,पार्सले,के.जी.,१०००.००,८००.००,९००.००
२०२५-१०-०८,सौफको साग,के.जी.,१४०.००,१२०.००,१३०.००
२०२५-१०-०८,पुदीना,के.जी.,७००.००,६००.००,६५०.००
२०२५-१०-०८,गान्टे मूला,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,इमली,के.जी.,१८०.००,१७०.००,१७५.००
२०२५-१०-०८,तामा,के.जी.,१२०.००,१००.००,११०.००
२०२५-१०-०८,तोफु,के.जी.,१४०.००,१३०.००,१३५.००
२०२५-१०-०८,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२५-१०-०८,स्याउ(झोले),के.जी.,२५०.००,२००.००,२३३.००
२०२५-१०-०८,स्याउ(फूजी),के जी,३००.००,२६०.००,२८०.००
२०२५-१०-०८,केरा,दर्जन,१४५.००,१३५.००,१४०.००
२०२५-१०-०८,कागती,के.जी.,१५०.००,१३०.००,१४०.००
२०२५-१०-०८,अनार,के.जी.,३५०.००,३००.००,३२३.३३
२०२५-१०-०८,सुन्तला(भारतीय),केजी,१५०.००,१४०.००,१४५.००
२०२५-१०-०८,तरबुजा(हरियो),के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,मौसम,के.जी.,१८०.००,१६०.००,१७२.५०
२०२५-१०-०८,जुनार,के.जी.,२५०.००,२४०.००,२४५.००
२०२५-१०-०८,भुई कटहर,प्रति गोटा,१६०.००,१५०.००,१५७.५०
२०२५-१०-०८,काक्रो(लोकल),के.जी.,८०.००,६५.००,७१.२५
२०२५-१०-०८,काक्रो(हाइब्रीड),के जी,३५.००,२५.००,३२.००
२०२५-१०-०८,नासपाती(लोकल),के.जी.,९०.००,८०.००,८५.००
२०२५-१०-०८,नासपाती(चाइनिज),केजी,२४०.००,२००.००,२२२.५०
२०२५-१०-०८,मेवा(नेपाली),के.जी.,५५.००,४५.००,५२.००
२०२५-१०-०८,मेवा(भारतीय),केजी,१००.००,९०.००,९५.००
२०२५-१०-०८,लप्सी,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,किवि,केजी,३००.००,२५०.००,२७५.००
२०२५-१०-०८,शरीफा,के‍.जी,१२०.००,१००.००,१०५.००
२०२५-१०-०८,आभोकाडो,के.जी,३५०.००,२५०.००,३१०.००
२०२५-१०-०८,अमला,के.जी,८५.००,७५.००,८०.००
२०२५-१०-०८,अदुवा,के.जी.,१२०.००,१००.००,११०.००
२०२५-१०-०८,खु्र्सानी सुकेको,के.जी.,४००.००,३५०.००,३७५.००
२०२५-१०-०८,खु्र्सानी हरियो,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-०८,खुर्सानी हरियो(बुलेट),के जी,६०.००,५०.००,५५.००
२०२५-१०-०८,खुर्सानी हरियो(माछे),के जी,११०.००,९०.००,१००.००
२०२५-१०-०८,खुर्सानी हरियो(अकबरे),के जी,२००.००,१५०.००,१७५.००
२०२५-१०-०८,भेडे खु्र्सानी,के.जी.,१२०.००,१००.००,११५.००
२०२५-१०-०८,लसुन हरियो,के.जी.,२६०.००,२३०.००,२४६.००
२०२५-१०-०८,हरियो धनिया,के.जी.,१२०.००,१००.००,१०८.००
२०२५-१०-०८,लसुन सुकेको चाइनिज,के.जी.,२२०.००,२००.००,२१०.००
२०२५-१०-०८,लसुन सुकेको नेपाली,के.जी.,१६०.००,१४०.००,१५२.००
२०२५-१०-०८,छ्यापी सुकेको,के.जी.,२००.००,१८०.००,१९०.००
२०२५-१०-०८,छ्यापी हरियो,के.जी.,२००.००,१८०.००,१९२.५०
२०२५-१०-०८,माछा सुकेको,के.जी.,१०००.००,८००.००,९००.००
२०२५-१०-०८,ताजा माछा(रहु),के जी,३४०.००,३२०.००,३३०.००
२०२५-१०-०८,ताजा माछा(बचुवा),के जी,२८०.००,२६०.००,२७०.००
२०२५-१०-०८,ताजा माछा(छडी),के जी,२३०.००,२२०.००,२२५.००
२०२५-१०-०८,रुख टमाटर,केजी,२००.००,१८०.००,१९५.००
२०२५-१०-०८,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
२०२५-१०-०८,सिताके च्याउ,के.जी.,१०००.००,९००.००,९५०.००
