Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-१०-१९,गोलभेडा ठूलो(नेपाली),के.जी.,५३.००,४३.००,४७.२५
२०२५-१०-१९,गोलभेडा ठूलो(भारतीय),केजी,६२.००,५२.००,५७.२५
२०२५-१०-१९,गोलभेडा सानो(लोकल),के.जी.,४२.००,३०.००,३६.७५
२०२५-१०-१९,गोलभेडा सानो(टनेल),के जी,५२.००,३५.००,४४.४०
२०२५-१०-१९,गोलभेडा सानो(भारतीय),के जी,४२.००,३५.००,३८.३३
२०२५-१०-१९,आलु रातो,के.जी.,६५.००,६३.००,६४.२०
२०२५-१०-१९,आलु रातो(भारतीय),के जी,३४.००,३२.००,३३.००
२०२५-१०-१९,आलु रातो(मुडे),केजी,४९.००,४७.००,४८.२०
२०२५-१०-१९,आलु सेतो,के.जी.,५३.००,५१.००,५२.००
२०२५-१०-१९,प्याज सुकेको (भारतीय),के.जी.,३४.००,३२.००,३३.००
२०२५-१०-१९,गाजर(लोकल),के.जी.,१२०.००,११०.००,११६.६०
२०२५-१०-१९,गाजर(तराई),केजी,११०.००,१००.००,१०३.००
२०२५-१०-१९,काउली स्थानिय,के.जी.,१३०.००,१२०.००,१२५.००
२०२५-१०-१९,मूला रातो,के.जी.,६०.००,५०.००,५५.००
२०२५-१०-१९,मूला सेतो(लोकल),के.जी.,५०.००,४५.००,४७.५०
२०२५-१०-१९,सेतो मूला(हाइब्रीड),केजी,६५.००,५०.००,५७.५०
२०२५-१०-१९,भन्टा लाम्चो,के.जी.,६०.००,५०.००,५७.००
२०२५-१०-१९,भन्टा डल्लो,के.जी.,९०.००,८०.००,८६.२५
२०२५-१०-१९,बोडी(तने),के.जी.,१८०.००,१६०.००,१७२.००
२०२५-१०-१९,मकै बोडी,केजी,७५.००,६५.००,७१.००
२०२५-१०-१९,मटरकोशा,के.जी.,३५०.००,३००.००,३१८.००
२०२५-१०-१९,घिउ सिमी(लोकल),के.जी.,१५०.००,१४०.००,१४५.००
२०२५-१०-१९,घिउ सिमी(हाइब्रीड),केजी,१५०.००,१४०.००,१४५.००
२०२५-१०-१९,घिउ सिमी(राजमा),केजी,२४०.००,२३०.००,२३५.००
२०२५-१०-१९,टाटे सिमी,के.जी.,१२०.००,११०.००,११७.००
२०२५-१०-१९,भटमासकोशा,के.जी.,१००.००,९०.००,९५.००
२०२५-१०-१९,तितो करेला,के.जी.,९५.००,८५.००,९०.००
