Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-१०-२३,गोलभेडा ठूलो(नेपाली),के.जी.,५३.००,४३.००,४७.२५
२०२५-१०-२३,गोलभेडा ठूलो(भारतीय),केजी,६८.००,५८.००,६२.५०
२०२५-१०-२३,गोलभेडा सानो(लोकल),के.जी.,३०.००,२०.००,२५.४०
२०२५-१०-२३,गोलभेडा सानो(टनेल),के जी,५०.००,३४.००,४१.२०
२०२५-१०-२३,आलु रातो,के.जी.,६८.००,६५.००,६६.५०
२०२५-१०-२३,आलु रातो(भारतीय),के जी,३४.००,३२.००,३३.००
२०२५-१०-२३,आलु रातो(मुडे),केजी,४७.००,४५.००,४६.००
२०२५-१०-२३,आलु सेतो,के.जी.,५४.००,५२.००,५३.००
२०२५-१०-२३,प्याज सुकेको (भारतीय),के.जी.,३५.००,३२.००,३३.५०
२०२५-१०-२३,गाजर(लोकल),के.जी.,१३०.००,१२०.००,१२५.००
२०२५-१०-२३,गाजर(तराई),केजी,११०.००,१००.००,१०५.००
२०२५-१०-२३,बन्दा(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२५-१०-२३,मूला रातो,के.जी.,६०.००,५०.००,५५.००
२०२५-१०-२३,मूला सेतो(लोकल),के.जी.,४५.००,३५.००,४०.००
२०२५-१०-२३,सेतो मूला(हाइब्रीड),केजी,७०.००,६०.००,६५.००
२०२५-१०-२३,भन्टा लाम्चो,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-२३,भन्टा डल्लो,के.जी.,९०.००,८०.००,८५.००
२०२५-१०-२३,बोडी(तने),के.जी.,१३०.००,१२०.००,१२५.००
२०२५-१०-२३,मकै बोडी,केजी,६५.००,५५.००,६०.००
२०२५-१०-२३,मटरकोशा,के.जी.,३००.००,२८०.००,२९०.००
२०२५-१०-२३,घिउ सिमी(लोकल),के.जी.,१००.००,७०.००,८५.००
२०२५-१०-२३,घिउ सिमी(हाइब्रीड),केजी,१००.००,७०.००,८५.००
२०२५-१०-२३,घिउ सिमी(राजमा),केजी,२३०.००,२२०.००,२२५.००
२०२५-१०-२३,टाटे सिमी,के.जी.,१२०.००,११०.००,११५.००
२०२५-१०-२३,भटमासकोशा,के.जी.,९०.००,८०.००,८५.००
२०२५-१०-२३,तितो करेला,के.जी.,१००.००,९०.००,९५.००
२०२५-१०-२३,लौका,के.जी.,८०.००,७०.००,७५.००
२०२५-१०-२३,परवर(लोकल),के.जी.,९०.००,८०.००,८५.००
२०२५-१०-२३,परवर(तराई),केजी,९०.००,८०.००,८५.००
२०२५-१०-२३,चिचिण्डो,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-२३,घिरौला,के.जी.,७०.००,६०.००,६५.००
२०२५-१०-२३,फर्सी पाकेको,के.जी.,७५.००,६५.००,७०.००
२०२५-१०-२३,फर्सी हरियो(लाम्चो),के.जी.,८०.००,७०.००,७५.००
२०२५-१०-२३,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२५-१०-२३,सलगम,के.जी.,१००.००,९०.००,९५.००
२०२५-१०-२३,भिण्डी,के.जी.,७०.००,६०.००,६५.००
