Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-११-१७,गोलभेडा ठूलो(भारतीय),केजी,१००.००,९०.००,९५.००
२०२५-११-१७,गोलभेडा सानो(लोकल),के.जी.,५०.००,४०.००,४६.००
२०२५-११-१७,गोलभेडा सानो(टनेल),के जी,९०.००,७५.००,८२.५०
२०२५-११-१७,गोलभेडा सानो(भारतीय),के जी,८०.००,७०.००,७५.००
२०२५-११-१७,आलु रातो,के.जी.,६५.००,५५.००,६०.७५
२०२५-११-१७,आलु रातो(भारतीय),के जी,५२.००,५०.००,५१.००
२०२५-११-१७,आलु सेतो,के.जी.,४६.००,४२.००,४४.८०
२०२५-११-१७,प्याज सुकेको (भारतीय),के.जी.,३५.००,३३.००,३४.००
२०२५-११-१७,गाजर(लोकल),के.जी.,१२०.००,११०.००,११६.६७
२०२५-११-१७,गाजर(तराई),केजी,११०.००,१००.००,१०५.००
२०२५-११-१७,बन्दा(लोकल),के.जी.,७५.००,५०.००,६४.३८
२०२५-११-१७,काउली स्थानिय,के.जी.,११०.००,९०.००,९६.६७
२०२५-११-१७,काउली तराई,के.जी.,९०.००,७०.००,८०.००
२०२५-११-१७,मूला रातो,के.जी.,५०.००,४०.००,४६.६७
२०२५-११-१७,मूला सेतो(लोकल),के.जी.,४०.००,२५.००,३४.१७
२०२५-११-१७,सेतो मूला(हाइब्रीड),केजी,६०.००,४५.००,५२.५०
२०२५-११-१७,भन्टा लाम्चो,के.जी.,९०.००,८०.००,८३.३३
२०२५-११-१७,भन्टा डल्लो,के.जी.,१००.००,८०.००,९०.००
२०२५-११-१७,बोडी(तने),के.जी.,२००.००,१८०.००,१९०.००
२०२५-११-१७,मकै बोडी,केजी,१००.००,९०.००,९६.६७
२०२५-११-१७,मटरकोशा,के.जी.,१६०.००,१४०.००,१४८.००
२०२५-११-१७,घिउ सिमी(लोकल),के.जी.,१७०.००,१४०.००,१५३.३३
२०२५-११-१७,घिउ सिमी(हाइब्रीड),केजी,१६०.००,१४०.००,१५०.००
२०२५-११-१७,घिउ सिमी(राजमा),केजी,१००.००,८०.००,९०.००
२०२५-११-१७,तितो करेला,के.जी.,१५०.००,१३०.००,१४२.५०
२०२५-११-१७,लौका,के.जी.,११०.००,९०.००,१००.००
