Date,Product,Unit,Max Price,Min Price,Avg Price
२०२५-१२-०८,गोलभेडा ठूलो(नेपाली),के.जी.,९०.००,८०.००,८५.००
२०२५-१२-०८,गोलभेडा ठूलो(भारतीय),केजी,११०.००,९०.००,१००.००
२०२५-१२-०८,गोलभेडा सानो(लोकल),के.जी.,६५.००,५५.००,६०.००
२०२५-१२-०८,गोलभेडा सानो(टनेल),के जी,१००.००,८०.००,९३.३३
२०२५-१२-०८,गोलभेडा सानो(भारतीय),के जी,७०.००,६०.००,६५.००
२०२५-१२-०८,गोलभेडा सानो(तराई),के जी,८५.००,७५.००,८०.००
२०२५-१२-०८,आलु रातो,के.जी.,५५.००,४५.००,४९.५०
२०२५-१२-०८,आलु रातो(भारतीय),के जी,४३.००,४०.००,४१.५०
२०२५-१२-०८,आलु सेतो,के.जी.,३४.००,३१.००,३२.५०
२०२५-१२-०८,प्याज सुकेको (भारतीय),के.जी.,३२.००,२९.००,३०.५०
२०२५-१२-०८,गाजर(लोकल),के.जी.,१३०.००,१२०.००,१२४.००
२०२५-१२-०८,गाजर(तराई),केजी,१२५.००,११०.००,११७.५०
२०२५-१२-०८,बन्दा(लोकल),के.जी.,६५.००,५५.००,६०.००
२०२५-१२-०८,बन्दा(तराई),केजी,६०.००,५०.००,५५.००
२०२५-१२-०८,बन्दा(नरिवल),केजी,५५.००,४५.००,५०.००
२०२५-१२-०८,काउली स्थानिय,के.जी.,५५.००,४०.००,४८.७५
२०२५-१२-०८,स्थानीय काउली(ज्यापु),केजी,७०.००,६०.००,६५.००
२०२५-१२-०८,काउली तराई,के.जी.,४५.००,३५.००,४०.००
२०२५-१२-०८,मूला रातो,के.जी.,५५.००,४५.००,५०.००
२०२५-१२-०८,मूला सेतो(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२५-१२-०८,सेतो मूला(हाइब्रीड),केजी,५०.००,४०.००,४६.२५
२०२५-१२-०८,भन्टा लाम्चो,के.जी.,७५.००,६५.००,७०.००
२०२५-१२-०८,भन्टा डल्लो,के.जी.,१००.००,९०.००,९५.००
२०२५-१२-०८,बोडी(तने),के.जी.,१७०.००,१६०.००,१६५.००
२०२५-१२-०८,मकै बोडी,केजी,७५.००,६५.००,७०.००
२०२५-१२-०८,मटरकोशा,के.जी.,१५०.००,१२०.००,१३५.००
२०२५-१२-०८,घिउ सिमी(लोकल),के.जी.,१६०.००,१५०.००,१५५.००
२०२५-१२-०८,घिउ सिमी(हाइब्रीड),केजी,१६०.००,१५०.००,१५५.००
२०२५-१२-०८,घिउ सिमी(राजमा),केजी,११०.००,१००.००,१०५.००
२०२५-१२-०८,टाटे सिमी,के.जी.,१४०.००,१३०.००,१३५.००
२०२५-१२-०८,तितो करेला,के.जी.,१२०.००,१००.००,११०.००
२०२५-१२-०८,लौका,के.जी.,८०.००,७०.००,७५.००
२०२५-१२-०८,परवर(लोकल),के.जी.,१००.००,९०.००,९५.००
२०२५-१२-०८,परवर(तराई),केजी,१००.००,९०.००,९५.००
२०२५-१२-०८,घिरौला,के.जी.,१२०.००,१००.००,११०.००
२०२५-१२-०८,फर्सी पाकेको,के.जी.,४०.००,३०.००,३५.००
२०२५-१२-०८,फर्सी हरियो(लाम्चो),के.जी.,५५.००,४०.००,४७.५०
