Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०३-०३,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२६-०३-०३,गोलभेडा सानो(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२६-०३-०३,गोलभेडा सानो(टनेल),के जी,५०.००,४०.००,४६.२५
२०२६-०३-०३,गोलभेडा सानो(भारतीय),के जी,३५.००,२८.००,३१.५०
२०२६-०३-०३,गोलभेडा सानो(तराई),के जी,३५.००,२५.००,३०.५०
२०२६-०३-०३,आलु रातो,के.जी.,२५.००,२२.००,२३.५०
२०२६-०३-०३,आलु रातो(भारतीय),के जी,२६.००,२३.००,२४.५०
२०२६-०३-०३,प्याज सुकेको (भारतीय),के.जी.,३८.००,३५.००,३६.८०
२०२६-०३-०३,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२६-०३-०३,गाजर(तराई),केजी,४०.००,२५.००,३२.५०
२०२६-०३-०३,बन्दा(लोकल),के.जी.,४५.००,३०.००,३७.५०
२०२६-०३-०३,बन्दा(तराई),केजी,३०.००,२०.००,२५.००
२०२६-०३-०३,बन्दा(नरिवल),केजी,३५.००,२५.००,३०.००
२०२६-०३-०३,काउली स्थानिय,के.जी.,४०.००,२५.००,३०.८३
२०२६-०३-०३,स्थानीय काउली(ज्यापु),केजी,४५.००,३५.००,४०.००
२०२६-०३-०३,काउली तराई,के.जी.,३५.००,२५.००,३०.००
२०२६-०३-०३,मूला रातो,के.जी.,४०.००,३०.००,३५.००
२०२६-०३-०३,मूला सेतो(लोकल),के.जी.,१५.००,१०.००,१२.५०
२०२६-०३-०३,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.५०
२०२६-०३-०३,भन्टा लाम्चो,के.जी.,८०.००,७०.००,७५.००
२०२६-०३-०३,भन्टा डल्लो,के.जी.,८५.००,७५.००,८०.००
२०२६-०३-०३,मटरकोशा,के.जी.,४०.००,३०.००,३६.६७
२०२६-०३-०३,घिउ सिमी(लोकल),के.जी.,५०.००,३५.००,४५.००
२०२६-०३-०३,घिउ सिमी(हाइब्रीड),केजी,५०.००,३५.००,४२.५०
२०२६-०३-०३,घिउ सिमी(राजमा),केजी,९०.००,७०.००,८०.००
२०२६-०३-०३,टाटे सिमी,के.जी.,९०.००,७०.००,८०.००
२०२६-०३-०३,तितो करेला,के.जी.,१८०.००,१६०.००,१७०.००
२०२६-०३-०३,लौका,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-०३,घिरौला,के.जी.,११०.००,९०.००,१००.००
२०२६-०३-०३,फर्सी पाकेको,के.जी.,६५.००,५५.००,६०.००
२०२६-०३-०३,फर्सी हरियो(लाम्चो),के.जी.,१५.००,१०.००,१२.५०
२०२६-०३-०३,हरियो फर्सी(डल्लो),केजी,१५.००,१०.००,१२.५०
२०२६-०३-०३,सलगम,के.जी.,६०.००,४५.००,५२.५०
२०२६-०३-०३,भिण्डी,के.जी.,१५०.००,१२०.००,१४०.००
२०२६-०३-०३,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-०३,बरेला,के.जी.,४०.००,३५.००,३७.५०
२०२६-०३-०३,पिंडालू,के.जी.,७०.००,४५.००,५७.५०
२०२६-०३-०३,स्कूस,के.जी.,६०.००,४०.००,५०.००
२०२६-०३-०३,रायो साग,के.जी.,२५.००,१५.००,२०.००
२०२६-०३-०३,पालूगो साग,के.जी.,४०.००,३०.००,३५.००
२०२६-०३-०३,चमसूरको साग,के.जी.,५०.००,४०.००,४५.००
२०२६-०३-०३,तोरीको साग,के.जी.,२५.००,१५.००,२०.००
२०२६-०३-०३,मेथीको साग,के.जी.,५०.००,४०.००,४५.००
२०२६-०३-०३,प्याज हरियो,के.जी.,५०.००,४०.००,४५.००
२०२६-०३-०३,बकूला,के.जी.,४५.००,३५.००,४०.००
२०२६-०३-०३,तरुल,के.जी.,८०.००,६०.००,७०.००
२०२६-०३-०३,च्याउ(कन्य),के.जी.,१२०.००,८०.००,१०२.५०
२०२६-०३-०३,च्याउ(डल्ले),के जी,४००.००,३५०.००,३७५.००
२०२६-०३-०३,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
२०२६-०३-०३,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०३-०३,ब्रोकाउली,के.जी.,४०.००,२०.००,२८.००
२०२६-०३-०३,चुकुन्दर,के.जी.,८०.००,७०.००,७५.००
२०२६-०३-०३,सजिवन,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०३-०३,रातो बन्दा,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-०३,जिरीको साग,के.जी.,६०.००,४०.००,५०.००
२०२६-०३-०३,ग्याठ कोबी,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-०३,सेलरी,के.जी.,१७०.००,१५०.००,१६०.००
२०२६-०३-०३,पार्सले,के.जी.,४००.००,३५०.००,३७५.००
२०२६-०३-०३,सौफको साग,के.जी.,६०.००,४०.००,५०.००
२०२६-०३-०३,पुदीना,के.जी.,३५०.००,३००.००,३२५.००
