Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०३-१९,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२६-०३-१९,गोलभेडा सानो(लोकल),के.जी.,५५.००,४५.००,४८.७५
२०२६-०३-१९,गोलभेडा सानो(भारतीय),के जी,६५.००,५५.००,५९.२०
२०२६-०३-१९,गोलभेडा सानो(तराई),के जी,७०.००,६०.००,६३.००
२०२६-०३-१९,आलु रातो,के.जी.,२३.००,१६.००,२०.१७
२०२६-०३-१९,आलु रातो(भारतीय),के जी,२२.००,२१.००,२१.५०
२०२६-०३-१९,प्याज सुकेको (भारतीय),के.जी.,३६.००,३४.००,३४.७५
२०२६-०३-१९,गाजर(लोकल),के.जी.,४०.००,२५.००,३२.५०
२०२६-०३-१९,गाजर(तराई),केजी,२५.००,१५.००,२०.००
२०२६-०३-१९,बन्दा(लोकल),के.जी.,२५.००,१८.००,२१.५०
२०२६-०३-१९,बन्दा(नरिवल),केजी,२५.००,१५.००,२०.००
२०२६-०३-१९,काउली स्थानिय,के.जी.,६०.००,४०.००,५१.४३
२०२६-०३-१९,स्थानीय काउली(ज्यापु),केजी,८०.००,६०.००,७०.००
२०२६-०३-१९,काउली तराई,के.जी.,५०.००,३०.००,४०.००
२०२६-०३-१९,मूला सेतो(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२६-०३-१९,सेतो मूला(हाइब्रीड),केजी,३५.००,३०.००,३१.६७
२०२६-०३-१९,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४५.००
२०२६-०३-१९,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२६-०३-१९,बोडी(तने),के.जी.,१६०.००,१५०.००,१५५.००
२०२६-०३-१९,मटरकोशा,के.जी.,५०.००,४०.००,४७.५०
२०२६-०३-१९,घिउ सिमी(लोकल),के.जी.,८०.००,६०.००,७०.००
२०२६-०३-१९,घिउ सिमी(हाइब्रीड),केजी,७०.००,६०.००,६५.००
२०२६-०३-१९,घिउ सिमी(राजमा),केजी,१००.००,८०.००,९०.००
२०२६-०३-१९,टाटे सिमी,के.जी.,५५.००,४५.००,५०.००
२०२६-०३-१९,तितो करेला,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०३-१९,लौका,के.जी.,६०.००,५०.००,५५.००
२०२६-०३-१९,परवर(तराई),केजी,१४०.००,१३०.००,१३५.००
२०२६-०३-१९,घिरौला,के.जी.,७५.००,६५.००,७०.००
२०२६-०३-१९,फर्सी पाकेको,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-१९,फर्सी हरियो(लाम्चो),के.जी.,३०.००,२०.००,२५.००
२०२६-०३-१९,हरियो फर्सी(डल्लो),केजी,३०.००,२०.००,२५.००
२०२६-०३-१९,सलगम,के.जी.,५०.००,४०.००,४५.००
२०२६-०३-१९,भिण्डी,के.जी.,१४०.००,१३०.००,१३३.३३
२०२६-०३-१९,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-१९,बरेला,के.जी.,७०.००,६०.००,६५.००
२०२६-०३-१९,पिंडालू,के.जी.,६५.००,५०.००,५७.५०
