Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०४-१६,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२६-०४-१६,गोलभेडा सानो(लोकल),के.जी.,४०.००,३२.००,३६.००
२०२६-०४-१६,गोलभेडा सानो(भारतीय),के जी,४०.००,३५.००,३७.५०
२०२६-०४-१६,गोलभेडा सानो(तराई),के जी,५०.००,४०.००,४५.००
२०२६-०४-१६,आलु रातो,के.जी.,२४.००,१८.००,२१.२५
२०२६-०४-१६,आलु रातो(भारतीय),के जी,२४.००,२२.००,२३.००
२०२६-०४-१६,प्याज सुकेको (भारतीय),के.जी.,३६.००,३४.००,३५.००
२०२६-०४-१६,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२६-०४-१६,गाजर(तराई),केजी,३५.००,२०.००,२७.५०
२०२६-०४-१६,बन्दा(लोकल),के.जी.,५०.००,३५.००,४२.५०
२०२६-०४-१६,काउली स्थानिय,के.जी.,६०.००,४०.००,५०.००
२०२६-०४-१६,स्थानीय काउली(ज्यापु),केजी,६०.००,५०.००,५५.००
२०२६-०४-१६,मूला रातो,के.जी.,३५.००,२५.००,३०.००
२०२६-०४-१६,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२६-०४-१६,भन्टा लाम्चो,के.जी.,६५.००,५०.००,५६.२५
२०२६-०४-१६,भन्टा डल्लो,के.जी.,७०.००,६०.००,६५.००
२०२६-०४-१६,बोडी(तने),के.जी.,१००.००,८०.००,९०.००
२०२६-०४-१६,मटरकोशा,के.जी.,१००.००,८०.००,९०.००
२०२६-०४-१६,घिउ सिमी(लोकल),के.जी.,६०.००,५०.००,५४.००
२०२६-०४-१६,घिउ सिमी(हाइब्रीड),केजी,६०.००,४०.००,५०.००
२०२६-०४-१६,घिउ सिमी(राजमा),केजी,१२०.००,१००.००,११०.००
२०२६-०४-१६,टाटे सिमी,के.जी.,१२०.००,१००.००,११०.००
२०२६-०४-१६,भटमासकोशा,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०४-१६,तितो करेला,के.जी.,८०.००,६०.००,७२.५०
२०२६-०४-१६,लौका,के.जी.,४०.००,३०.००,३५.००
२०२६-०४-१६,परवर(तराई),केजी,१००.००,८०.००,९०.००
२०२६-०४-१६,चिचिण्डो,के.जी.,७०.००,६०.००,६५.००
२०२६-०४-१६,घिरौला,के.जी.,५०.००,३५.००,४२.५०
२०२६-०४-१६,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०४-१६,फर्सी हरियो(लाम्चो),के.जी.,४०.००,३०.००,३५.००
२०२६-०४-१६,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२६-०४-१६,भिण्डी,के.जी.,९०.००,७०.००,८०.००
२०२६-०४-१६,सखरखण्ड,के.जी.,७५.००,६५.००,७१.२५
२०२६-०४-१६,बरेला,के.जी.,६०.००,५०.००,५५.००
२०२६-०४-१६,पिंडालू,के.जी.,५०.००,४०.००,४६.२५
२०२६-०४-१६,स्कूस,के.जी.,६०.००,५०.००,५३.७५
२०२६-०४-१६,रायो साग,के.जी.,६०.००,४५.००,५१.६७
२०२६-०४-१६,पालूगो साग,के.जी.,११०.००,९०.००,१००.००
२०२६-०४-१६,चमसूरको साग,के.जी.,११०.००,१००.००,१०५.००
२०२६-०४-१६,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२६-०४-१६,मेथीको साग,के.जी.,११०.००,१००.००,१०५.००
२०२६-०४-१६,प्याज हरियो,के.जी.,८०.००,६०.००,७२.५०
२०२६-०४-१६,बकूला,के.जी.,५०.००,४०.००,४५.००
२०२६-०४-१६,च्याउ(कन्य),के.जी.,१९०.००,१७०.००,१८०.००
२०२६-०४-१६,च्याउ(डल्ले),के जी,४००.००,३५०.००,३७५.००
२०२६-०४-१६,राजा च्याउ,के.जी.,३००.००,२८०.००,२९०.००
२०२६-०४-१६,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०४-१६,कुरीलो,के.जी.,४५०.००,३५०.००,४००.००
२०२६-०४-१६,न्यूरो,के.जी.,८०.००,७०.००,७५.००
२०२६-०४-१६,ब्रोकाउली,के.जी.,१००.००,७०.००,८३.७५
२०२६-०४-१६,चुकुन्दर,के.जी.,५०.००,४०.००,४५.००
२०२६-०४-१६,सजिवन,के.जी.,१२०.००,१००.००,११०.००
२०२६-०४-१६,कोइरालो,के.जी.,३२०.००,३००.००,३०६.६७
२०२६-०४-१६,रातो बन्दा,के.जी.,४०.००,३०.००,३५.००
२०२६-०४-१६,जिरीको साग,के.जी.,१२०.००,१००.००,११०.००
२०२६-०४-१६,ग्याठ कोबी,के.जी.,५०.००,४०.००,४५.००
२०२६-०४-१६,पार्सले,के.जी.,२२०.००,२००.००,२१०.००
२०२६-०४-१६,सौफको साग,के.जी.,११०.००,१००.००,१०५.००
२०२६-०४-१६,पुदीना,के.जी.,१२०.००,११०.००,११५.००
२०२६-०४-१६,गान्टे मूला,के.जी.,५०.००,४०.००,४५.००
२०२६-०४-१६,इमली,के.जी.,१८०.००,१७०.००,१७५.००
२०२६-०४-१६,तामा,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०४-१६,तोफु,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०४-१६,गुन्दुक,के.जी.,२५०.००,२२०.००,२३५.००
२०२६-०४-१६,स्याउ(झोले),के.जी.,२५०.००,२००.००,२२५.००
२०२६-०४-१६,स्याउ(फूजी),के जी,३२०.००,२५०.००,२८५.००
२०२६-०४-१६,अनार,के.जी.,३८०.००,३५०.००,३६५.००
२०२६-०४-१६,अंगुर(हरियो),के.जी.,२३०.००,२१०.००,२२०.००
२०२६-०४-१६,अंगुर(कालो),केजी,३५०.००,३३०.००,३४०.००
२०२६-०४-१६,सुन्तला(भारतीय),केजी,१६०.००,१४०.००,१५०.००
२०२६-०४-१६,तरबुजा(हरियो),के.जी.,४५.००,३५.००,४०.००
२०२६-०४-१६,भुई कटहर,प्रति गोटा,१६०.००,१५०.००,१५५.००
२०२६-०४-१६,काक्रो(लोकल),के.जी.,६५.००,५५.००,६०.००
२०२६-०४-१६,काक्रो(हाइब्रीड),के जी,३०.००,२०.००,२५.००
२०२६-०४-१६,काक्रो(लोकलक्रस),के.जी.,६०.००,४५.००,५१.६७
२०२६-०४-१६,रुख कटहर,के.जी.,८०.००,७०.००,७५.००
२०२६-०४-१६,मेवा(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२६-०४-१६,मेवा(भारतीय),केजी,९०.००,७०.००,८०.००
२०२६-०४-१६,किवि,केजी,४००.००,३५०.००,३७५.००
२०२६-०४-१६,आभोकाडो,के.जी,८००.००,६००.००,७००.००
२०२६-०४-१६,अदुवा,के.जी.,१००.००,८०.००,८७.५०
२०२६-०४-१६,खु्र्सानी सुकेको,के.जी.,४५०.००,४००.००,४२५.००
२०२६-०४-१६,खु्र्सानी हरियो,के.जी.,१००.००,८०.००,९०.००
२०२६-०४-१६,खुर्सानी हरियो(बुलेट),के जी,८०.००,७०.००,७५.००
२०२६-०४-१६,खुर्सानी हरियो(माछे),के जी,१००.००,८०.००,९०.००
२०२६-०४-१६,खुर्सानी हरियो(अकबरे),के जी,३८०.००,३५०.००,३६५.००
२०२६-०४-१६,भेडे खु्र्सानी,के.जी.,१२०.००,१००.००,११०.००
२०२६-०४-१६,लसुन हरियो,के.जी.,१००.००,९०.००,९५.००
२०२६-०४-१६,हरियो धनिया,के.जी.,१००.००,९०.००,९५.००
२०२६-०४-१६,लसुन सुकेको चाइनिज,के.जी.,२२०.००,२००.००,२१०.००
२०२६-०४-१६,लसुन सुकेको नेपाली,के.जी.,१४०.००,१२०.००,१३०.००
२०२६-०४-१६,छ्यापी सुकेको,के.जी.,१२०.००,१००.००,११०.००
२०२६-०४-१६,छ्यापी हरियो,के.जी.,९०.००,८०.००,८५.००
२०२६-०४-१६,माछा सुकेको,के.जी.,१०००.००,८००.००,९००.००
२०२६-०४-१६,ताजा माछा(रहु),के जी,३४०.००,३२०.००,३३०.००
२०२६-०४-१६,ताजा माछा(बचुवा),के जी,३१०.००,३००.००,३०५.००
२०२६-०४-१६,ताजा माछा(छडी),के जी,३००.००,२८०.००,२९०.००
