Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०५-०१,गोलभेडा ठूलो(भारतीय),केजी,१००.००,८०.००,९०.००
२०२६-०५-०१,गोलभेडा सानो(लोकल),के.जी.,६०.००,५०.००,५३.६७
२०२६-०५-०१,गोलभेडा सानो(भारतीय),के जी,५५.००,४५.००,५०.००
२०२६-०५-०१,गोलभेडा सानो(तराई),के जी,५५.००,४४.००,४८.१७
२०२६-०५-०१,आलु रातो,के.जी.,२७.००,२२.००,२४.५०
२०२६-०५-०१,आलु रातो(भारतीय),के जी,२३.००,२२.००,२२.५०
२०२६-०५-०१,प्याज सुकेको (भारतीय),के.जी.,४०.००,३७.००,३८.३८
२०२६-०५-०१,गाजर(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,गाजर(तराई),केजी,३०.००,२०.००,२५.००
२०२६-०५-०१,बन्दा(लोकल),के.जी.,३५.००,२५.००,३०.००
२०२६-०५-०१,बन्दा(तराई),केजी,३०.००,२०.००,२५.००
२०२६-०५-०१,काउली स्थानिय,के.जी.,४०.००,३०.००,३५.००
२०२६-०५-०१,स्थानीय काउली(ज्यापु),केजी,५०.००,४०.००,४५.००
२०२६-०५-०१,सेतो मूला(हाइब्रीड),केजी,२५.००,१५.००,१९.१७
२०२६-०५-०१,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२६-०५-०१,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,बोडी(तने),के.जी.,८०.००,६०.००,७०.००
२०२६-०५-०१,मटरकोशा,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,घिउ सिमी(लोकल),के.जी.,३०.००,२०.००,२५.००
२०२६-०५-०१,घिउ सिमी(हाइब्रीड),केजी,४०.००,३०.००,३५.००
२०२६-०५-०१,घिउ सिमी(राजमा),केजी,१००.००,९०.००,९५.००
२०२६-०५-०१,टाटे सिमी,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-०१,भटमासकोशा,के.जी.,१८०.००,१५०.००,१६५.००
२०२६-०५-०१,तितो करेला,के.जी.,४०.००,२०.००,२७.१४
२०२६-०५-०१,लौका,के.जी.,३०.००,१५.००,२२.५०
२०२६-०५-०१,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२६-०५-०१,परवर(तराई),केजी,७०.००,६०.००,६५.००
२०२६-०५-०१,चिचिण्डो,के.जी.,३०.००,२०.००,२५.००
२०२६-०५-०१,घिरौला,के.जी.,४०.००,३०.००,३५.००
२०२६-०५-०१,फर्सी पाकेको,के.जी.,५५.००,५०.००,५२.५०
२०२६-०५-०१,फर्सी हरियो(लाम्चो),के.जी.,३०.००,२०.००,२६.२५
२०२६-०५-०१,हरियो फर्सी(डल्लो),केजी,२५.००,२०.००,२३.३३
२०२६-०५-०१,भिण्डी,के.जी.,६०.००,४५.००,५२.५०
२०२६-०५-०१,सखरखण्ड,के.जी.,८०.००,७०.००,७५.००
२०२६-०५-०१,पिंडालू,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,स्कूस,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-०१,रायो साग,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,पालूगो साग,के.जी.,८०.००,७०.००,७५.००
२०२६-०५-०१,चमसूरको साग,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-०१,तोरीको साग,के.जी.,३०.००,२०.००,२५.००
२०२६-०५-०१,मेथीको साग,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-०१,प्याज हरियो,के.जी.,१००.००,८०.००,९०.००
२०२६-०५-०१,तरुल,के.जी.,९०.००,७०.००,८०.००
२०२६-०५-०१,च्याउ(कन्य),के.जी.,२००.००,१८०.००,१९०.००
२०२६-०५-०१,च्याउ(डल्ले),के जी,४२०.००,३८०.००,४००.००
२०२६-०५-०१,राजा च्याउ,के.जी.,३२०.००,३००.००,३१०.००
२०२६-०५-०१,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०५-०१,कुरीलो,के.जी.,५००.००,४००.००,४५०.००
२०२६-०५-०१,न्यूरो,के.जी.,१००.००,८०.००,९०.००
२०२६-०५-०१,ब्रोकाउली,के.जी.,७०.००,४०.००,५५.००
२०२६-०५-०१,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-०१,सजिवन,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-०१,कोइरालो,के.जी.,३००.००,२८०.००,२९०.००
२०२६-०५-०१,रातो बन्दा,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,जिरीको साग,के.जी.,८०.००,७०.००,७५.००
२०२६-०५-०१,सेलरी,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०५-०१,पार्सले,के.जी.,३२०.००,३००.००,३१०.००
२०२६-०५-०१,सौफको साग,के.जी.,८०.००,७०.००,७५.००
२०२६-०५-०१,पुदीना,के.जी.,११०.००,१००.००,१०५.००
२०२६-०५-०१,गान्टे मूला,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-०१,इमली,के.जी.,१८०.००,१७०.००,१७५.००
२०२६-०५-०१,तामा,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०५-०१,तोफु,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०५-०१,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०५-०१,स्याउ(झोले),के.जी.,२५०.००,२२०.००,२३५.००
२०२६-०५-०१,स्याउ(फूजी),के जी,३००.००,२५०.००,२७५.००
२०२६-०५-०१,केरा,दर्जन,२२०.००,१८०.००,२००.००
२०२६-०५-०१,कागती,के.जी.,३८०.००,३७०.००,३७५.००
२०२६-०५-०१,अनार,के.जी.,४८०.००,४३०.००,४५५.००
२०२६-०५-०१,अंगुर(हरियो),के.जी.,२५०.००,२२०.००,२३५.००
२०२६-०५-०१,अंगुर(कालो),केजी,३८०.००,३६०.००,३७०.००
२०२६-०५-०१,तरबुजा(हरियो),के.जी.,४५.००,३५.००,४०.००
२०२६-०५-०१,भुई कटहर,प्रति गोटा,२५०.००,२३०.००,२४०.००
२०२६-०५-०१,काक्रो(लोकल),के.जी.,५०.००,३५.००,४४.१७
२०२६-०५-०१,काक्रो(हाइब्रीड),के जी,२०.००,१०.००,१५.००
२०२६-०५-०१,काक्रो(लोकलक्रस),के.जी.,६०.००,५०.००,५६.२५
२०२६-०५-०१,रुख कटहर,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-०१,नासपाती(चाइनिज),केजी,२५०.००,२३०.००,२४०.००
२०२६-०५-०१,मेवा(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२६-०५-०१,मेवा(भारतीय),केजी,९०.००,८०.००,८५.००
२०२६-०५-०१,किवि,केजी,५००.००,४००.००,४५०.००
२०२६-०५-०१,आभोकाडो,के.जी,८००.००,७००.००,७५०.००
२०२६-०५-०१,अदुवा,के.जी.,१००.००,८०.००,९०.००
२०२६-०५-०१,खु्र्सानी सुकेको,के.जी.,४५०.००,३८०.००,४१५.००
२०२६-०५-०१,खु्र्सानी हरियो,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-०१,खुर्सानी हरियो(बुलेट),के जी,५५.००,४५.००,५०.००
२०२६-०५-०१,खुर्सानी हरियो(माछे),के जी,६०.००,४५.००,५२.५०
२०२६-०५-०१,खुर्सानी हरियो(अकबरे),के जी,६००.००,५००.००,५५०.००
२०२६-०५-०१,भेडे खु्र्सानी,के.जी.,७०.००,५०.००,५७.५०
२०२६-०५-०१,लसुन हरियो,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०५-०१,हरियो धनिया,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-०१,लसुन सुकेको चाइनिज,के.जी.,२००.००,१८०.००,१९०.००
२०२६-०५-०१,लसुन सुकेको नेपाली,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-०१,ताजा माछा(रहु),के जी,३४०.००,३२०.००,३३०.००
२०२६-०५-०१,ताजा माछा(बचुवा),के जी,३१०.००,३००.००,३०५.००
२०२६-०५-०१,ताजा माछा(छडी),के जी,३००.००,२८०.००,२९०.००
