Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०५-१७,गोलभेडा ठूलो(भारतीय),केजी,९०.००,८०.००,८५.००
२०२६-०५-१७,गोलभेडा सानो(लोकल),के.जी.,६५.००,५५.००,६०.००
२०२६-०५-१७,गोलभेडा सानो(टनेल),के जी,७८.००,७०.००,७४.००
२०२६-०५-१७,गोलभेडा सानो(भारतीय),के जी,६५.००,५५.००,६०.००
२०२६-०५-१७,गोलभेडा सानो(तराई),के जी,६०.००,४८.००,५४.००
२०२६-०५-१७,आलु रातो(लाम्चो),के.जी.,२८.००,२५.००,२७.००
२०२६-०५-१७,रातो आलु(गोलो),के जी,२३.००,२०.००,२१.५०
२०२६-०५-१७,आलु रातो(भारतीय),के जी,२७.००,२४.००,२५.५०
२०२६-०५-१७,प्याज सुकेको (भारतीय),के.जी.,३८.००,३६.००,३७.००
२०२६-०५-१७,गाजर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२६-०५-१७,बन्दा(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२६-०५-१७,काउली स्थानिय,के.जी.,६०.००,४०.००,५०.००
२०२६-०५-१७,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.५०
२०२६-०५-१७,भन्टा लाम्चो,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-१७,भन्टा डल्लो,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-१७,बोडी(तने),के.जी.,८०.००,७०.००,७५.००
२०२६-०५-१७,मकै बोडी,केजी,१००.००,८०.००,९०.००
२०२६-०५-१७,घिउ सिमी(लोकल),के.जी.,९५.००,८०.००,८७.५०
२०२६-०५-१७,घिउ सिमी(हाइब्रीड),केजी,९०.००,८०.००,८५.००
२०२६-०५-१७,घिउ सिमी(राजमा),केजी,१००.००,८०.००,९०.००
२०२६-०५-१७,भटमासकोशा,के.जी.,१४०.००,१२०.००,१३०.००
२०२६-०५-१७,तितो करेला,के.जी.,८०.००,६०.००,७०.००
२०२६-०५-१७,लौका,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-१७,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२६-०५-१७,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२६-०५-१७,चिचिण्डो,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-१७,घिरौला,के.जी.,७०.००,४०.००,५५.००
२०२६-०५-१७,झिगूनी,के.जी.,९०.००,८०.००,८५.००
२०२६-०५-१७,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-१७,फर्सी हरियो(लाम्चो),के.जी.,४०.००,३०.००,३५.००
२०२६-०५-१७,हरियो फर्सी(डल्लो),केजी,४०.००,३०.००,३५.००
२०२६-०५-१७,भिण्डी,के.जी.,६०.००,४०.००,५०.००
२०२६-०५-१७,सखरखण्ड,के.जी.,७५.००,४५.००,६१.२५
२०२६-०५-१७,पिंडालू,के.जी.,५०.००,४०.००,४५.००
२०२६-०५-१७,रायो साग,के.जी.,१००.००,८०.००,९०.००
२०२६-०५-१७,पालूगो साग,के.जी.,१२०.००,६०.००,९०.००
२०२६-०५-१७,चमसूरको साग,के.जी.,१४०.००,११०.००,१२५.००
२०२६-०५-१७,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२६-०५-१७,प्याज हरियो,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०५-१७,च्याउ(कन्य),के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०५-१७,च्याउ(डल्ले),के जी,३५०.००,३००.००,३२५.००
२०२६-०५-१७,राजा च्याउ,के.जी.,३२०.००,३००.००,३१०.००
२०२६-०५-१७,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०५-१७,कुरीलो,के.जी.,३५०.००,२५०.००,३००.००
२०२६-०५-१७,न्यूरो,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-१७,ब्रोकाउली,के.जी.,१२०.००,८०.००,१००.००
२०२६-०५-१७,चुकुन्दर,के.जी.,६५.००,५५.००,६०.००
२०२६-०५-१७,सजिवन,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-१७,रातो बन्दा,के.जी.,६०.००,४०.००,५०.००
२०२६-०५-१७,जिरीको साग,के.जी.,११०.००,१००.००,१०५.००
२०२६-०५-१७,सेलरी,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-१७,पार्सले,के.जी.,२८०.००,२५०.००,२६५.००
२०२६-०५-१७,सौफको साग,के.जी.,१२०.००,९०.००,१०५.००
२०२६-०५-१७,पुदीना,के.जी.,१००.००,८०.००,९०.००
२०२६-०५-१७,गान्टे मूला,के.जी.,६०.००,४०.००,५०.००
२०२६-०५-१७,इमली,के.जी.,१८०.००,१७०.००,१७५.००
२०२६-०५-१७,तामा,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०५-१७,तोफु,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०५-१७,गुन्दुक,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०५-१७,स्याउ(झोले),के.जी.,२५०.००,२२०.००,२३५.००
२०२६-०५-१७,स्याउ(फूजी),के जी,३००.००,२५०.००,२७५.००
२०२६-०५-१७,केरा(नेपाली),दर्जन,२००.००,१५०.००,१७५.००
२०२६-०५-१७,केरा(मालभोग),दर्जन,२२०.००,२००.००,२१०.००
२०२६-०५-१७,कागती,के.जी.,२८०.००,२६०.००,२७०.००
२०२६-०५-१७,अनार,के.जी.,५००.००,४००.००,४५०.००
२०२६-०५-१७,अंगुर(हरियो),के.जी.,३००.००,२५०.००,२७५.००
२०२६-०५-१७,अंगुर(कालो),केजी,४५०.००,४००.००,४२५.००
२०२६-०५-१७,तरबुजा(हरियो),के.जी.,४५.००,३५.००,४०.००
२०२६-०५-१७,भुई कटहर,प्रति गोटा,२५०.००,२३०.००,२४०.००
२०२६-०५-१७,काक्रो(लोकल),के.जी.,६०.००,४०.००,५०.००
२०२६-०५-१७,काक्रो(हाइब्रीड),के जी,२५.००,२०.००,२२.५०
२०२६-०५-१७,काक्रो(लोकलक्रस),के.जी.,५०.००,३०.००,४०.००
२०२६-०५-१७,नासपाती(चाइनिज),केजी,२५०.००,२३०.००,२४०.००
२०२६-०५-१७,मेवा(नेपाली),के.जी.,८०.००,७०.००,७५.००
२०२६-०५-१७,मेवा(भारतीय),केजी,९०.००,८०.००,८५.००
२०२६-०५-१७,आभोकाडो,के.जी,८००.००,७००.००,७५०.००
२०२६-०५-१७,नरिवल(हरियो),के जी,१६०.००,१५०.००,१५५.००
२०२६-०५-१७,अदुवा,के.जी.,१७०.००,१४०.००,१५५.००
२०२६-०५-१७,खु्र्सानी सुकेको,के.जी.,४५०.००,४००.००,४२५.००
२०२६-०५-१७,खुर्सानी हरियो(लाम्चो),के जी,१००.००,९०.००,९५.००
२०२६-०५-१७,खुर्सानी हरियो(बुलेट),के जी,१००.००,९०.००,९५.००
२०२६-०५-१७,खुर्सानी हरियो(माछे),के जी,६०.००,४०.००,५०.००
२०२६-०५-१७,खुर्सानी हरियो(अकबरे),के जी,५००.००,४००.००,४५०.००
२०२६-०५-१७,भेडे खु्र्सानी,के.जी.,८०.००,५०.००,६५.००
२०२६-०५-१७,लसुन हरियो,के.जी.,२००.००,१८०.००,१९०.००
२०२६-०५-१७,हरियो धनिया,के.जी.,१२०.००,५०.००,८५.००
२०२६-०५-१७,लसुन सुकेको चाइनिज,के.जी.,२००.००,१७५.००,१८७.५०
२०२६-०५-१७,लसुन सुकेको नेपाली,के.जी.,१२०.००,९०.००,१०५.००
२०२६-०५-१७,छ्यापी सुकेको,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-१७,छ्यापी हरियो,के.जी.,१००.००,९०.००,९५.००
२०२६-०५-१७,माछा सुकेको,के.जी.,१०००.००,८००.००,९००.००
२०२६-०५-१७,ताजा माछा(रहु),के जी,३४०.००,३२०.००,३३०.००
