Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०५-२६,गोलभेडा ठूलो(नेपाली),के.जी.,७०.००,६०.००,६५.००
२०२६-०५-२६,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२६-०५-२६,गोलभेडा सानो(लोकल),के.जी.,३५.००,१८.००,२६.६३
२०२६-०५-२६,गोलभेडा सानो(टनेल),के जी,५२.००,४२.००,४६.६४
२०२६-०५-२६,गोलभेडा सानो(भारतीय),के जी,३०.००,२५.००,२७.५०
२०२६-०५-२६,आलु रातो(लाम्चो),के.जी.,३०.००,२८.००,२९.००
२०२६-०५-२६,रातो आलु(गोलो),के जी,२७.००,२६.००,२६.५०
२०२६-०५-२६,आलु रातो(भारतीय),के जी,२८.००,२७.००,२७.५०
२०२६-०५-२६,प्याज सुकेको (भारतीय),के.जी.,३८.००,३६.००,३७.००
२०२६-०५-२६,गाजर(लोकल),के.जी.,६५.००,५०.००,५७.५०
२०२६-०५-२६,बन्दा(लोकल),के.जी.,४०.००,३०.००,३३.७५
२०२६-०५-२६,काउली स्थानिय,के.जी.,५०.००,४०.००,४३.७५
२०२६-०५-२६,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०५-२६,मूला सेतो(लोकल),के.जी.,२०.००,१५.००,१७.५०
२०२६-०५-२६,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२३.३३
२०२६-०५-२६,भन्टा लाम्चो,के.जी.,५०.००,३५.००,४३.००
२०२६-०५-२६,भन्टा डल्लो,के.जी.,५०.००,३५.००,४२.५०
२०२६-०५-२६,बोडी(तने),के.जी.,५०.००,३०.००,४२.५०
२०२६-०५-२६,मकै बोडी,केजी,८०.००,७०.००,७५.००
२०२६-०५-२६,मटरकोशा,के.जी.,७०.००,५०.००,५८.००
२०२६-०५-२६,घिउ सिमी(लोकल),के.जी.,७०.००,५५.००,६१.२५
२०२६-०५-२६,घिउ सिमी(हाइब्रीड),केजी,५०.००,४०.००,४५.००
२०२६-०५-२६,घिउ सिमी(राजमा),केजी,१००.००,९०.००,९५.००
२०२६-०५-२६,टाटे सिमी,के.जी.,१३५.००,१२५.००,१३०.००
२०२६-०५-२६,भटमासकोशा,के.जी.,१४०.००,१००.००,१२३.३३
२०२६-०५-२६,तितो करेला,के.जी.,५०.००,२०.००,३४.५८
२०२६-०५-२६,लौका,के.जी.,५५.००,४५.००,५०.००
२०२६-०५-२६,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२६-०५-२६,घिरौला,के.जी.,५०.००,३०.००,३७.८६
२०२६-०५-२६,झिगूनी,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-२६,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०५-२६,फर्सी हरियो(लाम्चो),के.जी.,४५.००,३५.००,४०.००
२०२६-०५-२६,हरियो फर्सी(डल्लो),केजी,३०.००,२०.००,२६.६७
२०२६-०५-२६,भिण्डी,के.जी.,५०.००,३५.००,४३.८९
२०२६-०५-२६,सखरखण्ड,के.जी.,७०.००,६०.००,६५.००
२०२६-०५-२६,पिंडालू,के.जी.,४०.००,३०.००,३५.००
२०२६-०५-२६,रायो साग,के.जी.,८०.००,६०.००,७२.००
२०२६-०५-२६,पालूगो साग,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-२६,चमसूरको साग,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-२६,तोरीको साग,के.जी.,४०.००,३०.००,३५.००
२०२६-०५-२६,मेथीको साग,के.जी.,१२०.००,१००.००,११०.००
२०२६-०५-२६,प्याज हरियो,के.जी.,१५०.००,१००.००,११८.३३
२०२६-०५-२६,च्याउ(कन्य),के.जी.,२८०.००,२५०.००,२६५.००
२०२६-०५-२६,च्याउ(डल्ले),के जी,४५०.००,४००.००,४२५.००
२०२६-०५-२६,राजा च्याउ,के.जी.,३२०.००,३००.००,३१०.००
२०२६-०५-२६,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०५-२६,कुरीलो,के.जी.,३४०.००,३२०.००,३३०.००
२०२६-०५-२६,न्यूरो,के.जी.,८०.००,७०.००,७५.००
