Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०६-०२,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२६-०६-०२,गोलभेडा ठूलो(भारतीय),केजी,७५.००,६५.००,७०.००
२०२६-०६-०२,गोलभेडा सानो(लोकल),के.जी.,३०.००,१८.००,२२.३३
२०२६-०६-०२,गोलभेडा सानो(टनेल),के जी,४०.००,३०.००,३४.८०
२०२६-०६-०२,आलु रातो(लाम्चो),के.जी.,३५.००,३०.००,३२.५०
२०२६-०६-०२,रातो आलु(गोलो),के जी,३२.००,२८.००,३०.००
२०२६-०६-०२,प्याज सुकेको (भारतीय),के.जी.,४३.००,४०.००,४१.५०
२०२६-०६-०२,गाजर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२६-०६-०२,बन्दा(लोकल),के.जी.,४५.००,३५.००,४०.००
२०२६-०६-०२,काउली स्थानिय,के.जी.,८०.००,६०.००,७०.००
२०२६-०६-०२,सेतो मूला(हाइब्रीड),केजी,२०.००,१२.००,१५.६७
२०२६-०६-०२,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२६-०६-०२,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२६-०६-०२,बोडी(तने),के.जी.,९०.००,८०.००,८५.००
२०२६-०६-०२,मकै बोडी,केजी,९०.००,७०.००,८०.००
२०२६-०६-०२,घिउ सिमी(लोकल),के.जी.,९०.००,७०.००,७७.५०
२०२६-०६-०२,घिउ सिमी(हाइब्रीड),केजी,८०.००,६०.००,७०.००
२०२६-०६-०२,घिउ सिमी(राजमा),केजी,११०.००,१००.००,१०५.००
२०२६-०६-०२,टाटे सिमी,के.जी.,१३०.००,१२०.००,१२५.००
२०२६-०६-०२,भटमासकोशा,के.जी.,१५०.००,१३०.००,१४०.००
२०२६-०६-०२,तितो करेला,के.जी.,३०.००,२०.००,२३.३३
२०२६-०६-०२,लौका,के.जी.,८०.००,७०.००,७३.३३
२०२६-०६-०२,परवर(लोकल),के.जी.,६५.००,५५.००,६०.००
२०२६-०६-०२,चिचिण्डो,के.जी.,४२.००,३८.००,४०.००
२०२६-०६-०२,फर्सी पाकेको,के.जी.,६०.००,४५.००,५१.६७
