Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०६-०६,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,५०.००,५५.००
२०२६-०६-०६,गोलभेडा ठूलो(भारतीय),केजी,८०.००,७०.००,७५.००
२०२६-०६-०६,गोलभेडा सानो(लोकल),के.जी.,२५.००,१५.००,२०.००
२०२६-०६-०६,गोलभेडा सानो(टनेल),के जी,४५.००,३०.००,३८.००
२०२६-०६-०६,आलु रातो(लाम्चो),के.जी.,३५.००,३०.००,३३.००
२०२६-०६-०६,रातो आलु(गोलो),के जी,३५.००,३०.००,३२.६७
२०२६-०६-०६,आलु सेतो,के.जी.,३०.००,२६.००,२८.००
२०२६-०६-०६,प्याज सुकेको (भारतीय),के.जी.,४३.००,४०.००,४१.२५
२०२६-०६-०६,गाजर(लोकल),के.जी.,७५.००,६५.००,७०.००
२०२६-०६-०६,बन्दा(लोकल),के.जी.,६०.००,५०.००,५३.७५
२०२६-०६-०६,काउली स्थानिय,के.जी.,९०.००,७०.००,७८.७५
२०२६-०६-०६,सेतो मूला(हाइब्रीड),केजी,२५.००,१५.००,२०.००
२०२६-०६-०६,भन्टा लाम्चो,के.जी.,५०.००,४०.००,४५.००
२०२६-०६-०६,भन्टा डल्लो,के.जी.,६०.००,५०.००,५५.००
२०२६-०६-०६,बोडी(तने),के.जी.,६५.००,५०.००,५८.००
२०२६-०६-०६,मकै बोडी,केजी,७०.००,६०.००,६३.७५
२०२६-०६-०६,मटरकोशा,के.जी.,२००.००,१८०.००,१९०.००
२०२६-०६-०६,घिउ सिमी(लोकल),के.जी.,७०.००,६०.००,६५.००
२०२६-०६-०६,घिउ सिमी(हाइब्रीड),केजी,७०.००,६०.००,६५.००
२०२६-०६-०६,घिउ सिमी(राजमा),केजी,१३०.००,१२०.००,१२५.००
२०२६-०६-०६,टाटे सिमी,के.जी.,१३०.००,१२०.००,१२५.००
२०२६-०६-०६,भटमासकोशा,के.जी.,१३०.००,१२०.००,१२६.२५
२०२६-०६-०६,तितो करेला,के.जी.,४०.००,३०.००,३५.००
२०२६-०६-०६,लौका,के.जी.,७०.००,६०.००,६६.२५
२०२६-०६-०६,परवर(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२६-०६-०६,चिचिण्डो,के.जी.,५०.००,४०.००,४५.००
२०२६-०६-०६,घिरौला,के.जी.,६०.००,५०.००,५३.७५
२०२६-०६-०६,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२६-०६-०६,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०६-०६,फर्सी हरियो(लाम्चो),के.जी.,७०.००,६०.००,६३.७५
२०२६-०६-०६,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४६.२५
२०२६-०६-०६,भिण्डी,के.जी.,४०.००,३०.००,३५.००
२०२६-०६-०६,सखरखण्ड,के.जी.,८०.००,७०.००,७५.००
२०२६-०६-०६,पिंडालू,के.जी.,५०.००,४०.००,४५.००
२०२६-०६-०६,स्कूस,के.जी.,८०.००,७०.००,७५.००
२०२६-०६-०६,रायो साग,के.जी.,७०.००,५०.००,५८.७५
२०२६-०६-०६,पालूगो साग,के.जी.,९०.००,८०.००,८५.००
२०२६-०६-०६,चमसूरको साग,के.जी.,९०.००,८०.००,८५.००
२०२६-०६-०६,मेथीको साग,के.जी.,७०.००,६०.००,६५.००
२०२६-०६-०६,प्याज हरियो,के.जी.,१२०.००,१००.००,११०.००
२०२६-०६-०६,च्याउ(कन्य),के.जी.,२५०.००,२००.००,२२६.६७
२०२६-०६-०६,च्याउ(डल्ले),के जी,४००.००,३५०.००,३७६.६७
२०२६-०६-०६,राजा च्याउ,के.जी.,३३०.००,३००.००,३१६.६७
२०२६-०६-०६,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०६-०६,कुरीलो,के.जी.,३५०.००,३००.००,३२६.६७
२०२६-०६-०६,न्यूरो,के.जी.,९०.००,८०.००,८५.००
२०२६-०६-०६,ब्रोकाउली,के.जी.,१३०.००,१२०.००,१२५.००
२०२६-०६-०६,चुकुन्दर,के.जी.,६०.००,५०.००,५५.००
२०२६-०६-०६,सजिवन,के.जी.,१२०.००,१००.००,११०.००
२०२६-०६-०६,रातो बन्दा,के.जी.,५०.००,४०.००,४५.००
२०२६-०६-०६,जिरीको साग,के.जी.,१००.००,९०.००,९५.००
२०२६-०६-०६,सेलरी,के.जी.,१३०.००,१२०.००,१२५.००
२०२६-०६-०६,पार्सले,के.जी.,२२०.००,२००.००,२१०.००
२०२६-०६-०६,सौफको साग,के.जी.,९०.००,८०.००,८५.००
२०२६-०६-०६,पुदीना,के.जी.,१२०.००,१००.००,११०.००
२०२६-०६-०६,गान्टे मूला,के.जी.,६०.००,५०.००,५५.००
२०२६-०६-०६,इमली,के.जी.,२००.००,१८०.००,१९०.००
२०२६-०६-०६,तामा,के.जी.,१४०.००,१३०.००,१३५.००
२०२६-०६-०६,तोफु,के.जी.,१६०.००,१४०.००,१५०.००
२०२६-०६-०६,गुन्दुक,के.जी.,३५०.००,३००.००,३२६.६७
२०२६-०६-०६,स्याउ(फूजी),के जी,३००.००,२८०.००,२९०.००
२०२६-०६-०६,केरा(नेपाली),दर्जन,२००.००,१८०.००,१९०.००
२०२६-०६-०६,केरा(मालभोग),दर्जन,२२०.००,२००.००,२१०.००
२०२६-०६-०६,कागती,के.जी.,२२०.००,२००.००,२१०.००
२०२६-०६-०६,अनार,के.जी.,४२०.००,४००.००,४१०.००
