Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०७-०६,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४६.२५
२०२६-०७-०६,गोलभेडा सानो(लोकल),के.जी.,२०.००,१५.००,१८.२५
२०२६-०७-०६,गोलभेडा सानो(टनेल),के जी,३५.००,२५.००,३०.६०
२०२६-०७-०६,आलु रातो(लाम्चो),के.जी.,४२.००,३८.००,४०.५०
२०२६-०७-०६,रातो आलु(गोलो),के जी,४०.००,३८.००,३९.२५
२०२६-०७-०६,आलु रातो(मुडे),केजी,४०.००,३८.००,३९.००
२०२६-०७-०६,आलु रातो(भारतीय),के जी,३०.००,२८.००,२९.००
२०२६-०७-०६,प्याज सुकेको (भारतीय),के.जी.,५५.००,५२.००,५३.५०
२०२६-०७-०६,गाजर(लोकल),के.जी.,१००.००,९०.००,९६.२५
२०२६-०७-०६,गाजर(तराई),केजी,९०.००,८०.००,८५.००
२०२६-०७-०६,बन्दा(लोकल),के.जी.,६०.००,५०.००,५३.७५
२०२६-०७-०६,काउली स्थानिय,के.जी.,५०.००,३०.००,४०.००
२०२६-०७-०६,मूला रातो,के.जी.,३०.००,२५.००,२७.००
२०२६-०७-०६,सेतो मूला(हाइब्रीड),केजी,२०.००,१५.००,१७.००
२०२६-०७-०६,भन्टा लाम्चो,के.जी.,२०.००,१०.००,१५.००
२०२६-०७-०६,भन्टा डल्लो,के.जी.,३०.००,२५.००,२७.००
२०२६-०७-०६,बोडी(तने),के.जी.,४०.००,३०.००,३४.००
२०२६-०७-०६,मकै बोडी,केजी,५०.००,४०.००,४३.७५
२०२६-०७-०६,मटरकोशा,के.जी.,२००.००,१५०.००,१७६.६७
२०२६-०७-०६,घिउ सिमी(लोकल),के.जी.,५०.००,४०.००,४५.००
२०२६-०७-०६,घिउ सिमी(हाइब्रीड),केजी,५०.००,४०.००,४५.००
२०२६-०७-०६,घिउ सिमी(राजमा),केजी,८०.००,७०.००,७५.००
२०२६-०७-०६,टाटे सिमी,के.जी.,५०.००,४०.००,४५.००
२०२६-०७-०६,भटमासकोशा,के.जी.,१००.००,८०.००,९१.२५
२०२६-०७-०६,तितो करेला,के.जी.,३०.००,२०.००,२५.००
२०२६-०७-०६,लौका,के.जी.,३०.००,२०.००,२५.००
२०२६-०७-०६,परवर(लोकल),के.जी.,३०.००,२५.००,२७.००
२०२६-०७-०६,परवर(तराई),केजी,३०.००,२५.००,२७.६७
२०२६-०७-०६,चिचिण्डो,के.जी.,३०.००,२०.००,२५.००
२०२६-०७-०६,घिरौला,के.जी.,३०.००,२०.००,२५.००
२०२६-०७-०६,झिगूनी,के.जी.,५०.००,४०.००,४५.००
२०२६-०७-०६,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-०६,फर्सी हरियो(लाम्चो),के.जी.,५०.००,४०.००,४५.००
२०२६-०७-०६,हरियो फर्सी(डल्लो),केजी,२५.००,१५.००,२१.२५
२०२६-०७-०६,भिण्डी,के.जी.,३०.००,२०.००,२५.००
२०२६-०७-०६,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०७-०६,पिंडालू,के.जी.,१००.००,९०.००,९५.००
२०२६-०७-०६,स्कूस,के.जी.,५०.००,४०.००,४५.००
२०२६-०७-०६,रायो साग,के.जी.,४०.००,३०.००,३५.००
२०२६-०७-०६,पालूगो साग,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-०६,चमसूरको साग,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-०६,तोरीको साग,के.जी.,५०.००,४०.००,४५.००
२०२६-०७-०६,प्याज हरियो,के.जी.,१००.००,८०.००,९०.००
२०२६-०७-०६,च्याउ(कन्य),के.जी.,२८०.००,२५०.००,२६५.००
२०२६-०७-०६,च्याउ(डल्ले),के जी,४३०.००,३८०.००,४०५.००
