Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०७-२७,गोलभेडा ठूलो(नेपाली),के.जी.,६०.००,४०.००,५०.००
२०२६-०७-२७,गोलभेडा सानो(टनेल),के जी,३२.००,२२.००,२७.७५
२०२६-०७-२७,आलु रातो(लाम्चो),के.जी.,५०.००,४८.००,४९.००
२०२६-०७-२७,रातो आलु(गोलो),के जी,५३.००,४८.००,४९.८६
२०२६-०७-२७,आलु रातो(मुडे),केजी,५३.००,४८.००,५०.१७
२०२६-०७-२७,आलु रातो(भारतीय),के जी,३५.००,३३.००,३४.००
२०२६-०७-२७,आलु सेतो,के.जी.,३५.००,३०.००,३२.१७
२०२६-०७-२७,प्याज सुकेको (भारतीय),के.जी.,५७.००,५४.००,५५.६७
२०२६-०७-२७,गाजर(लोकल),के.जी.,१२०.००,११०.००,११५.००
२०२६-०७-२७,गाजर(तराई),केजी,९०.००,८०.००,८५.००
२०२६-०७-२७,बन्दा(लोकल),के.जी.,३०.००,२०.००,२५.८३
२०२६-०७-२७,काउली स्थानिय,के.जी.,११०.००,९०.००,९८.००
२०२६-०७-२७,मूला रातो,के.जी.,४०.००,३०.००,३३.००
२०२६-०७-२७,सेतो मूला(हाइब्रीड),केजी,३०.००,२०.००,२३.१३
२०२६-०७-२७,भन्टा लाम्चो,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-२७,भन्टा डल्लो,के.जी.,७०.००,६०.००,६५.००
२०२६-०७-२७,बोडी(तने),के.जी.,९०.००,८०.००,८५.००
२०२६-०७-२७,मकै बोडी,केजी,९०.००,७०.००,८१.६७
२०२६-०७-२७,घिउ सिमी(लोकल),के.जी.,१३०.००,११०.००,१२२.५०
२०२६-०७-२७,घिउ सिमी(हाइब्रीड),केजी,१३०.००,११०.००,१२२.५०
२०२६-०७-२७,टाटे सिमी,के.जी.,१२०.००,१००.००,११०.००
२०२६-०७-२७,भटमासकोशा,के.जी.,१००.००,८०.००,९०.००
२०२६-०७-२७,तितो करेला,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-२७,लौका,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-२७,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२६-०७-२७,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२६-०७-२७,चिचिण्डो,के.जी.,४०.००,३०.००,३५.००
२०२६-०७-२७,घिरौला,के.जी.,७०.००,५०.००,५८.३३
२०२६-०७-२७,झिगूनी,के.जी.,८०.००,७०.००,७५.००
२०२६-०७-२७,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०७-२७,हरियो फर्सी(डल्लो),केजी,७०.००,६०.००,६५.००
२०२६-०७-२७,भिण्डी,के.जी.,८०.००,७०.००,७४.३८
२०२६-०७-२७,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०७-२७,पिंडालू,के.जी.,१००.००,९०.००,९३.३३
२०२६-०७-२७,स्कूस,के.जी.,७०.००,६०.००,६३.३३
२०२६-०७-२७,रायो साग,के.जी.,२५०.००,२००.००,२२५.००
२०२६-०७-२७,पालूगो साग,के.जी.,३००.००,२५०.००,२६६.६७
२०२६-०७-२७,तोरीको साग,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०७-२७,प्याज हरियो,के.जी.,२००.००,१००.००,१५०.००
२०२६-०७-२७,च्याउ(कन्य),के.जी.,२८०.००,२३०.००,२५३.७५
२०२६-०७-२७,च्याउ(डल्ले),के जी,५००.००,४५०.००,४७५.००
२०२६-०७-२७,राजा च्याउ,के.जी.,३२०.००,३००.००,३१०.००
२०२६-०७-२७,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०७-२७,कुरीलो,के.जी.,५००.००,४००.००,४३३.३३
२०२६-०७-२७,न्यूरो,के.जी.,१००.००,९०.००,९५.००
२०२६-०७-२७,ब्रोकाउली,के.जी.,१२०.००,१००.००,११४.१७
२०२६-०७-२७,चुकुन्दर,के.जी.,७०.००,६०.००,६५.००
