Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०८-०४,गोलभेडा ठूलो(नेपाली),के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,गोलभेडा ठूलो(भारतीय),केजी,७०.००,६०.००,६५.००
२०२६-०८-०४,गोलभेडा सानो(टनेल),के जी,३०.००,१९.००,२४.७५
२०२६-०८-०४,आलु रातो(लाम्चो),के.जी.,५१.००,४८.००,४९.८३
२०२६-०८-०४,रातो आलु(गोलो),के जी,५२.००,४८.००,५०.३३
२०२६-०८-०४,आलु रातो(मुडे),केजी,५२.००,४८.००,५०.३३
२०२६-०८-०४,आलु रातो(भारतीय),के जी,३७.००,३५.००,३५.८०
२०२६-०८-०४,आलु सेतो,के.जी.,३५.००,३०.००,३२.५०
२०२६-०८-०४,प्याज सुकेको (भारतीय),के.जी.,५७.००,५४.००,५५.५०
२०२६-०८-०४,गाजर(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२६-०८-०४,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०८-०४,बन्दा(लोकल),के.जी.,४०.००,३०.००,३५.००
२०२६-०८-०४,काउली स्थानिय,के.जी.,१००.००,९०.००,९५.००
२०२६-०८-०४,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०८-०४,सेतो मूला(हाइब्रीड),केजी,१५.००,१०.००,१२.५०
२०२६-०८-०४,भन्टा लाम्चो,के.जी.,४०.००,३०.००,३५.००
२०२६-०८-०४,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,बोडी(तने),के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,मकै बोडी,केजी,७०.००,६०.००,६५.००
२०२६-०८-०४,घिउ सिमी(लोकल),के.जी.,८०.००,७०.००,७५.००
२०२६-०८-०४,घिउ सिमी(हाइब्रीड),केजी,८०.००,७०.००,७५.००
२०२६-०८-०४,टाटे सिमी,के.जी.,१२०.००,१००.००,१०७.५०
२०२६-०८-०४,भटमासकोशा,के.जी.,१००.००,८०.००,९०.००
२०२६-०८-०४,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,लौका,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,परवर(लोकल),के.जी.,६०.००,५०.००,५५.००
२०२६-०८-०४,परवर(तराई),केजी,६०.००,५०.००,५५.००
२०२६-०८-०४,चिचिण्डो,के.जी.,३०.००,२०.००,२५.००
२०२६-०८-०४,घिरौला,के.जी.,४०.००,३०.००,३५.००
२०२६-०८-०४,झिगूनी,के.जी.,७०.००,६०.००,६३.३३
२०२६-०८-०४,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०८-०४,हरियो फर्सी(डल्लो),केजी,५०.००,४०.००,४५.००
२०२६-०८-०४,भिण्डी,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०८-०४,पिंडालू,के.जी.,१००.००,९०.००,९५.००
२०२६-०८-०४,स्कूस,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-०४,रायो साग,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०८-०४,पालूगो साग,के.जी.,३००.००,२५०.००,२७५.००
२०२६-०८-०४,तोरीको साग,के.जी.,१५०.००,१००.००,१२५.००
२०२६-०८-०४,प्याज हरियो,के.जी.,२००.००,१५०.००,१७५.००
२०२६-०८-०४,च्याउ(कन्य),के.जी.,२५०.००,२२०.००,२३५.००
२०२६-०८-०४,च्याउ(डल्ले),के जी,४००.००,३५०.००,३७५.००
२०२६-०८-०४,राजा च्याउ,के.जी.,३२०.००,३००.००,३१०.००
२०२६-०८-०४,सिताके च्याउ,के.जी.,१०००.००,८००.००,९००.००
२०२६-०८-०४,कुरीलो,के.जी.,५००.००,४००.००,४५०.००
२०२६-०८-०४,न्यूरो,के.जी.,१००.००,९०.००,९५.००
