Date,Product,Unit,Max Price,Min Price,Avg Price
२०२६-०८-२६,गोलभेडा ठूलो(नेपाली),के.जी.,८०.००,७०.००,७६.६७
२०२६-०८-२६,गोलभेडा ठूलो(भारतीय),केजी,१००.००,९०.००,९५.००
२०२६-०८-२६,गोलभेडा सानो(लोकल),के.जी.,४५.००,३५.००,३८.७५
२०२६-०८-२६,गोलभेडा सानो(टनेल),के जी,६५.००,५०.००,५५.६४
२०२६-०८-२६,गोलभेडा सानो(भारतीय),के जी,५०.००,४३.००,४६.००
२०२६-०८-२६,आलु रातो(लाम्चो),के.जी.,५१.००,४८.००,४९.२५
२०२६-०८-२६,रातो आलु(गोलो),के जी,५३.००,४८.००,५०.३८
२०२६-०८-२६,आलु रातो(मुडे),केजी,५३.००,४८.००,५०.६३
२०२६-०८-२६,आलु रातो(भारतीय),के जी,४०.००,३८.००,३९.१३
२०२६-०८-२६,आलु सेतो,के.जी.,३८.००,३५.००,३६.३८
२०२६-०८-२६,प्याज सुकेको (भारतीय),के.जी.,९२.००,८८.००,८९.५०
२०२६-०८-२६,गाजर(लोकल),के.जी.,१२०.००,१००.००,११०.००
२०२६-०८-२६,गाजर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०८-२६,बन्दा(लोकल),के.जी.,४०.००,३०.००,३२.५०
२०२६-०८-२६,काउली स्थानिय,के.जी.,११०.००,९०.००,९६.२५
२०२६-०८-२६,मूला रातो,के.जी.,३०.००,२०.००,२५.००
२०२६-०८-२६,सेतो मूला(हाइब्रीड),केजी,३५.००,२५.००,३०.००
२०२६-०८-२६,भन्टा लाम्चो,के.जी.,२५.००,१५.००,२०.००
२०२६-०८-२६,भन्टा डल्लो,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-२६,बोडी(तने),के.जी.,८०.००,६०.००,७३.३३
२०२६-०८-२६,मकै बोडी,केजी,१००.००,९०.००,९४.००
२०२६-०८-२६,घिउ सिमी(लोकल),के.जी.,१००.००,८०.००,८६.६७
२०२६-०८-२६,घिउ सिमी(हाइब्रीड),केजी,१००.००,८०.००,८६.६७
२०२६-०८-२६,टाटे सिमी,के.जी.,८०.००,७०.००,७५.००
२०२६-०८-२६,भटमासकोशा,के.जी.,१३०.००,१००.००,१२०.००
२०२६-०८-२६,तितो करेला,के.जी.,५०.००,४०.००,४५.००
२०२६-०८-२६,लौका,के.जी.,६०.००,५०.००,५५.००
२०२६-०८-२६,परवर(लोकल),के.जी.,८०.००,६०.००,७०.००
२०२६-०८-२६,परवर(तराई),केजी,८०.००,७०.००,७५.००
२०२६-०८-२६,चिचिण्डो,के.जी.,३०.००,१५.००,२१.२५
२०२६-०८-२६,घिरौला,के.जी.,३०.००,१५.००,२०.८३
२०२६-०८-२६,झिगूनी,के.जी.,७०.००,६०.००,६५.००
२०२६-०८-२६,फर्सी पाकेको,के.जी.,६०.००,५०.००,५५.००
२०२६-०८-२६,हरियो फर्सी(डल्लो),केजी,६०.००,४०.००,४६.२५
२०२६-०८-२६,भिण्डी,के.जी.,४०.००,३०.००,३५.००
२०२६-०८-२६,सखरखण्ड,के.जी.,१२०.००,१००.००,११०.००
२०२६-०८-२६,पिंडालू,के.जी.,८०.००,७०.००,७५.००
२०२६-०८-२६,स्कूस,के.जी.,४०.००,३०.००,३६.००
२०२६-०८-२६,रायो साग,के.जी.,१२०.००,८०.००,९५.००
२०२६-०८-२६,पालूगो साग,के.जी.,२५०.००,२००.००,२२५.००
२०२६-०८-२६,तोरीको साग,के.जी.,१००.००,८०.००,९०.००
